output_prefix	name	motif_id	cluster	total_tfbs	CD8_Good_mean_score	CD8_Good_bound	CD8_Poor_mean_score	CD8_Poor_bound	CD8_Good_CD8_Poor_change	CD8_Good_CD8_Poor_pvalue	CD8_Good_CD8_Poor_highlighted
ZIC1_MA0696.1	ZIC1	MA0696.1	C_ZIC5	9632	0.83873	1045	0.995	1296	-0.05032	3.94157E-71	False
PHOX2A_MA0713.1	PHOX2A	MA0713.1	C_PHOX2B	10029	0.31856	101	0.36455	105	0.07645	1.09122E-94	False
PROP1_MA0715.1	PROP1	MA0715.1	C_PHOX2B	12401	0.3081	88	0.35132	105	0.08081	4.84389E-101	False
VENTX_MA0724.1	VENTX	MA0724.1	C_VENTX	3816	0.40023	100	0.46136	113	0.05315	2.11353E-56	False
Nr2F6_MA0728.1	Nr2F6	MA0728.1	C_Rarb	12183	0.43801	336	0.5266	367	0.00341	8.33687E-05	False
RARA_MA0729.1	RARA	MA0729.1	C_RARA	10767	0.41636	243	0.49423	260	0.01388	3.50030E-23	False
RARA_MA0730.1	RARA	MA0730.1	C_Rarb	7338	0.54636	314	0.65689	344	-0.02008	1.42149E-28	False
BCL6B_MA0731.1	BCL6B	MA0731.1	C_BCL6B	8348	0.45786	273	0.54508	298	0.01425	9.77596E-28	False
EGR2_MA0472.2	EGR2	MA0472.2	C_EGR1	8514	1.11205	1811	1.25103	2097	-0.01826	2.66969E-29	False
GLIS2_MA0736.1	GLIS2	MA0736.1	C_GLIS2	6362	0.83231	663	1.01132	849	-0.09359	2.58332E-88	True
GLIS3_MA0737.1	GLIS3	MA0737.1	C_GLIS3	5389	0.66996	360	0.82282	447	-0.07561	2.01004E-74	True
KLF16_MA0741.1	KLF16	MA0741.1	C_SP3	29969	1.14564	7499	1.29123	8415	-0.02778	9.61283E-67	False
ZNF143_MA0088.2	ZNF143	MA0088.2	C_ZNF143	8157	0.64599	866	0.74382	925	0.00754	8.26125E-10	False
E2F7_MA0758.1	E2F7	MA0758.1	C_E2FD	6040	0.5777	334	0.63839	364	0.06471	4.66078E-70	False
HSF2_MA0770.1	HSF2	MA0770.1	C_HSFA4A	8139	0.434	218	0.51015	232	0.03417	2.50720E-49	False
HSF4_MA0771.1	HSF4	MA0771.1	C_HSFA4A	7133	0.47402	236	0.55046	262	0.03585	1.13983E-51	False
MEF2D_MA0773.1	MEF2D	MA0773.1	C_MEF2D	17770	0.35097	239	0.40469	232	0.05845	4.91380E-92	False
MEIS2_MA0774.1	MEIS2	MA0774.1	C_MEIS1	7409	0.56137	420	0.675	495	-0.01871	6.94465E-35	False
MYBL1_MA0776.1	MYBL1	MA0776.1	C_MYBL1	1319	0.62732	93	0.69403	94	0.06323	4.28522E-44	False
MYBL2_MA0777.1	MYBL2	MA0777.1	C_MYBL2	1375	0.58986	83	0.67912	106	0.0202	5.54252E-11	False
NFKB1_MA0105.4	NFKB1	MA0105.4	C_Rel	6737	0.59198	344	0.71978	445	-0.03401	2.45973E-47	False
PAX3_MA0780.1	PAX3	MA0780.1	C_Pax7	4943	0.36036	55	0.37728	59	0.11838	2.72519E-95	True
PKNOX2_MA0783.1	PKNOX2	MA0783.1	C_PKNOX2	8747	0.44142	227	0.55078	270	-0.02792	9.55045E-46	False
POU3F2_MA0787.1	POU3F2	MA0787.1	C_POU3F3	14915	0.36395	267	0.4021	264	0.09097	1.61063E-104	False
POU3F3_MA0788.1	POU3F3	MA0788.1	C_POU3F3	18001	0.34205	236	0.37985	241	0.09055	3.72158E-105	False
POU3F4_MA0789.1	POU3F4	MA0789.1	C_POU3F3	10934	0.40728	269	0.44332	269	0.09314	8.87853E-97	False
POU5F1B_MA0792.1	POU5F1B	MA0792.1	C_POU3F3	11637	0.38538	274	0.4341	295	0.07331	4.96335E-88	False
PROX1_MA0794.1	PROX1	MA0794.1	C_PROX1	3383	0.56925	196	0.67759	219	-0.01565	5.37345E-12	False
SMAD3_MA0795.1	SMAD3	MA0795.1	C_SMAD3	2709	0.50133	105	0.582	121	0.02837	2.99937E-25	False
TGIF1_MA0796.1	TGIF1	MA0796.1	C_PKNOX2	7921	0.44182	205	0.55049	241	-0.02796	3.57150E-36	False
TGIF2_MA0797.1	TGIF2	MA0797.1	C_PKNOX2	7664	0.44536	206	0.5551	240	-0.03131	6.59372E-44	False
RUNX2_MA0511.2	RUNX2	MA0511.2	C_Bcl11B	6655	0.58069	327	0.68973	375	-0.00915	1.68567E-10	False
MGA_MA0801.1	MGA	MA0801.1	C_TBX4	8435	0.49988	325	0.59291	358	0.007	3.21601E-08	False
TBX15_MA0803.1	TBX15	MA0803.1	C_TBX4	11942	0.52581	497	0.63296	579	-0.01187	1.40891E-19	False
TBX1_MA0805.1	TBX1	MA0805.1	C_TBX4	9032	0.48799	325	0.58934	376	-0.00587	1.08761E-06	False
TBX4_MA0806.1	TBX4	MA0806.1	C_TBX4	6492	0.49272	264	0.5968	286	-0.01609	2.26696E-20	False
TBX5_MA0807.1	TBX5	MA0807.1	C_TBX4	11058	0.50814	446	0.62653	522	-0.03136	7.98015E-52	False
TEAD3_MA0808.1	TEAD3	MA0808.1	C_TEAD4	6513	0.45217	185	0.53324	210	0.01984	1.75210E-31	False
TFAP2B_MA0813.1	TFAP2B	MA0813.1	C_TFAP2C	8879	0.8498	1037	1.0075	1218	-0.06144	2.52972E-77	True
TFAP2C_MA0815.1	TFAP2C	MA0815.1	C_TFAP2C	7872	0.87459	969	1.03556	1136	-0.06534	3.64528E-76	True
Ascl2_MA0816.1	Ascl2	MA0816.1	C_Ascl2	13875	0.58129	687	0.70767	830	-0.03909	3.65189E-63	False
HES7_MA0822.1	HES7	MA0822.1	C_BHLH104	3656	0.71468	350	0.84685	408	-0.02784	1.94246E-27	False
HEY1_MA0823.1	HEY1	MA0823.1	C_BHLHE40	3484	0.88329	524	1.00647	604	-0.01195	4.48363E-12	False
OLIG1_MA0826.1	OLIG1	MA0826.1	C_OLIG1	3702	0.38545	46	0.42999	41	0.06238	4.90197E-61	False
OLIG3_MA0827.1	OLIG3	MA0827.1	C_OLIG1	4090	0.3945	64	0.43187	62	0.07901	5.49938E-73	False
CEBPG_MA0838.1	CEBPG	MA0838.1	C_atf-2	2356	0.58732	168	0.668	174	0.02674	1.11158E-26	False
FOXB1_MA0845.1	FOXB1	MA0845.1	C_FOXC2	16719	0.34889	200	0.38921	232	0.09124	4.43871E-107	True
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	19589	0.34648	227	0.39385	277	0.0793	2.65193E-101	False
FOXO4_MA0848.1	FOXO4	MA0848.1	C_FKH1	10360	0.44099	306	0.50679	330	0.04265	6.16096E-67	False
FOXO6_MA0849.1	FOXO6	MA0849.1	C_FKH1	10360	0.44099	306	0.50679	330	0.04265	6.16096E-67	False
FOXP3_MA0850.1	FOXP3	MA0850.1	C_FKH1	10360	0.44099	306	0.50679	330	0.04265	6.16096E-67	False
RXRB_MA0855.1	RXRB	MA0855.1	C_PPARD	8568	0.54987	400	0.64121	468	0.01438	2.48256E-25	False
RXRG_MA0856.1	RXRG	MA0856.1	C_PPARD	8139	0.54409	372	0.63707	433	0.01003	5.13501E-10	False
Rarb_MA0857.1	Rarb	MA0857.1	C_Rarb	11958	0.42185	288	0.50497	319	0.01086	4.38778E-21	False
Rarb_MA0858.1	Rarb	MA0858.1	C_Rarb	7292	0.50017	270	0.60257	293	-0.01169	7.86463E-15	False
Rarg_MA0860.1	Rarg	MA0860.1	C_Rarg	9836	0.47311	314	0.59372	378	-0.0448	3.37423E-71	False
TP63_MA0525.2	TP63	MA0525.2	C_TP63	3654	0.50382	239	0.58481	235	0.02455	7.89277E-24	False
TP53_MA0106.3	TP53	MA0106.3	C_TP53	4494	0.52632	197	0.57517	194	0.07312	1.57130E-74	False
GMEB2_MA0862.1	GMEB2	MA0862.1	C_GMEB2	953	0.90607	174	0.95231	177	0.09908	6.14498E-56	True
MTF1_MA0863.1	MTF1	MA0863.1	C_MTF1	5042	0.67111	388	0.7907	467	-0.01647	9.03604E-19	False
E2F1_MA0024.3	E2F1	MA0024.3	C_E2F4	1450	0.95639	229	1.09837	273	-0.02701	8.14535E-16	False
SOX21_MA0866.1	SOX21	MA0866.1	C_Sox21b	9598	0.39291	211	0.44189	195	0.06488	9.88077E-82	False
Sox1_MA0870.1	Sox1	MA0870.1	C_Sox21b	7839	0.41251	197	0.45675	194	0.07179	1.25202E-79	False
TFAP2A_MA0872.1	TFAP2A	MA0872.1	C_TFAP2C	8388	0.84647	966	1.00704	1136	-0.06643	8.59217E-81	True
ZNF24_MA1124.1	ZNF24	MA1124.1	C_ZNF24	12360	0.38605	214	0.44937	250	0.05199	1.57331E-81	False
ZSCAN4_MA1155.1	ZSCAN4	MA1155.1	C_ZSCAN4	11465	0.51796	470	0.62184	526	-0.01174	5.06901E-27	False
FOSBJUN_MA1127.1	FOSB::JUN	MA1127.1	C_JDP2	4166	0.86251	786	0.9225	824	0.08586	3.02847E-75	False
FOSL1JUN_MA1129.1	FOSL1::JUN	MA1129.1	C_JDP2	2926	0.93761	637	0.98861	664	0.09837	4.22453E-77	True
FOSBJUNB_MA1136.1	FOSB::JUNB	MA1136.1	C_JDP2	3253	0.96182	729	1.01774	760	0.08851	8.41224E-72	False
IRF5_MA1420.1	IRF5	MA1420.1	C_IRF5	6099	0.5808	319	0.66603	385	0.02553	3.96491E-35	False
TCF7L1_MA1421.1	TCF7L1	MA1421.1	C_TCF7L1	15314	0.44766	396	0.51518	417	0.03576	1.82108E-63	False
ATOH7_MA1468.1	ATOH7	MA1468.1	C_OLIG1	5208	0.42794	108	0.49028	110	0.0381	3.20579E-50	False
FERD3L_MA1485.1	FERD3L	MA1485.1	C_FERD3L	7932	0.68029	607	0.81483	752	-0.044	7.85853E-63	False
FOXN3_MA1489.1	FOXN3	MA1489.1	C_FoxL2	8626	0.38277	160	0.45147	180	0.0371	2.82808E-57	False
HES6_MA1493.1	HES6	MA1493.1	C_HES6	4312	0.69862	423	0.79376	446	0.01357	1.14165E-16	False
IRF6_MA1509.1	IRF6	MA1509.1	C_IRF6	2745	0.69567	200	0.80252	226	0.01212	3.26301E-09	False
NR2F1_MA1538.1	NR2F1	MA1538.1	C_NR2F1	4678	0.55748	194	0.69957	239	-0.06846	7.24610E-64	True
NR2F6_MA1539.1	NR2F6	MA1539.1	C_NR2F1	4485	0.54601	187	0.69885	230	-0.08535	8.21537E-76	True
RXRB_MA1555.1	RXRB	MA1555.1	C_RXRG	5329	0.611	327	0.7291	382	-0.01031	1.76462E-09	False
RXRG_MA1556.1	RXRG	MA1556.1	C_RXRG	6060	0.666	478	0.77004	542	0.01462	5.99268E-16	False
SMAD5_MA1557.1	SMAD5	MA1557.1	C_SMAD3	1964	0.5344	90	0.64112	105	-0.01577	3.14604E-13	False
TFAP4_MA1570.1	TFAP4	MA1570.1	C_TFAP4	3848	0.3991	80	0.47606	98	0.03287	1.44908E-37	False
TGIF2LX_MA1571.1	TGIF2LX	MA1571.1	C_PKNOX2	4806	0.49038	184	0.61518	209	-0.05019	1.74340E-55	False
TGIF2LY_MA1572.1	TGIF2LY	MA1572.1	C_PKNOX2	4501	0.4951	171	0.61005	195	-0.03579	5.07773E-48	False
ZBTB32_MA1580.1	ZBTB32	MA1580.1	C_ZBTB32	6193	0.40021	104	0.46525	131	0.04878	1.83313E-60	False
ZNF135_MA1587.1	ZNF135	MA1587.1	C_ZNF460	33222	0.49078	1268	0.61244	1484	-0.03734	3.65219E-83	False
ZNF136_MA1588.1	ZNF136	MA1588.1	C_ZNF136	12336	0.36942	192	0.44546	218	0.02112	1.34256E-42	False
ZNF382_MA1594.1	ZNF382	MA1594.1	C_ZNF382	8162	0.45774	259	0.56391	313	-0.01747	1.82292E-24	False
ZNF460_MA1596.1	ZNF460	MA1596.1	C_ZNF460	48061	0.73229	4467	0.87463	5432	-0.04532	2.24081E-101	False
ZNF528_MA1597.1	ZNF528	MA1597.1	C_ZNF528	12712	0.54439	564	0.64776	666	-0.00433	1.38938E-06	False
HOXA5_MA0158.2	HOXA5	MA0158.2	C_HOXD3	2889	0.39612	62	0.46528	73	0.04301	1.81344E-44	False
HOXD3_MA0912.2	HOXD3	MA0912.2	C_HOXD3	4645	0.39603	89	0.45392	98	0.06088	1.67136E-62	False
NEUROG1_MA0623.2	NEUROG1	MA0623.2	C_OLIG1	3130	0.41389	53	0.45808	49	0.05758	1.83553E-58	False
ZNF707_MA1715.1	ZNF707	MA1715.1	C_ZNF707	13453	0.65706	1024	0.78748	1178	-0.04206	2.19760E-78	False
ZNF8_MA1718.1	ZNF8	MA1718.1	C_ZNF8	8771	0.39024	161	0.41312	149	0.11794	1.18686E-110	True
Foxn1_MA1684.1	Foxn1	MA1684.1	C_Foxn1	16767	1.01293	2440	1.16972	2927	-0.04281	1.15031E-75	False
ELK1HOXA1_MA1931.1	ELK1::HOXA1	MA1931.1	C_ELK1::HOXA1	5907	0.92271	1094	1.02192	1235	0.02624	8.22791E-39	False
HOXB2ELK1_MA1957.1	HOXB2::ELK1	MA1957.1	C_HOXB2::ELK1	5478	0.83035	802	0.91866	897	0.04384	1.46326E-58	False
POU2F1SOX2_MA1962.1	POU2F1::SOX2	MA1962.1	C_POU2F1::SOX2	16190	0.34115	161	0.38119	158	0.08519	4.66703E-103	False
ZFP14_MA1972.1	ZFP14	MA1972.1	C_ZFP14	23423	0.69304	1789	0.83442	2209	-0.04854	5.51066E-82	False
ZNF418_MA1980.1	ZNF418	MA1980.1	C_ZNF418	16360	0.44911	417	0.53177	494	0.01959	2.35125E-38	False
ZNF669_MA1985.1	ZNF669	MA1985.1	C_ZNF669	4610	0.85703	502	1.0024	601	-0.04578	2.82955E-55	False
SP1_MA0079.5	SP1	MA0079.5	C_KLF5	43243	1.15977	10179	1.31264	11720	-0.02997	9.61673E-82	False
RFX1_MA0509.3	RFX1	MA0509.3	C_RFX5	3855	0.78552	544	0.88992	635	0.01898	4.47008E-18	False
SP2_MA0516.3	SP2	MA0516.3	C_KLF5	42275	1.25752	11880	1.40367	13470	-0.01498	8.03140E-51	False
BHLHA15_MA0607.2	BHLHA15	MA0607.2	C_OLIG1	2940	0.42485	56	0.46154	48	0.0706	1.74074E-57	False
SP4_MA0685.2	SP4	MA0685.2	C_KLF5	42641	1.14695	10405	1.29256	11779	-0.02248	1.59854E-74	False
KLF14_MA0740.2	KLF14	MA0740.2	C_KLF5	41237	1.17316	10439	1.3179	11821	-0.02114	1.51343E-71	False
KLF12_MA0742.2	KLF12	MA0742.2	C_KLF5	36734	1.26287	10485	1.40766	11792	-0.01487	1.59209E-49	False
RFX3_MA0798.3	RFX3	MA0798.3	C_RFX5	4007	0.82846	618	0.94166	709	0.00455	8.76440E-04	False
BHLHE22_MA0818.2	BHLHE22	MA0818.2	C_OLIG1	2546	0.42337	46	0.45555	41	0.07634	9.82644E-59	False
HES5_MA0821.2	HES5	MA0821.2	C_BHLHE40	2472	0.86611	334	0.99292	400	-0.01233	3.98796E-10	False
TFE3_MA0831.3	TFE3	MA0831.3	C_ARNT2	3106	1.02783	749	1.10431	774	0.04512	4.03725E-46	False
CDX1_MA0878.3	CDX1	MA0878.3	C_HOXA10	11180	0.41963	258	0.4475	247	0.10444	5.64284E-107	True
DUXA_MA0884.2	DUXA	MA0884.2	C_DUXA	5135	0.34549	56	0.39794	62	0.06478	1.32730E-68	False
KLF10_MA1511.2	KLF10	MA1511.2	C_KLF5	40442	1.21426	10737	1.36177	12161	-0.02054	3.67543E-62	False
NR1D2_MA1532.2	NR1D2	MA1532.2	C_NR1D1	7977	0.49918	294	0.59761	326	-0.00246	1.55571E-01	False
PITX2_MA1547.2	PITX2	MA1547.2	C_unc-30	6721	0.48864	248	0.52405	241	0.08337	8.87251E-82	False
SOX18_MA1563.2	SOX18	MA1563.2	C_SOX18	8397	0.43437	238	0.47449	232	0.08477	6.27602E-86	False
Thap11_MA1573.2	Thap11	MA1573.2	C_Thap11	11036	0.72788	1459	0.83906	1602	-0.00437	1.60725E-04	False
ZNF75D_MA1601.2	ZNF75D	MA1601.2	C_ZNF75D	10485	0.55264	450	0.6608	552	-0.01178	1.45541E-22	False
BACH1_MA1633.2	BACH1	MA1633.2	C_fos-1	6437	0.51702	326	0.61196	358	0.00834	2.78045E-10	False
mix-a_MA0621.2	mix-a	MA0621.2	C_otp	5305	0.34093	46	0.38252	58	0.08975	7.77209E-83	False
ARNTHIF1A_MA0259.2	ARNT::HIF1A	MA0259.2	C_ARNT::HIF1A	25548	0.80348	3063	0.90876	3387	0.01056	4.84738E-28	False
Pgr_MA2323.1	Pgr	MA2323.1	C_Pgr	10524	0.39427	158	0.45398	189	0.05672	1.42585E-76	False
Ddit3Cebpa_MA0019.2	Ddit3::Cebpa	MA0019.2	C_Ddit3::Cebpa	5701	0.42211	146	0.5171	176	-0.00395	3.44917E-02	False
Foxq1_MA0040.2	Foxq1	MA0040.2	C_Foxq1	13933	0.39942	239	0.43856	248	0.09069	2.60680E-100	False
HOXB1_MA2093.1	HOXB1	MA2093.1	C_otp	5568	0.38134	101	0.43961	119	0.05968	1.20212E-68	False
PAX8_MA2094.1	PAX8	MA2094.1	C_sv	2554	0.82153	326	0.91985	349	0.02564	2.22836E-19	False
ZNF524_MA2096.1	ZNF524	MA2096.1	C_ZNF524	6719	0.61977	322	0.75157	449	-0.04698	1.15472E-63	False
ZNF75A_MA2097.1	ZNF75A	MA2097.1	C_ZNF75A	11948	0.50412	445	0.61607	541	-0.0238	6.19617E-48	False
ZNF766_MA2098.1	ZNF766	MA2098.1	C_ZNF766	14314	0.47276	442	0.55023	518	0.02691	1.22829E-55	False
ZNF770_MA2099.1	ZNF770	MA2099.1	C_ZNF770	23766	0.64388	1572	0.76575	1931	-0.02136	4.52998E-57	False
ZSCAN16_MA2100.1	ZSCAN16	MA2100.1	C_ZSCAN16	8294	0.53306	356	0.62148	412	0.01367	1.38004E-25	False
ZNF677_MA2101.1	ZNF677	MA2101.1	C_ZNF677	14609	0.426	301	0.49781	342	0.03633	1.44997E-65	False
ZBTB17_MA2102.1	ZBTB17	MA2102.1	C_Pax7	2231	0.39464	40	0.4283	45	0.06449	1.26725E-50	False
FOXP4_MA2117.1	FOXP4	MA2117.1	C_FKH1	8151	0.41814	241	0.50837	276	-0.00143	9.37600E-01	False
FOXS1_MA2118.1	FOXS1	MA2118.1	C_FKH1	10441	0.41666	275	0.50016	316	0.01491	2.44019E-25	False
HOXA3_MA2119.1	HOXA3	MA2119.1	C_otp	3662	0.35881	43	0.41429	52	0.06466	3.29791E-56	False
ZNF184_MA2120.1	ZNF184	MA2120.1	C_ZNF184	14150	0.50122	553	0.5913	634	0.00907	4.59723E-21	False
ZNF213_MA2121.1	ZNF213	MA2121.1	C_ZNF213	34547	0.68601	2581	0.83485	3334	-0.05878	1.33834E-104	True
BCL11A_MA2324.1	BCL11A	MA2324.1	C_BCL11A	14698	0.47632	488	0.58295	562	-0.01778	3.31848E-39	False
EPAS1_MA2325.1	EPAS1	MA2325.1	C_ARNT::HIF1A	2187	0.99141	371	1.12177	400	-0.00138	5.23125E-02	False
IKZF2_MA2326.1	IKZF2	MA2326.1	C_IKZF2	49449	0.59117	2757	0.70844	3290	-0.02379	1.29174E-71	False
PGR_MA2327.1	PGR	MA2327.1	C_PGR	5096	0.45361	129	0.54158	177	0.01954	1.19195E-23	False
ZBED4_MA2328.1	ZBED4	MA2328.1	C_ZBED4	31914	1.22061	7779	1.39867	9218	-0.05629	1.05343E-102	True
ZBTB11_MA2329.1	ZBTB11	MA2329.1	C_FLI1	11006	1.03533	2315	1.16079	2651	-0.00052	1.02354E-01	False
ZBTB24_MA2330.1	ZBTB24	MA2330.1	C_ZBTB24	19049	0.73792	1574	0.88775	1905	-0.0579	3.10194E-92	True
ZNF157_MA2331.1	ZNF157	MA2331.1	C_ZNF157	6867	0.43051	152	0.48887	177	0.05993	8.95719E-71	False
ZNF175_MA2332.1	ZNF175	MA2332.1	C_Erg	18165	0.61708	1150	0.7303	1402	-0.01385	1.22085E-36	False
ZNF35_MA2333.1	ZNF35	MA2333.1	C_ZNF35	12152	0.36791	172	0.40744	167	0.08271	2.39533E-97	False
ZNF547_MA2334.1	ZNF547	MA2334.1	C_ZNF547	7708	0.44347	200	0.53331	244	0.00339	1.46514E-05	False
ZNF558_MA2335.1	ZNF558	MA2335.1	C_ZNF558	28486	0.33519	209	0.37654	239	0.08447	2.02278E-112	True
ZSCAN21_MA2336.1	ZSCAN21	MA2336.1	C_ZSCAN21	4861	0.45641	154	0.55563	172	-0.0126	1.11952E-14	False
FEZF2_MA2341.1	FEZF2	MA2341.1	C_FEZF2	35151	0.50068	1312	0.62035	1645	-0.03379	5.40429E-77	False
ALX3_MA0634.2	ALX3	MA0634.2	C_otp	5499	0.34207	52	0.38696	64	0.08463	6.18798E-78	False
TBX21_MA0690.3	TBX21	MA0690.3	C_TBX4	8682	0.46608	282	0.55858	313	0.00629	2.13336E-08	False
ARGFX_MA1463.2	ARGFX	MA1463.2	C_otp	5470	0.35526	57	0.38984	61	0.10152	1.22341E-91	True
