"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"153","chr6",29752889,29753289,401,"*",5.02275989404507,5.02799647013561,5.01618733120865,0.224245054283919,0.354786979020134,0.999820495462944,27.34,37.39,22.57,41.17,34.67,36.12,20.17,47.03,26.12,"HLA-F","+29810","Not Significant",0.450032327519776,0.450032327519776,"Not Capped"
"154","chr17",63919204,63919604,401,"*",4.28128984307157,4.03176483742665,4.5425598989733,-0.295507725722787,0.354826409451645,0.999820495462944,13.7,18.75,11.31,20.64,17.38,26.01,14.52,33.87,18.81,"GH1","-585","Not Significant",0.449984063439306,0.449984063439306,"Not Capped"
"166","chr2",49490313,49490713,401,"*",3.23590696886176,3.56252434742156,2.68462409706904,1.0749255534638,0.0477366491178371,0.999820495462944,9.9,13.54,8.17,14.91,12.56,7.18,4.01,9.34,5.19,"FSHR","-335976","Significant",1.321148069634,1.321148069634,"Not Capped"
"189","chr3",172513451,172513851,401,"*",3.46252017842,3.55957717221709,3.33122799683574,0.436525480096081,0.355608750399049,0.999820495462944,9.88,13.51,8.16,14.88,12.53,11.23,6.27,14.63,8.12,"TNFSF10","+9856","Not Significant",0.449027560965982,0.449027560965982,"Not Capped"
"198","chr14",24692872,24693272,401,"*",3.04236102627407,2.24051968697101,3.65869920458023,-1.18523802669568,0.0479000218948852,0.999820495462944,3.96,5.42,3.27,5.96,5.02,14.1,7.87,18.35,10.2,"GZMB","-58805","Significant",1.31966428807133,1.31966428807133,"Not Capped"
"201","chr16",24014105,24014505,401,"*",4.64562128623837,4.41850015467483,4.88694590252588,-0.25390112634329,0.35589429835644,0.999820495462944,17.92,24.51,14.79,26.98,22.72,33.03,18.44,43,23.89,"PRKCB","+178281","Not Significant",0.448678969602703,0.448678969602703,"Not Capped"
"208","chr6",31821846,31822246,401,"*",4.183740904435,3.92950585571146,4.44913043018362,-0.304110011957451,0.356102414812416,0.999820495462944,12.77,17.46,10.54,19.22,16.19,24.38,13.61,31.75,17.63,"HSPA1B","-5689","Not Significant",0.448425081264946,0.448425081264946,"Not Capped"
"212","chr1",225897115,225897515,401,"*",5.6265157888936,5.43353453072916,5.83628709075663,-0.189001306483148,0.356139309071939,0.999820495462944,36.21,49.53,29.89,54.53,45.93,63.78,35.61,83.03,46.12,"LEFTY1","-8169","Not Significant",0.448380088188012,0.448380088188012,"Not Capped"
"215","chr21",42117550,42117950,401,"*",4.01409179296026,3.74484183002442,4.29244711716068,-0.331862965116523,0.35618927774393,0.999820495462944,11.23,15.36,9.27,16.92,14.25,21.87,12.21,28.48,15.82,"UMODL1","+46433","Not Significant",0.448319158108969,0.448319158108969,"Not Capped"
"223","chr4",74658249,74658649,401,"*",2.52300366429456,2.00280088078039,2.98600635850037,-0.752429601077374,0.356432972175263,0.999820495462944,3.36,4.59,2.77,5.06,4.26,8.84,4.94,11.51,6.4,"BTC","+136237","Not Significant",0.448022127947658,0.448022127947658,"Not Capped"
"234","chr6",31399884,31400284,401,"*",4.73682456164083,4.51545311203939,4.9729349754173,-0.243049346673817,0.356642025629569,0.999820495462944,19.16,26.21,15.82,28.86,24.3,35.06,19.57,45.64,25.35,"HLA-B","-42897","Not Significant",0.447767482182462,0.447767482182462,"Not Capped"
"248","chr20",266861,267261,401,"*",4.76903780025639,4.78291758537628,4.75149815313116,0.243620224992651,0.356969893603475,0.999820495462944,23.06,31.55,19.04,34.73,29.26,30.07,16.79,39.15,21.74,"DEFB132","+9325","Not Significant",0.44736841019938,0.44736841019938,"Not Capped"
"249","chr12",53421533,53421933,401,"*",4.55326651356448,4.32144449998554,4.79882491074199,-0.262575684979956,0.356980688321497,0.999820495462944,16.75,22.91,13.83,25.23,21.25,31.07,17.35,40.45,22.47,"AMHR2","-2122","Not Significant",0.447355277395542,0.447355277395542,"Not Capped"
"259","chr9",125241280,125241680,401,"*",6.89121962731937,6.87547972410418,6.9106560517973,0.177935665016437,0.357212671154185,0.999820495462944,98.37,134.56,81.22,148.15,124.77,134.3,74.98,174.85,97.12,"HSPA5","-150","Not Significant",0.447073144087135,0.447073144087135,"Not Capped"
"286","chr2",78541492,78541892,401,"*",3.34647416834943,2.66495682180757,3.90289235468929,-1.01104455347241,0.0484575938715285,0.999820495462944,5.31,7.27,4.39,8,6.74,16.7,9.32,21.74,12.08,"REG3G","-484009","Significant",1.31463815425673,1.31463815425673,"Not Capped"
"289","chr6",29847923,29848323,401,"*",4.78309662761033,4.79631296627486,4.76640410396008,0.241984239220844,0.358124463031939,0.999820495462944,23.28,31.84,19.22,35.06,29.53,30.38,16.96,39.55,21.97,"HLA-G","+21144","Not Significant",0.445966011864634,0.445966011864634,"Not Capped"
"302","chr4",122826766,122827166,401,"*",4.20350811075409,4.24303456719447,4.15252672111811,0.301838967591958,0.358409641037542,0.999820495462944,15.86,21.7,13.1,23.89,20.12,19.85,11.08,25.85,14.36,"FGF2","+258","Not Significant",0.445620316551517,0.445620316551517,"Not Capped"
"320","chr20",45470043,45470443,401,"*",4.28922360419592,4.03669985143499,4.55311932126771,-0.301178822853642,0.358813888191782,0.999820495462944,13.75,18.81,11.35,20.71,17.44,26.21,14.63,34.12,18.95,"WFDC2","+537","Not Significant",0.445130755571299,0.445130755571299,"Not Capped"
"322","chr12",9064537,9064937,401,"*",5.11726831317529,4.9094364394911,5.34094190554732,-0.217316693469023,0.358852339003876,0.999820495462944,25.18,34.44,20.79,37.92,31.94,45.24,25.26,58.9,32.72,"A2M","+51420","Not Significant",0.445084218685766,0.445084218685766,"Not Capped"
"342","chr1",168521435,168521835,401,"*",3.48891819316785,3.58193298621565,3.36352491650891,0.426720483114953,0.359450571947291,0.999820495462944,10.03,13.72,8.28,15.11,12.73,11.49,6.41,14.96,8.31,"XCL2","+22362","Not Significant",0.444360821015154,0.444360821015154,"Not Capped"
"365","chr6",137715763,137716163,401,"*",5.06288517315003,4.85281518885142,5.28863008383038,-0.221796271009887,0.360313844244634,0.999820495462944,24.21,33.12,19.99,36.46,30.71,43.63,24.36,56.81,31.55,"TNFAIP3","-151225","Not Significant",0.443319050773514,0.443319050773514,"Not Capped"
"375","chr15",74771051,74771451,401,"*",5.184973025095,5.18422658562855,5.18590553165896,0.21088560175528,0.360775022957377,0.999820495462944,30.46,41.67,25.15,45.87,38.64,40.63,22.68,52.9,29.39,"CSK","-10806","Not Significant",0.442763537003899,0.442763537003899,"Not Capped"
"405","chr19",40603878,40604278,401,"*",6.23796101318736,6.21879363675283,6.26156758451305,0.170250202288489,0.361507550705844,0.999820495462944,62.4,85.36,51.52,93.97,79.15,85.64,47.81,111.5,61.93,"LTBP4","+6843","Not Significant",0.441882627288852,0.441882627288852,"Not Capped"
"406","chr13",21638252,21638652,401,"*",2.95420771675604,3.09966283082428,2.7489780561962,0.555148983917229,0.36151610448914,0.999820495462944,7.18,9.82,5.93,10.82,9.11,7.5,4.19,9.77,5.43,"FGF9","-32931","Not Significant",0.441872351384715,0.441872351384715,"Not Capped"
"411","chr1",32240555,32240955,401,"*",4.79919958322092,4.58136424345348,5.03208345074514,-0.236289403874867,0.361624960824081,0.999820495462944,20.06,27.44,16.56,30.21,25.44,36.52,20.39,47.55,26.41,"LCK","-10484","Not Significant",0.441741600392385,0.441741600392385,"Not Capped"
"414","chr3",127052199,127052599,401,"*",3.93932421730711,3.41430318424176,4.40536529468759,-0.771388988668942,0.0489634270482758,0.999820495462944,8.93,12.22,7.37,13.45,11.33,23.65,13.21,30.8,17.11,"PLXNA1","+63805","Significant",1.31012819265849,1.31012819265849,"Not Capped"
"424","chr7",132771328,132771728,401,"*",4.88856429077976,4.67366168737688,5.11876065517492,-0.23088142461478,0.361935729816923,0.999820495462944,21.38,29.25,17.65,32.2,27.12,38.78,21.65,50.5,28.05,"PLXNA4","-194227","Not Significant",0.441368541798178,0.441368541798178,"Not Capped"
"429","chr22",50531208,50531608,401,"*",5.10401642714777,4.89754561082526,5.32642736288862,-0.214827878120484,0.362111747468615,0.999820495462944,24.97,34.16,20.62,37.61,31.67,44.79,25.01,58.31,32.39,"TYMP","-1393","Not Significant",0.441157385765593,0.441157385765593,"Not Capped"
"459","chr17",40565316,40565716,401,"*",5.15686683085904,4.9521859308844,5.37761375500791,-0.211375199199417,0.362714357118162,0.999820495462944,25.94,35.48,21.41,39.06,32.9,46.41,25.91,60.42,33.56,"CCR7","-44","Not Significant",0.440435253645401,0.440435253645401,"Not Capped"
"471","chr8",16241515,16241915,401,"*",2.40603834025909,1.90278837455907,2.85821773263165,-0.723659649157836,0.36315911912561,0.999820495462944,3.13,4.29,2.59,4.72,3.97,8.09,4.52,10.54,5.85,"MSR1","-49000","Not Significant",0.439903045991893,0.439903045991893,"Not Capped"
"496","chr6",29748863,29749263,401,"*",5.20782391608717,5.00463346926901,5.42718218268524,-0.208561208474644,0.363915560500132,0.999820495462944,26.9,36.79,22.21,40.51,34.11,48.03,26.81,62.53,34.73,"HLA-F","+25784","Not Significant",0.438999374216283,0.438999374216283,"Not Capped"
"515","chr1",151146548,151146948,401,"*",5.74213935951891,5.5537541906151,5.9475514714845,-0.180123981977603,0.364564519149073,0.999820495462944,39.35,53.83,32.49,59.27,49.92,68.89,38.46,89.69,49.82,"SEMA6C","-291","Not Significant",0.438225600869154,0.438225600869154,"Not Capped"
"523","chr19",45001690,45002090,401,"*",6.82824861500136,6.64429556424961,7.02943131242235,-0.17164694354887,0.364719748662392,0.999820495462944,83.81,114.64,69.19,126.21,106.3,145.82,81.41,189.86,105.46,"RELB","+460","Not Significant",0.438040720089308,0.438040720089308,"Not Capped"
"527","chr9",34665248,34665648,401,"*",6.1587267438181,5.97536061351292,6.35934745618274,-0.170415921242311,0.364859296586753,0.999820495462944,52.71,72.11,43.52,79.38,66.86,91.65,51.16,119.32,66.28,"CCL27","-2756","Not Significant",0.437874583480411,0.437874583480411,"Not Capped"
"553","chr16",28936488,28936888,401,"*",5.63132006645183,5.61957221108157,5.64587162486335,0.186515363901697,0.365929756568481,0.999820495462944,41.19,56.35,34.01,62.03,52.25,55.89,31.2,72.77,40.42,"CD19","+4749","Not Significant",0.436602273246275,0.436602273246275,"Not Capped"
"599","chr14",64338536,64338936,401,"*",5.52874877125397,5.61566623963928,5.41217716500309,0.415725045205293,0.0495547571485659,0.999820495462944,41.08,56.19,33.92,61.87,52.11,47.53,26.54,61.88,34.37,"ESR2","-44376","Significant",1.30491464785474,1.30491464785474,"Not Capped"
"601","chr5",132673275,132673675,401,"*",3.05877667606771,3.19322398292662,2.87092118205376,0.527750961471576,0.367581564532195,0.999820495462944,7.66,10.48,6.33,11.54,9.72,8.17,4.56,10.63,5.91,"IL4","-511","Not Significant",0.434646278087642,0.434646278087642,"Not Capped"
"611","chr2",203785772,203786172,401,"*",3.41155784786164,3.0807101620741,3.74058212176735,-0.441063356973096,0.3678959159884,0.999820495462944,7.09,9.7,5.85,10.67,8.99,14.92,8.33,19.43,10.79,"CD28","+79424","Not Significant",0.43427503324402,0.43427503324402,"Not Capped"
"630","chr2",190947742,190948142,401,"*",4.66820445451425,4.44503686188562,4.90594799174168,-0.246512737362484,0.368392615527514,0.999820495462944,18.25,24.96,15.07,27.48,23.15,33.47,18.68,43.57,24.2,"STAT1","+66308","Not Significant",0.43368908387094,0.43368908387094,"Not Capped"
"667","chr3",101936593,101936993,401,"*",3.96908506711399,4.02175668988427,3.90042048847576,0.332010362899271,0.369267996619434,0.999820495462944,13.61,18.62,11.24,20.49,17.26,16.67,9.31,21.7,12.05,"NFKBIZ","+87279","Not Significant",0.432658329754526,0.432658329754526,"Not Capped"
"672","chr5",142713138,142713538,401,"*",5.13481219227463,4.92960678457272,5.35604714243083,-0.212408520180468,0.369368447123932,0.999820495462944,25.53,34.93,21.08,38.45,32.39,45.72,25.52,59.52,33.06,"FGF1","-15268","Not Significant",0.432540206419436,0.432540206419436,"Not Capped"
"677","chr17",4739503,4739903,401,"*",4.94539367698632,4.73474615198904,5.1716720847182,-0.222752757503302,0.369442997473102,0.999820495462944,22.31,30.51,18.42,33.59,28.29,40.23,22.46,52.38,29.1,"CXCL16","+116","Not Significant",0.432452560767449,0.432452560767449,"Not Capped"
"685","chr19",4207685,4208085,401,"*",3.69966353268567,3.13743782402051,4.18861996638677,-0.829468047872686,0.0501885470850057,0.999820495462944,7.37,10.08,6.09,11.1,9.35,20.35,11.36,26.5,14.72,"EBI3","-21613","Not Significant",1.29939537658529,1.29939537658529,"Not Capped"
"696","chr9",21412465,21412865,401,"*",3.1999277906131,3.53528742317579,2.62835997271571,1.10310575859497,0.0503534201694499,0.999820495462944,9.71,13.29,8.02,14.63,12.32,6.9,3.85,8.99,4.99,"IFNA8","+3518","Not Significant",1.29797102540286,1.29797102540286,"Not Capped"
"714","chr20",32031253,32031653,401,"*",4.52838652050207,4.29919384468963,4.77158007486217,-0.257774322023078,0.370413350132239,0.999820495462944,16.49,22.56,13.62,24.84,20.92,30.49,17.02,39.7,22.05,"HCK","-20808","Not Significant",0.431313369224765,0.431313369224765,"Not Capped"
"766","chr16",81730369,81730769,401,"*",5.11566010020337,4.91293012797404,5.33458878110551,-0.207620338206713,0.371490561351401,0.999820495462944,25.24,34.53,20.84,38.01,32.01,45.04,25.15,58.64,32.58,"PLCG2","-48689","Not Significant",0.430052216102806,0.430052216102806,"Not Capped"
"772","chr10",113092409,113092809,401,"*",3.06812198671015,2.26852251573923,3.68341037843099,-1.18236458250647,0.0506768179295063,0.999820495462944,4.04,5.52,3.33,6.08,5.12,14.34,8.01,18.67,10.37,"TCF7L2","+142202","Not Significant",1.29519066290941,1.29519066290941,"Not Capped"
"774","chr9",124711891,124712291,401,"*",4.59753384107329,4.6154394960138,4.5748346610914,0.252521393445285,0.371651943172412,0.999820495462944,20.54,28.09,16.96,30.93,26.05,26.6,14.85,34.64,19.24,"NR6A1","+59186","Not Significant",0.429863592157817,0.429863592157817,"Not Capped"
"802","chr6",55950087,55950487,401,"*",3.91917091405193,3.97816896643267,3.84185968500215,0.347009580772247,0.372416513570737,0.999820495462944,13.2,18.06,10.9,19.88,16.75,16.01,8.94,20.84,11.58,"BMP5","-74723","Not Significant",0.428971069920444,0.428971069920444,"Not Capped"
"805","chr5",160199330,160199730,401,"*",5.08038559979378,4.73987811798625,5.4170068299447,-0.462039027562919,0.0507218017827834,0.999820495462944,22.39,30.62,18.48,33.71,28.4,47.69,26.63,62.09,34.49,"FABP6","+12163","Not Significant",1.29480532747605,1.29480532747605,"Not Capped"
"830","chr2",102367427,102367827,401,"*",4.81429845521357,4.82269269699462,4.80373649999419,0.231103468516058,0.373251170766837,0.999820495462944,23.71,32.43,19.58,35.71,30.07,31.18,17.41,40.59,22.55,"IL18R1","+11698","Not Significant",0.427998821361062,0.427998821361062,"Not Capped"
"836","chr1",240754331,240754731,401,"*",2.78607433418202,2.96100428976334,2.53258146716442,0.630178481224201,0.373372077723469,0.999820495462944,6.52,8.92,5.39,9.82,8.27,6.46,3.61,8.41,4.67,"GREM2","-142382","Not Significant",0.427858163473288,0.427858163473288,"Not Capped"
"838","chr11",57276104,57276504,401,"*",2.8215028709367,2.98003454117134,2.59518156412935,0.587265191894606,0.373506457289863,0.999820495462944,6.61,9.04,5.46,9.96,8.38,6.75,3.77,8.78,4.88,"APLNR","-39103","Not Significant",0.427701885572507,0.427701885572507,"Not Capped"
"851","chr10",79904563,79904963,401,"*",4.04453241766939,3.78388614650839,4.31548899765234,-0.315824380838776,0.373898999874716,0.999820495462944,11.54,15.79,9.53,17.38,14.64,22.23,12.41,28.94,16.07,"SFTPD","+44340","Not Significant",0.427245696518615,0.427245696518615,"Not Capped"
"860","chr19",42450333,42450733,401,"*",5.39751261798412,5.20191206118684,5.60975614535822,-0.193953224526668,0.374198009994115,0.999820495462944,30.84,42.18,25.46,46.44,39.11,54.51,30.43,70.97,39.42,"CXCL17","-7485","Not Significant",0.426898526432142,0.426898526432142,"Not Capped"
"874","chr6",90216286,90216686,401,"*",4.07070011297544,4.11451200276102,4.01399528914809,0.31132589598097,0.374635297576134,0.999820495462944,14.51,19.85,11.98,21.86,18.41,18.03,10.07,23.48,13.04,"BACH2","+80256","Not Significant",0.426391306457968,0.426391306457968,"Not Capped"
"890","chr2",210476524,210476924,401,"*",5.06295843821724,5.06267617566589,5.06331118876465,0.211837517581433,0.375107333757061,0.999820495462944,28,38.3,23.12,42.17,35.52,37.32,20.84,48.59,26.99,"LANCL1","+15","Not Significant",0.42584444483598,0.42584444483598,"Not Capped"
"911","chr3",32902910,32903310,401,"*",4.02088053542262,4.06744431075883,3.96047939276048,0.318046727138901,0.375582254238419,0.999820495462944,14.05,19.21,11.6,21.15,17.82,17.38,9.7,22.62,12.57,"CCR4","-48464","Not Significant",0.425294935757361,0.425294935757361,"Not Capped"
"928","chr11",67884841,67885241,401,"*",3.12111404899194,3.24354679912597,2.95183805255715,0.497507443309945,0.376035996431171,0.999820495462944,7.94,10.85,6.55,11.95,10.06,8.64,4.82,11.24,6.25,"UNC93B1","+119082","Not Significant",0.424770579797986,0.424770579797986,"Not Capped"
"937","chr13",48653516,48653916,401,"*",5.2746682869711,5.26877082798011,5.28200637013283,0.199378014237123,0.376384516888207,0.999820495462944,32.3,44.18,26.67,48.64,40.97,43.43,24.25,56.55,31.41,"CYSLTR2","-52839","Not Significant",0.424368250197804,0.424368250197804,"Not Capped"
"939","chr5",170261997,170262397,401,"*",4.43794583832554,4.20604979739106,4.68357069778978,-0.262717431599954,0.376661473292233,0.999820495462944,15.46,21.15,12.77,23.29,19.61,28.69,16.01,37.35,20.74,"LCP2","+36030","Not Significant",0.424048799208122,0.424048799208122,"Not Capped"
"957","chr6",111858012,111858412,401,"*",4.00977745947376,3.74507745949268,4.28423026914432,-0.323499773610506,0.377232063292718,0.999820495462944,11.23,15.37,9.28,16.92,14.25,21.75,12.14,28.32,15.73,"FYN","+15240","Not Significant",0.423391400984285,0.423391400984285,"Not Capped"
"961","chr3",122890994,122891394,401,"*",2.917228355926,3.06076469424282,2.71505187577921,0.549307324803527,0.377328640939701,0.999820495462944,6.99,9.56,5.77,10.53,8.87,7.33,4.09,9.54,5.3,"SEMA5B","+84940","Not Significant",0.423280228644794,0.423280228644794,"Not Capped"
"962","chr7",132655308,132655708,401,"*",4.36689686809516,4.39356309049983,4.33285565747661,0.272195293380934,0.377403881252893,0.999820495462944,17.61,24.09,14.54,26.52,22.34,22.49,12.56,29.29,16.27,"PLXNA4","-78207","Not Significant",0.423193637827562,0.423193637827562,"Not Capped"
"982","chr4",74308128,74308528,401,"*",4.08609617718891,4.13074077331184,4.02827460880162,0.313139029104774,0.377837848275397,0.999820495462944,14.68,20.08,12.12,22.1,18.62,18.21,10.17,23.71,13.17,"EPGN","-145","Not Significant",0.42269454066019,0.42269454066019,"Not Capped"
"999","chr5",38556564,38556964,401,"*",4.17837331309207,3.71663869382895,4.60314401169134,-0.668652287754755,0.051476557098284,0.999820495462944,11.01,15.07,9.09,16.59,13.97,27.13,15.15,35.32,19.62,"LIFR","+38640","Not Significant",1.28839050767322,1.28839050767322,"Not Capped"
"1019","chr2",204145222,204145622,401,"*",4.63772785887799,4.65215928253122,4.61948317469209,0.24456280498975,0.378937213314804,0.999820495462944,21.07,28.82,17.39,31.73,26.72,27.44,15.32,35.72,19.84,"ICOS","+208674","Not Significant",0.421432742986608,0.421432742986608,"Not Capped"
"1027","chr9",130880765,130881165,401,"*",3.02394112348791,3.16103990037139,2.83193184700435,0.533951105875157,0.379062085591945,0.999820495462944,7.49,10.25,6.19,11.29,9.51,7.95,4.44,10.35,5.75,"QRFP","+15847","Not Significant",0.421289652243718,0.421289652243718,"Not Capped"
"1069","chr1",154607990,154608390,401,"*",5.74330997138,5.55701937099656,5.94672647446468,-0.17593653243444,0.380138474613132,0.999820495462944,39.44,53.96,32.57,59.4,50.03,68.85,38.44,89.64,49.79,"ADAR","+16","Not Significant",0.420058172315982,0.420058172315982,"Not Capped"
"1074","chr2",205804895,205805295,401,"*",3.20916232744813,3.32167619255293,3.05493254442493,0.473969070797818,0.380397706060594,0.999820495462944,8.38,11.46,6.92,12.62,10.62,9.28,5.18,12.08,6.71,"NRP2","+122595","Not Significant",0.419762110683703,0.419762110683703,"Not Capped"
"1084","chr2",147297683,147298083,401,"*",3.66809558968496,3.37129076021936,3.96960524041207,-0.381506162492603,0.380765052387246,0.999820495462944,8.67,11.86,7.16,13.06,11,17.49,9.76,22.77,12.65,"ACVR2A","-546634","Not Significant",0.419342919142268,0.419342919142268,"Not Capped"
"1125","chr1",32273786,32274186,401,"*",5.26383756296141,5.06589599913037,5.47828328453433,-0.19855226530696,0.381742149041293,0.999820495462944,28.06,38.39,23.17,42.26,35.59,49.76,27.78,64.79,35.99,"HDAC1","-18100","Not Significant",0.418229885936519,0.418229885936519,"Not Capped"
"1128","chr20",51514821,51515221,401,"*",3.52970393628489,3.61454332111614,3.41611817391739,0.407072654962404,0.381848040191493,0.999820495462944,10.26,14.04,8.47,15.45,13.02,11.92,6.65,15.51,8.62,"NFATC2","+27698","Not Significant",0.418109434041884,0.418109434041884,"Not Capped"
"1135","chr21",33215700,33216100,401,"*",4.28522038277526,4.31572745744038,4.24615636625429,0.28067420572302,0.382032167928148,0.999820495462944,16.68,22.82,13.78,25.13,21.16,21.18,11.83,27.58,15.32,"IFNAR2","-14074","Not Significant",0.417900067021522,0.417900067021522,"Not Capped"
"1137","chr3",196739667,196740067,401,"*",6.11593754795553,6.09471823110218,6.14203020134538,0.165656194668897,0.38207015689434,0.999820495462944,57.26,78.32,47.27,86.23,72.63,78.83,44.01,102.63,57.01,"PAK2","+10","Not Significant",0.417856883280634,0.417856883280634,"Not Capped"
"1140","chr21",41426001,41426401,401,"*",5.61318445476824,5.59839538238995,5.63146012050348,0.179743447560523,0.382198228007779,0.999820495462944,40.59,55.52,33.51,61.13,51.49,55.33,30.89,72.04,40.02,"MX1","+5686","Not Significant",0.417711330803318,0.417711330803318,"Not Capped"
"1144","chr10",73911036,73911436,401,"*",4.79310747736519,4.57927141492676,5.022323883803,-0.228712041799061,0.382237517381935,0.999820495462944,20.03,27.4,16.54,30.16,25.4,36.28,20.25,47.23,26.24,"PLAU","+79","Not Significant",0.417666688311096,0.417666688311096,"Not Capped"
"1154","chr2",231052815,231053215,401,"*",5.56690645582153,5.55254827812385,5.58465553255695,0.180725694221834,0.382448385632987,0.999820495462944,39.32,53.79,32.47,59.22,49.87,53.57,29.91,69.74,38.74,"PSMD1","-3849","Not Significant",0.417427167954306,0.417427167954306,"Not Capped"
"1159","chr17",5282132,5282532,401,"*",5.55545519026476,5.36632383259651,5.76157687152149,-0.181424804130838,0.38257801164206,0.999820495462944,34.56,47.27,28.53,52.05,43.84,60.56,33.81,78.84,43.79,"RABEP1","+32","Not Significant",0.417279994311172,0.417279994311172,"Not Capped"
"1173","chr3",80063053,80063453,401,"*",3.21125025832255,2.86362450374257,3.55341191799958,-0.469898156420032,0.382897421892107,0.999820495462944,6.1,8.34,5.03,9.18,7.73,13.11,7.32,17.06,9.48,"ROBO1","-295438","Not Significant",0.41691755781476,0.41691755781476,"Not Capped"
"1187","chr3",51384932,51385332,401,"*",6.77803884483676,6.75715432279907,6.80372640239043,0.166528408179372,0.383278920469517,0.999820495462944,90.63,123.97,74.82,136.48,114.95,124.71,69.62,162.36,90.19,"MANF","+85","Not Significant",0.416485065367382,0.416485065367382,"Not Capped"
"1198","chr1",32179644,32180044,401,"*",5.92123645606102,5.90120355882834,5.94589262545513,0.168258982390844,0.383463460614009,0.999820495462944,50.07,68.49,41.34,75.41,63.51,68.81,38.42,89.59,49.76,"TXLNA","-221","Not Significant",0.416276012705191,0.416276012705191,"Not Capped"
"1200","chr5",8726233,8726633,401,"*",3.25914303064536,3.37115972276259,3.10566060453094,0.472540937704334,0.383482723685274,0.999820495462944,8.67,11.86,7.16,13.06,11,9.61,5.36,12.51,6.95,"SEMA5A","+819642","Not Significant",0.416254196714113,0.416254196714113,"Not Capped"
"1203","chr1",100702658,100703058,401,"*",3.09597552639755,2.71809396829182,3.46115462148067,-0.521965360374599,0.383598994962267,0.999820495462944,5.51,7.54,4.55,8.3,6.99,12.29,6.86,16.01,8.89,"VCAM1","-16902","Not Significant",0.416122539360898,0.416122539360898,"Not Capped"
