"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"27105","chr19",19817293,19817693,401,"*",5.22359650582178,5.35125014863142,5.04629520914658,0.516485394419851,0.0269395140709153,0.999820495462944,34.2,46.78,28.24,51.51,43.38,36.88,20.59,48.02,26.67,"ZNF506","+4216","Significant",1.56961024225162,1.56961024225162,"Not Capped"
"27115","chr1",38263940,38264340,401,"*",3.52807368069468,3.84588056228087,2.99682814031317,1.04960527564444,0.0269691025238896,0.999820495462944,12.05,16.48,9.95,18.14,15.28,8.91,4.97,11.6,6.44,"POU3F1","-217346","Significant",1.5691335057313,1.5691335057313,"Not Capped"
"27342","chr2",66554067,66554467,401,"*",3.06805914943455,2.16655600388309,3.72874972951894,-1.32518564690039,0.0278507625836723,0.999820495462944,3.76,5.15,3.11,5.66,4.77,14.8,8.26,19.27,10.7,"MEIS1","+118867","Significant",1.55516290887996,1.55516290887996,"Not Capped"
"27494","chr8",75665351,75665751,401,"*",3.46657908901822,2.75234760088779,4.04003876772646,-1.06161605727531,0.0282918074365053,0.999820495462944,5.65,7.72,4.66,8.5,7.16,18.36,10.25,23.91,13.28,"HNF4G","+125682","Significant",1.54833930653289,1.54833930653289,"Not Capped"
"27754","chr3",128555274,128555674,401,"*",3.69145512141984,3.03941918818409,4.23200120984165,-0.969345675375252,0.0292449355091056,0.999820495462944,6.89,9.42,5.69,10.37,8.74,20.98,11.71,27.31,15.17,"GATA2","-62289","Significant",1.53394933200524,1.53394933200524,"Not Capped"
"27819","chr19",55592712,55593112,401,"*",4.11841235933272,3.59906213845598,4.58087570255347,-0.762822848642693,0.029560380311657,0.999820495462944,10.15,13.89,8.38,15.29,12.88,26.71,14.91,34.78,19.32,"FIZ1","+6615","Significant",1.52928998278765,1.52928998278765,"Not Capped"
"27873","chr19",52973484,52973884,401,"*",2.77051235637223,1.66423552997041,3.50982993210031,-1.59628467901724,0.02982169070318,0.999820495462944,2.66,3.63,2.19,4,3.37,12.72,7.1,16.55,9.2,"ZNF816","-10823","Significant",1.52546773840659,1.52546773840659,"Not Capped"
"27895","chr15",60840951,60841351,401,"*",4.36915871068197,3.90348171115164,4.79658897187231,-0.675673845760034,0.0298618612349625,0.999820495462944,12.54,17.15,10.35,18.88,15.9,31.02,17.32,40.39,22.44,"RORA","-213688","Significant",1.52488312699001,1.52488312699001,"Not Capped"
"27928","chr16",86317579,86317979,401,"*",3.49911387673616,2.7894198083795,4.07024482674143,-1.05500520751807,0.0299370269006151,0.999820495462944,5.79,7.92,4.78,8.72,7.35,18.75,10.47,24.41,13.56,"FOXF1","-192748","Significant",1.52379133240882,1.52379133240882,"Not Capped"
"27992","chr7",26166545,26166945,401,"*",3.3577208843963,2.61558448504143,3.9452618544646,-1.10200777123786,0.030232378804439,0.999820495462944,5.13,7.02,4.24,7.73,6.51,17.2,9.6,22.39,12.44,"NFE2L3","+14505","Significant",1.51952767945149,1.51952767945149,"Not Capped"
"28015","chr2",237700698,237701098,401,"*",4.35669629375033,3.89369614432632,4.7823220563993,-0.67103511758361,0.0303744125599947,0.999820495462944,12.45,17.03,10.28,18.75,15.79,30.72,17.15,39.99,22.21,"LRRFIP1","+8559","Significant",1.51749211255148,1.51749211255148,"Not Capped"
"28068","chr17",61451886,61452286,401,"*",4.38499522278338,3.92195912310009,4.810645257117,-0.671102502694863,0.0304742840214572,0.999820495462944,12.7,17.37,10.48,19.12,16.11,31.33,17.49,40.79,22.65,"TBX4","-332","Significant",1.51606648912822,1.51606648912822,"Not Capped"
"28299","chr4",47914510,47914910,401,"*",6.36396612885602,6.44968575184358,6.24911689694498,0.41324390230727,0.0311238260677847,0.999820495462944,73.23,100.17,60.46,110.28,92.89,84.9,47.4,110.54,61.4,"NFXL1","-171","Significant",1.5069070203588,1.5069070203588,"Not Capped"
"28407","chr6",137497681,137498081,401,"*",4.54105461377309,4.10787894645949,4.94618965992462,-0.621663589828204,0.0314472072633312,0.999820495462944,14.45,19.76,11.93,21.76,18.32,34.41,19.21,44.8,24.89,"OLIG3","-3631","Significant",1.5024179169589,1.5024179169589,"Not Capped"
"28860","chr9",23063620,23064020,401,"*",3.74317602177652,4.01230818443434,3.315865140765,0.900353585723948,0.0336542207641022,0.999820495462944,13.52,18.49,11.16,20.36,17.15,11.12,6.21,14.47,8.04,"DMRTA1","+616979","Significant",1.47296046072359,1.47296046072359,"Not Capped"
"29042","chr6",15404190,15404590,401,"*",3.41851113297634,2.68541007265246,4.00153747787203,-1.08942209602279,0.0346488730858954,0.999820495462944,5.39,7.37,4.45,8.12,6.84,17.88,9.98,23.28,12.93,"JARID2","+158094","Significant",1.46031088574297,1.46031088574297,"Not Capped"
"29121","chr2",46304170,46304570,401,"*",3.35816114241509,2.61187183549159,3.94776300028657,-1.10781784443054,0.0348893566159026,0.999820495462944,5.12,7.01,4.23,7.71,6.5,17.22,9.62,22.43,12.46,"EPAS1","+6968","Significant",1.45730703917154,1.45730703917154,"Not Capped"
"29154","chr10",45000781,45001181,401,"*",5.18369398890978,4.83017662411526,5.53040475352066,-0.485193843777584,0.0349251896627667,0.999820495462944,23.83,32.6,19.68,35.89,30.23,51.59,28.8,67.17,37.31,"ZNF22","+506","Significant",1.45686122675224,1.45686122675224,"Not Capped"
"29175","chr15",96352265,96352665,401,"*",3.44034847486796,2.73231269612141,4.01062557449468,-1.0521457158691,0.034998302808385,0.999820495462944,5.57,7.62,4.6,8.38,7.06,17.99,10.04,23.42,13.01,"NR2F2","+21748","Significant",1.45595301561614,1.45595301561614,"Not Capped"
"29209","chr2",72917412,72917812,401,"*",4.62825440280218,4.21685117521213,5.0179703006502,-0.584705211470508,0.0350813712688862,0.999820495462944,15.58,21.31,12.86,23.46,19.76,36.17,20.19,47.09,26.16,"EMX1","+137","Significant",1.45492343916942,1.45492343916942,"Not Capped"
"29230","chr10",43420372,43420772,401,"*",5.68352253646036,5.77603666578335,5.55885707079794,0.429435679180505,0.0351520533437869,0.999820495462944,45.91,62.8,37.91,69.14,58.23,52.62,29.38,68.51,38.05,"ZNF487","-16554","Significant",1.45404930137444,1.45404930137444,"Not Capped"
"29262","chr19",47436658,47437058,401,"*",4.79490678054242,4.39963075844969,5.1729412773752,-0.557536336416132,0.0353058731450924,0.999820495462944,17.68,24.19,14.6,26.63,22.43,40.27,22.48,52.43,29.12,"MEIS3","-17570","Significant",1.45215304355437,1.45215304355437,"Not Capped"
"29350","chr14",68782069,68782469,401,"*",4.60049312446829,4.18614707353982,4.99231645259502,-0.58987320424544,0.0355832544997879,0.999820495462944,15.25,20.86,12.59,22.97,19.34,35.53,19.84,46.26,25.7,"ZFP36L1","+10971","Significant",1.44875433318686,1.44875433318686,"Not Capped"
"29393","chr8",127169925,127170325,401,"*",4.12408401486244,3.62291003271799,4.57492362204494,-0.733176596956101,0.0357482278296976,0.999820495462944,10.32,14.12,8.52,15.54,13.09,26.6,14.85,34.64,19.24,"POU5F1B","-244165","Significant",1.44674548289395,1.44674548289395,"Not Capped"
"29490","chr11",125166522,125166922,401,"*",4.32118026027589,3.85988075248206,4.745656682338,-0.668240553168342,0.0361407375810147,0.999820495462944,12.16,16.64,10.04,18.32,15.43,29.95,16.72,38.99,21.66,"PKNOX2","+2016","Significant",1.4420029883524,1.4420029883524,"Not Capped"
"29523","chr10",100656005,100656405,401,"*",3.98649164693637,3.45681462219551,4.45545312565595,-0.778877636477957,0.0362754671481769,0.999820495462944,9.2,12.58,7.6,13.85,11.67,24.49,13.67,31.88,17.71,"PAX2","-89506","Significant",1.44038698609714,1.44038698609714,"Not Capped"
"29752","chr1",115807687,115808087,401,"*",3.20140144239056,2.42318439082624,3.80655562229248,-1.15367163046684,0.0372584177335287,0.999820495462944,4.49,6.15,3.71,6.77,5.7,15.62,8.72,20.33,11.3,"NHLH2","+36030","Significant",1.42877559238632,1.42877559238632,"Not Capped"
"29773","chr15",36591081,36591481,401,"*",3.35423277324435,2.61668676427139,3.93948539382674,-1.094977544436,0.0374571378221721,0.999820495462944,5.14,7.03,4.24,7.74,6.52,17.13,9.56,22.3,12.39,"MEIS2","+508604","Significant",1.42646541103785,1.42646541103785,"Not Capped"
"29851","chr2",15846880,15847280,401,"*",3.73339105634991,3.14252355952191,4.23935366724909,-0.874701560683045,0.0381552711750272,0.999820495462944,7.4,10.12,6.11,11.14,9.38,21.08,11.77,27.45,15.25,"MYCN","-93484","Significant",1.41844545550491,1.41844545550491,"Not Capped"
"29862","chr18",76492794,76493194,401,"*",5.81844094632212,5.90503878008715,5.70232928178797,0.415049193512782,0.038175754018953,0.999820495462944,50.2,68.67,41.45,75.61,63.68,58.12,32.45,75.67,42.03,"ZNF516","+2196","Significant",1.4182123763269,1.4182123763269,"Not Capped"
"29883","chr19",4035634,4036034,401,"*",3.35276374330431,2.64249083044294,3.92419238947978,-1.0544458738585,0.0381854080960824,0.999820495462944,5.23,7.16,4.32,7.88,6.64,16.95,9.46,22.06,12.26,"PIAS4","+28188","Significant",1.41810256363334,1.41810256363334,"Not Capped"
"29970","chr8",127977721,127978121,401,"*",4.69631098823563,4.84427604191795,4.48707154205936,0.567808474353645,0.0383953092226039,0.999820495462944,24.07,32.92,19.87,36.24,30.53,25.03,13.98,32.59,18.1,"MYC","+241852","Significant",1.41572183040267,1.41572183040267,"Not Capped"
"29981","chr7",19043741,19044141,401,"*",2.65313089489816,3.12292066729261,1.70656325089581,1.59081698403445,0.0384499435148917,0.999820495462944,7.3,9.98,6.03,10.99,9.26,3.64,2.03,4.74,2.63,"TWIST1","+73731","Significant",1.41510429386486,1.41510429386486,"Not Capped"
"30046","chr12",111056702,111057102,401,"*",4.34408049033418,3.89056044219518,4.7632702539686,-0.655449707303397,0.0386587082264821,0.999820495462944,12.43,17,10.26,18.71,15.76,30.31,16.92,39.47,21.92,"CUX2","+22878","Significant",1.41275266193405,1.41275266193405,"Not Capped"
"30374","chr3",4821959,4822359,401,"*",5.05513899981746,5.17412583176123,4.89111976203197,0.494453924968086,0.0397294445496568,0.999820495462944,30.25,41.38,24.98,45.55,38.37,33.12,18.49,43.13,23.95,"BHLHE40","-156957","Significant",1.4008875066966,1.4008875066966,"Not Capped"
"30462","chr11",34564627,34565027,401,"*",3.27655982155175,2.51916415529703,3.87162988098136,-1.1233908990114,0.0400216496596579,0.999820495462944,4.8,6.57,3.97,7.23,6.09,16.34,9.12,21.27,11.82,"ELF5","-53028","Significant",1.39770501406761,1.39770501406761,"Not Capped"
"30495","chr2",10043751,10044151,401,"*",5.90679364515689,5.60051557291732,6.21607832824757,-0.401405636204862,0.0401830076513754,0.999820495462944,40.65,55.61,33.56,61.22,51.56,82.98,46.33,108.04,60.01,"KLF11","+396","Significant",1.39595755993445,1.39595755993445,"Not Capped"
"30529","chr19",52923291,52923691,401,"*",5.15650756399469,5.27143307636536,4.99864339042328,0.484350638778104,0.0403179748309567,0.999820495462944,32.36,44.27,26.72,48.73,41.04,35.69,19.92,46.46,25.81,"ZNF888","-10","Significant",1.39450129059599,1.39450129059599,"Not Capped"
"30551","chr17",16690007,16690407,401,"*",2.90060251594336,2.00799398077475,3.55751147243746,-1.31123850043234,0.0404405675681217,0.999820495462944,3.37,4.61,2.78,5.07,4.27,13.14,7.34,17.11,9.5,"ZNF624","-36354","Significant",1.39318275787892,1.39318275787892,"Not Capped"
"30594","chr15",90034441,90034841,401,"*",4.13215537347746,3.64314661443637,4.57507965824619,-0.713328263074538,0.040644077354581,0.999820495462944,10.47,14.32,8.64,15.76,13.28,26.61,14.85,34.64,19.24,"ZNF710","+33249","Significant",1.39100273074944,1.39100273074944,"Not Capped"
"30604","chr12",8180154,8180554,401,"*",5.33976380142545,5.44104477804693,5.20226375751163,0.450612043920061,0.0406756547910095,0.999820495462944,36.4,49.79,30.05,54.81,46.17,41.1,22.94,53.5,29.72,"ZNF705A","+7817","Significant",1.39066544712292,1.39066544712292,"Not Capped"
"30658","chr16",4538387,4538787,401,"*",6.23398258137129,5.93654913652616,6.53601104612071,-0.385540004795895,0.0408393197583482,0.999820495462944,51.31,70.19,42.37,77.28,65.08,103.58,57.83,134.86,74.91,"CDIP1","-23478","Significant",1.38892150036711,1.38892150036711,"Not Capped"
"30724","chr4",184453421,184453821,401,"*",4.82081605820016,4.44105307644763,5.18739867341468,-0.530792452110247,0.0411117242169131,0.999820495462944,18.2,24.89,15.03,27.41,23.08,40.67,22.71,52.96,29.42,"IRF2","+20959","Significant",1.38603430862009,1.38603430862009,"Not Capped"
"30735","chr20",51511101,51511501,401,"*",2.83549546059328,1.88259634034673,3.51740195840549,-1.39306811723078,0.0411406663783912,0.999820495462944,3.09,4.23,2.55,4.65,3.92,12.78,7.14,16.64,9.24,"NFATC2","+31418","Significant",1.38572867807362,1.38572867807362,"Not Capped"
"30777","chr6",135163293,135163693,401,"*",4.38539992822862,3.94661887775589,4.79444092895725,-0.63063957683726,0.0412721726403626,0.999820495462944,12.92,17.67,10.67,19.45,16.39,30.98,17.29,40.33,22.4,"MYB","-17822","Significant",1.38434266848908,1.38434266848908,"Not Capped"
"30788","chr19",52942427,52942827,401,"*",5.4805998710389,5.57509488023892,5.3530511852058,0.434097015072861,0.0413100280148926,0.999820495462944,39.94,54.64,32.98,60.15,50.66,45.62,25.47,59.4,32.99,"ZNF888","-19146","Significant",1.38394451050128,1.38394451050128,"Not Capped"
"31143","chr6",28267044,28267444,401,"*",5.40007523907742,5.49649843167753,5.26971067299711,0.438799635130293,0.0424199872235432,0.999820495462944,37.82,51.74,31.23,56.96,47.97,43.06,24.04,56.07,31.14,"ZSCAN26","+91","Significant",1.3724294666244,1.3724294666244,"Not Capped"
"31277","chr7",50321786,50322186,401,"*",5.03684612558002,5.1544144667667,4.87498161350465,0.490878891806038,0.0429120980681379,0.999820495462944,29.84,40.82,24.64,44.94,37.85,32.75,18.29,42.65,23.69,"IKZF1","+17204","Significant",1.36742025132284,1.36742025132284,"Not Capped"
