"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","GREAT_SYMBOL","Distance","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"20610","chr9",124735563,124735963,401,"*",3.15834029693909,3.6429617964274,2.42325205431788,1.29586938315953,0.0192803709084526,0.999789157560756,16.63,8.37,9.68,12.08,15.71,6.03,3.47,4.87,7.62,4.83,"NR6A1","+35514","Significant",1.71488461556053,1.71488461556053,"Not Capped"
"20687","chr18",44983229,44983629,401,"*",2.93389702978786,3.46685297126537,2.07953353848853,1.45724572937236,0.0195849130270381,0.999789157560756,14.72,7.4,8.57,10.69,13.9,4.75,2.74,3.84,6.01,3.81,"SETBP1","+302531","Significant",1.70807835273298,1.70807835273298,"Not Capped"
"20754","chr11",9506757,9507157,401,"*",3.47737665871955,3.87815884740053,2.92050904209568,1.04274930513059,0.02007703657911,0.999789157560756,19.58,9.85,11.39,14.21,18.49,8.51,4.9,6.87,10.76,6.82,"ZNF143","+45992","Significant",1.69730038975,1.69730038975,"Not Capped"
"20787","chr10",92689262,92689662,401,"*",3.86827376930958,3.30362067572976,4.27304833505136,-0.864147160786711,0.0201703423605529,0.999789157560756,13.15,6.61,7.65,9.54,12.41,21.72,12.51,17.55,27.47,17.4,"HHEX","-489","Significant",1.6952867302435,1.6952867302435,"Not Capped"
"20842","chr19",12613763,12614163,401,"*",4.64849430068458,4.882904553673,4.36846495020982,0.608870920015918,0.020324771775905,0.999789157560756,39.29,19.76,22.86,28.52,37.1,23.21,13.37,18.75,29.35,18.59,"ZNF791","+3045","Significant",1.69197432234012,1.69197432234012,"Not Capped"
"21035","chr5",3659852,3660252,401,"*",3.73770460603646,4.09896477650972,3.25463262192499,0.932569216183671,0.0212743500257881,0.999789157560756,22.82,11.48,13.28,16.56,21.54,10.72,6.18,8.67,13.56,8.59,"IRX1","+63998","Significant",1.67214369961121,1.67214369961121,"Not Capped"
"21068","chr9",126637308,126637708,401,"*",3.93900647867826,3.38090076205765,4.34042574472143,-0.85493065059861,0.021309673368643,0.999789157560756,13.87,6.98,8.07,10.07,13.1,22.76,13.11,18.39,28.79,18.24,"LMX1B","+23065","Significant",1.67142320703301,1.67142320703301,"Not Capped"
"21220","chr1",40449909,40450309,401,"*",4.86676801020266,5.07851890569547,4.61850109115153,0.555032181177812,0.0219629714592543,0.999789157560756,44.99,22.63,26.18,32.66,42.48,27.6,15.9,22.3,34.91,22.11,"ZFP69B","+2","Significant",1.65830890278954,1.65830890278954,"Not Capped"
"21253","chr8",76060534,76060934,401,"*",3.25199039963618,2.45821612256153,3.76109531598307,-1.18831023127941,0.0221247723350405,0.999789157560756,7.32,3.68,4.26,5.31,6.91,15.23,8.77,12.31,19.27,12.21,"HNF4G","+520865","Significant",1.65512118951802,1.65512118951802,"Not Capped"
"21487","chr1",248863095,248863495,401,"*",5.15070673546768,4.80751008753274,5.4277479578505,-0.520999116585398,0.023345156469413,0.999789157560756,37.29,18.75,21.7,27.07,35.21,48.36,27.86,39.08,61.17,38.75,"ZNF692","-4435","Significant",1.63180321089253,1.63180321089253,"Not Capped"
"21520","chr19",39793060,39793460,401,"*",4.58619693958345,4.82083501965597,4.30584208956292,0.608997526489043,0.0235163454503274,0.999789157560756,37.63,18.93,21.9,27.32,35.53,22.22,12.8,17.96,28.11,17.8,"LEUTX","+16665","Significant",1.62863016873857,1.62863016873857,"Not Capped"
"21541","chr2",239035398,239035798,401,"*",4.43915752759119,4.68651862931776,4.14042467843154,0.639702018083744,0.0235428232151727,0.999789157560756,34.29,17.24,19.95,24.89,32.38,19.81,11.41,16.01,25.06,15.88,"TWIST2","+187566","Significant",1.62814145851674,1.62814145851674,"Not Capped"
"21562","chr5",179023625,179024025,401,"*",5.49157032261606,5.16191333945962,5.7597344129236,-0.499039341793972,0.0236303372632705,0.999789157560756,47.67,23.98,27.74,34.61,45.01,60.87,35.07,49.2,77,48.78,"ZNF879","+73","Significant",1.6265300798686,1.6265300798686,"Not Capped"
"21638","chr5",23648465,23648865,401,"*",3.147879531669,2.28280313969921,3.68490981501683,-1.28315635012503,0.0239520341690767,0.999789157560756,6.48,3.26,3.77,4.7,6.12,14.45,8.32,11.68,18.28,11.58,"PRDM9","+141050","Significant",1.62065759745231,1.62065759745231,"Not Capped"
"21660","chr4",18021793,18022193,401,"*",5.75739088427594,5.429693914405,6.0242584310024,-0.496021132485993,0.0240601040092326,0.999789157560756,57.39,28.87,33.4,41.67,54.19,73.12,42.12,59.1,92.49,58.59,"LCORL","-133","Significant",1.61870249958395,1.61870249958395,"Not Capped"
"21682","chr14",73886556,73886956,401,"*",5.45878696282074,5.12936305916857,5.72679702491546,-0.498581371232738,0.024429885211401,0.999789157560756,46.6,23.44,27.12,33.84,44.01,59.5,34.28,48.09,75.26,47.68,"ZNF410","-115","Significant",1.61207857363943,1.61207857363943,"Not Capped"
"21770","chr6",31180524,31180924,401,"*",4.34523968497696,4.60106084849104,4.03406427911944,0.66016718846906,0.0249836713230481,0.999789157560756,32.31,16.25,18.81,23.46,30.51,18.41,10.6,14.87,23.28,14.75,"POU5F1","-10031","Significant",1.60234374217545,1.60234374217545,"Not Capped"
"22028","chr4",41650423,41650823,401,"*",2.98229028386839,2.05749340818803,3.54128796984764,-1.36059083858941,0.0262230951156035,0.999789157560756,5.54,2.79,3.23,4.02,5.23,13.08,7.53,10.57,16.54,10.48,"PHOX2B","+98347","Significant",1.58131604978183,1.58131604978183,"Not Capped"
"22094","chr17",42322766,42323166,401,"*",4.66883194523521,4.88870848188478,4.40931242337833,0.574010354110073,0.0266066994877287,0.999789157560756,39.44,19.84,22.96,28.64,37.25,23.87,13.75,19.29,30.2,19.13,"STAT5A","+35419","Significant",1.57500899554137,1.57500899554137,"Not Capped"
"22116","chr21",32771748,32772148,401,"*",5.7606002578824,5.9428709754621,5.55192528029805,0.487167997199444,0.0266528997740262,0.999789157560756,81.91,41.2,47.67,59.46,77.34,52.71,30.36,42.6,66.67,42.23,"PAXBP1","-90","Significant",1.57425553382884,1.57425553382884,"Not Capped"
"22304","chr16",88470517,88470917,401,"*",2.96529737284334,2.08378331903575,3.50849876117636,-1.30269620500073,0.0271325961240365,0.999789157560756,5.64,2.84,3.28,4.1,5.33,12.79,7.37,10.33,16.17,10.25,"ZFPM1","+17400","Significant",1.5665086497179,1.5665086497179,"Not Capped"
"22315","chr5",179166931,179167331,401,"*",4.69284500905255,4.31638236600788,4.99112319894334,-0.574599051980842,0.0271366926038475,0.999789157560756,26.53,13.34,15.44,19.26,25.05,35.73,20.58,28.88,45.2,28.63,"ZNF354C","+106716","Significant",1.56644308487921,1.56644308487921,"Not Capped"
"22610","chr8",80673634,80674034,401,"*",3.01563132652959,3.49691391674936,2.28828957262516,1.28374886693119,0.0285800910652246,0.999789157560756,15.03,7.56,8.75,10.91,14.19,5.49,3.16,4.44,6.94,4.4,"ZBTB10","+188167","Significant",1.54393639174304,1.54393639174304,"Not Capped"
"22674","chr19",16283672,16284072,401,"*",4.02168527187724,3.52632595883684,4.38974399365282,-0.759841789811053,0.0287884377375727,0.999789157560756,15.34,7.72,8.93,11.14,14.49,23.55,13.57,19.03,29.79,18.87,"KLF2","-40945","Significant",1.54078190234528,1.54078190234528,"Not Capped"
"22760","chr12",24059456,24059856,401,"*",3.09814129454325,3.55905242969054,2.41680910241178,1.21976120780858,0.0292038969196341,0.999789157560756,15.69,7.89,9.13,11.39,14.82,6,3.46,4.85,7.59,4.81,"SOX5","-109953","Significant",1.53455919314842,1.53455919314842,"Not Capped"
"22770","chr8",101137247,101137647,401,"*",5.18204023667478,4.84800003672168,5.45309325289539,-0.506021814828538,0.0292658448562414,0.999789157560756,38.35,19.29,22.32,27.84,36.21,49.22,28.35,39.78,62.25,39.44,"ZNF706","+67840","Significant",1.53363893400982,1.53363893400982,"Not Capped"
"22847","chr14",89767716,89768116,401,"*",3.78076416054864,4.10708657208124,3.35837292494833,0.837849373075753,0.0296098944820965,0.999789157560756,22.95,11.54,13.35,16.66,21.67,11.52,6.64,9.31,14.57,9.23,"FOXN3","-148786","Significant",1.52856314026098,1.52856314026098,"Not Capped"
"22869","chr4",56656030,56656430,401,"*",4.26263412151389,3.82114943331001,4.60020089909297,-0.677104283192342,0.0296703396963282,0.999789157560756,18.82,9.47,10.95,13.66,17.77,27.25,15.7,22.02,34.47,21.83,"HOPX","+25476","Significant",1.52767748140826,1.52767748140826,"Not Capped"
"23010","chr8",102655677,102656077,401,"*",5.7686427216964,5.45128274012635,6.02862366305532,-0.478816678679768,0.0303833317856546,0.999789157560756,58.26,29.3,33.9,42.29,55.01,73.35,42.25,59.27,92.77,58.77,"KLF10","+25","Significant",1.51736460385094,1.51736460385094,"Not Capped"
"23162","chr8",54459585,54459985,401,"*",3.44504021320622,2.77244241289647,3.90197671941148,-1.01860857972411,0.0309951674860604,0.999789157560756,9.1,4.58,5.29,6.6,8.59,16.8,9.68,13.57,21.24,13.46,"SOX17","+1850","Significant",1.50870601254437,1.50870601254437,"Not Capped"
"23173","chr12",104109176,104109576,401,"*",3.87612314468996,4.18624513627497,3.4805502923003,0.795877137872467,0.0310535976057928,0.999789157560756,24.24,12.19,14.11,17.6,22.89,12.54,7.22,10.13,15.86,10.05,"NFYB","+28913","Significant",1.50788807890653,1.50788807890653,"Not Capped"
"23194","chr8",128075795,128076195,401,"*",3.08508714606648,3.55187345801699,2.39070171542767,1.23799272851918,0.0311539840747043,0.999789157560756,15.62,7.85,9.09,11.34,14.75,5.89,3.39,4.76,7.45,4.72,"MYC","+339926","Significant",1.50648640643598,1.50648640643598,"Not Capped"
"23292","chr8",66613262,66613662,401,"*",5.69506855349128,5.38206712184651,5.9521210167064,-0.471512479685154,0.0315417782283764,0.999789157560756,55.53,27.93,32.31,40.31,52.43,69.56,40.07,56.21,87.98,55.73,"MYBL1","-213","Significant",1.50111382613071,1.50111382613071,"Not Capped"
"23325","chr9",4296066,4296466,401,"*",2.98010872010684,3.45262551056222,2.27282473027413,1.2546840396999,0.0316096204674631,0.999789157560756,14.58,7.33,8.48,10.58,13.77,5.43,3.13,4.39,6.87,4.35,"GLIS3","+3650","Significant",1.50018071864558,1.50018071864558,"Not Capped"
"23359","chr11",114059551,114059951,401,"*",4.51998800529008,4.12743842734819,4.828253146802,-0.600022888553163,0.031835704087174,0.999789157560756,23.27,11.7,13.54,16.89,21.97,31.92,18.39,25.79,40.37,25.57,"ZBTB16","+158","Significant",1.4970855407179,1.4970855407179,"Not Capped"
"23370","chr1",90200173,90200573,401,"*",2.71365491914166,3.24604532862348,1.86076976772667,1.45035295268967,0.0318380504988523,0.999789157560756,12.63,6.35,7.35,9.17,11.93,4.08,2.35,3.3,5.16,3.27,"ZNF326","+205258","Significant",1.4970535327532,1.4970535327532,"Not Capped"
"23381","chr12",104137985,104138385,401,"*",5.70922508202297,5.39687210852594,5.96584058491522,-0.470471501267684,0.0318490154988406,0.999789157560756,56.1,28.22,32.65,40.73,52.97,70.22,40.45,56.75,88.82,56.27,"NFYB","+104","Significant",1.49690398781934,1.49690398781934,"Not Capped"
"23477","chr2",121295285,121295685,401,"*",3.77678879261391,3.22570686319077,4.17458288607611,-0.843873283787678,0.0322499494071462,0.999789157560756,12.46,6.26,7.25,9.04,11.76,20.29,11.69,16.4,25.66,16.26,"TFCP2L1","-10278","Significant",1.49147096233769,1.49147096233769,"Not Capped"
"23638","chr3",4978829,4979229,401,"*",4.8990550276028,4.55324066555044,5.17779669306433,-0.524881767502686,0.0331518901682608,0.999789157560756,31.26,15.72,18.19,22.7,29.52,40.67,23.43,32.87,51.44,32.59,"BHLHE40","-87","Significant",1.47949170507992,1.47949170507992,"Not Capped"
"23672","chr1",58726447,58726847,401,"*",2.51543143079089,3.08482591478371,1.56115220701515,1.58014615039246,0.0333731372618956,0.999789157560756,11.3,5.68,6.57,8.2,10.67,3.32,1.91,2.68,4.19,2.66,"MYSM1","-26555","Significant",1.47660296531145,1.47660296531145,"Not Capped"
"23846","chr7",129737121,129737521,401,"*",2.84641417031858,1.88097874277878,3.41966864039585,-1.41202160555652,0.0338623467448121,0.999789157560756,4.9,2.47,2.85,3.56,4.63,12.02,6.93,9.72,15.21,9.63,"NRF1","+107243","Significant",1.47028294749685,1.47028294749685,"Not Capped"
"24054","chr2",189784239,189784639,401,"*",6.24427479702201,5.93084087412121,6.50161850966241,-0.472602160592009,0.0347577531892178,0.999789157560756,81.23,40.85,47.27,58.97,76.7,101.8,58.64,82.27,128.76,81.57,"PMS1","+58","Significant",1.4589483049812,1.4589483049812,"Not Capped"
"24417","chr7",109358254,109358654,401,"*",2.21463245579642,2.84157496734115,1.08082441627918,1.7939975490453,0.0363884648601191,0.999789157560756,9.54,4.8,5.55,6.93,9.01,2.38,1.37,1.92,3.01,1.9,"THAP5","-788731","Significant",1.43903626584389,1.43903626584389,"Not Capped"
"24604","chr19",55587209,55587609,401,"*",4.73944503687245,4.93767617145991,4.50957073486897,0.523006958322132,0.0377875523085502,0.999789157560756,40.81,20.52,23.75,29.63,38.53,25.59,14.74,20.68,32.37,20.51,"ZNF579","-6588","Significant",1.42265123862858,1.42265123862858,"Not Capped"
"24672","chr7",149090618,149091018,401,"*",6.02108823336318,5.71657444367942,6.27239521591379,-0.457562386903675,0.0380620640359356,0.999789157560756,70.02,35.22,40.75,50.83,66.11,86.85,50.03,70.19,109.85,69.59,"ZNF786","-113","Significant",1.41950766441705,1.41950766441705,"Not Capped"
"24703","chr17",1240579,1240979,401,"*",2.94393577995343,2.0800002399851,3.48053415666633,-1.27800812425212,0.0381097228070099,0.999789157560756,5.63,2.83,3.28,4.09,5.32,12.54,7.22,10.13,15.86,10.05,"BHLHA9","-29780","Significant",1.41896421007915,1.41896421007915,"Not Capped"
"24769","chr2",170620326,170620726,401,"*",3.26131758101599,3.66472110974961,2.69934529766521,1.04804486410558,0.038272088687885,0.999789157560756,16.89,8.49,9.83,12.26,15.95,7.3,4.2,5.9,9.23,5.85,"SP5","-94825","Significant",1.41711783563623,1.41711783563623,"Not Capped"
"24834","chr19",57718791,57719191,401,"*",2.8371423924196,3.3355429301666,2.06944324023336,1.33833381743627,0.0385323397363744,0.999789157560756,13.44,6.76,7.82,9.76,12.69,4.72,2.72,3.81,5.96,3.78,"ZNF671","+8633","Significant",1.41417461923134,1.41417461923134,"Not Capped"
"24901","chr1",212665240,212665640,401,"*",4.58799652932265,4.2239892997036,4.8784169518364,-0.554103354234883,0.0386684603103122,0.999789157560756,24.88,12.51,14.48,18.06,23.5,33.05,19.04,26.71,41.8,26.48,"BATF3","+34545","Significant",1.41264312019608,1.41264312019608,"Not Capped"
"25010","chr13",99989384,99989784,401,"*",3.70388227479689,3.1522495274264,4.10196162905982,-0.843798150807359,0.0390270423074872,0.999789157560756,11.84,5.95,6.89,8.59,11.18,19.29,11.11,15.59,24.4,15.46,"ZIC2","+7812","Significant",1.40863436079177,1.40863436079177,"Not Capped"
"25051","chr1",47416953,47417353,401,"*",3.78939087221281,3.26653010905743,4.17234540282049,-0.800598885818065,0.039329524508397,0.999789157560756,12.81,6.44,7.46,9.3,12.1,20.26,11.67,16.37,25.62,16.23,"FOXE3","+1081","Significant",1.40528130415287,1.40528130415287,"Not Capped"
"25344","chr19",53158864,53159264,401,"*",4.47976313722447,4.69881565058951,4.22139165068137,0.571465523771766,0.0408900664445983,0.999789157560756,34.58,17.39,20.12,25.1,32.65,20.96,12.07,16.94,26.51,16.79,"ZNF347","-4","Significant",1.38838218373525,1.38838218373525,"Not Capped"
"25366","chr11",114073801,114074201,401,"*",4.26074148680864,3.84005776177624,4.58604674072798,-0.644163166548762,0.0410314215736028,0.999789157560756,19.07,9.59,11.1,13.84,18.01,26.98,15.54,21.81,34.13,21.62,"ZBTB16","+14408","Significant",1.3868834362167,1.3868834362167,"Not Capped"
"25518","chr7",27219776,27220176,401,"*",3.76683130868601,3.24394663065937,4.14979860323952,-0.800704464303968,0.0417329203517939,0.999789157560756,12.61,6.34,7.34,9.16,11.91,19.94,11.49,16.12,25.22,15.98,"HOXA13","-19870","Significant",1.37952122352475,1.37952122352475,"Not Capped"
"25640","chr14",75427588,75427988,401,"*",4.5320108595442,4.16468337098699,4.82453677118032,-0.559464092884359,0.042178070699193,0.999789157560756,23.88,12.01,13.9,17.34,22.55,31.84,18.34,25.73,40.27,25.51,"JDP2","-4346","Significant",1.37491328955285,1.37491328955285,"Not Capped"
"25826","chr6",19538045,19538445,401,"*",3.41130092281667,3.79071934703372,2.89504217740353,0.980940042847037,0.0430323900704489,0.999789157560756,18.43,9.27,10.72,13.38,17.4,8.36,4.81,6.75,10.57,6.7,"ID4","-299141","Significant",1.36620453201224,1.36620453201224,"Not Capped"
"25849","chr19",11766853,11767253,401,"*",4.98906254333038,5.16639868650624,4.78683256892748,0.475064514274394,0.0431115300647683,0.999789157560756,47.82,24.05,27.83,34.71,45.15,31.01,17.87,25.06,39.23,24.85,"ZNF441","-39","Significant",1.36540656339306,1.36540656339306,"Not Capped"
"25882","chr19",52139820,52140220,401,"*",5.30028169861372,5.46735034007906,5.11130079328835,0.451970250706839,0.0431543330048314,0.999789157560756,58.91,29.63,34.28,42.77,55.63,38.84,22.37,31.39,49.12,31.12,"ZNF616","-103","Significant",1.36497559147572,1.36497559147572,"Not Capped"
