# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	OR4F16 (-115333)
Region115	MMEL1 (-20230)
Region116	MMEL1 (-21126)
Region117	MMEL1 (-21979)
Region118	MMEL1 (-22560)
Region119	MMEL1 (-51323)
Region120	MMEL1 (-55260)
Region121	MMEL1 (-64711)
Region122	MMEL1 (-114627)
Region123	MMEL1 (-115751)
Region124	MMEL1 (-117672)
Region125	MMEL1 (-120319)
Region126	MMEL1 (-123777)
Region127	MMEL1 (-125658)
Region128	MMEL1 (-132451)
Region129	MMEL1 (-164275)
Region130	ACTRT2 (-181037)
Region131	ACTRT2 (-172149)
Region132	ACTRT2 (-144314)
Region133	ACTRT2 (-60588)
Region134	ACTRT2 (-23546)
Region135	PRDM16 (-2567)
Region136	PRDM16 (+37885)
Region137	PRDM16 (+43874)
Region138	ARHGEF16 (+26261)
Region139	ARHGEF16 (+76981)
Region140	MEGF6 (+27820)
Region141	MEGF6 (+26451)
Region142	TPRG1L (+50)
Region143	WRAP73 (+78)
Region144	TP73 (+49952)
Region145	SMIM1 (-25572)
Region146	SMIM1 (-15982)
Region147	SMIM1 (-66)
Region148	LRRC47 (+134)
Region149	LRRC47 (-5098)
Region150	CEP104 (+15371)
Region151	DFFB (+266)
Region152	C1orf174 (+18818)
Region153	C1orf174 (+7705)
Region154	C1orf174 (-256)
Region155	C1orf174 (-18924)
Region156	C1orf174 (-87256)
Region157	C1orf174 (-100655)
Region158	C1orf174 (-121077)
Region159	C1orf174 (-177871)
Region160	C1orf174 (-244333)
Region161	C1orf174 (-248785)
Region162	C1orf174 (-344771)
Region163	AJAP1 (-351890)
Region164	AJAP1 (-249133)
Region165	AJAP1 (-246307)
Region166	AJAP1 (-123049)
Region167	AJAP1 (-1877)
Region168	AJAP1 (+206225)
Region169	AJAP1 (+255828)
Region170	AJAP1 (+280769)
Region171	AJAP1 (+284511)
Region172	AJAP1 (+325364)
Region173	AJAP1 (+329569)
Region174	AJAP1 (+331488)
Region175	AJAP1 (+365690)
Region176	AJAP1 (+490292)
Region177	AJAP1 (+509361)
Region178	AJAP1 (+621825)
Region179	AJAP1 (+631285)
Region180	AJAP1 (+634040)
Region181	NPHP4 (+603265)
Region182	NPHP4 (+593396)
Region183	NPHP4 (+569924)
Region184	NPHP4 (+557472)
Region185	NPHP4 (+548832)
Region186	NPHP4 (+534969)
Region187	NPHP4 (+435582)
Region188	NPHP4 (+370763)
Region189	NPHP4 (+345923)
Region190	NPHP4 (+345463)
Region191	NPHP4 (+288786)
Region192	NPHP4 (+259417)
Region193	NPHP4 (+189994)
Region194	NPHP4 (+167093)
Region195	NPHP4 (+98682)
Region196	NPHP4 (+79806)
Region197	NPHP4 (+141)
Region198	KCNAB2 (-19779)
Region199	KCNAB2 (-17513)
Region200	CHD5 (-9509)
Region201	RPL22 (+159)
Region202	ICMT (+2)
Region203	ACOT7 (+37422)
Region204	ACOT7 (+26864)
Region205	ACOT7 (-7859)
Region206	HES2 (+14862)
Region207	HES2 (+14154)
Region208	ESPN (-1075)
Region209	TNFRSF25 (+5647)
Region210	TNFRSF25 (-9648)
Region211	TNFRSF25 (-11912)
Region212	PLEKHG5 (-24489)
Region213	NOL9 (+127)
Region214	ZBTB48 (-67)
Region215	KLHL21 (-329)
Region216	PHF13 (-74)
Region217	PHF13 (+748)
Region218	THAP3 (+354)
Region219	DNAJC11 (+27028)
Region220	DNAJC11 (+190)
Region221	DNAJC11 (-40196)
Region222	DNAJC11 (-41544)
Region223	CAMTA1 (-15273)
Region224	CAMTA1 (-298)
Region225	CAMTA1 (+122668)
Region226	CAMTA1 (+190586)
Region227	CAMTA1 (+235330)
Region228	CAMTA1 (+285083)
Region229	CAMTA1 (+326347)
Region230	CAMTA1 (+357457)
Region231	VAMP3 (-434462)
Region232	VAMP3 (-410596)
Region233	VAMP3 (-357648)
Region234	VAMP3 (-149872)
Region235	VAMP3 (-103460)
Region236	VAMP3 (-101671)
Region237	VAMP3 (-66636)
Region238	VAMP3 (-446)
Region239	VAMP3 (+163)
Region240	PER3 (-176)
Region241	PER3 (+6722)
Region242	PER3 (+23588)
Region243	UTS2 (-22914)
Region244	TNFRSF9 (+40840)
Region245	TNFRSF9 (+40278)
Region246	TNFRSF9 (+27334)
Region247	TNFRSF9 (-30)
Region248	PARK7 (-7370)
Region249	PARK7 (-109)
Region250	ERRFI1 (-75)
Region251	ERRFI1 (-53624)
Region252	ERRFI1 (-110675)
Region253	ERRFI1 (-123563)
Region254	ERRFI1 (-126876)
Region255	ERRFI1 (-143651)
Region256	SLC45A1 (-49278)
Region257	SLC45A1 (+499)
Region258	SLC45A1 (+65368)
Region259	SLC45A1 (+105987)
Region260	SLC45A1 (+113269)
Region261	SLC45A1 (+172268)
Region262	SLC45A1 (+184062)
Region263	SLC45A1 (+207863)
Region264	RERE (+140238)
Region265	RERE (+116011)
Region266	RERE (+114007)
Region267	RERE (+6059)
Region268	RERE (-135)
Region269	ENO1 (+29714)
Region270	ENO1 (+15869)
Region271	ENO1 (-36)
Region272	CA6 (-19071)
Region273	CA6 (-18231)
Region274	CA6 (+25267)
Region275	SLC2A7 (+21811)
Region276	SLC2A7 (+21311)
Region277	SLC2A7 (-17500)
Region278	SLC2A5 (+5997)
Region279	SLC2A5 (-29026)
Region280	GPR157 (+18105)
Region281	GPR157 (+6784)
Region282	GPR157 (-44)
Region283	GPR157 (-53870)
Region284	H6PD (-27747)
Region285	H6PD (-5079)
Region286	SPSB1 (-9819)
Region287	SPSB1 (-11)
Region288	SPSB1 (+27670)
Region289	SPSB1 (+62432)
Region290	SPSB1 (+84581)
Region291	SPSB1 (+107817)
Region292	SPSB1 (+118328)
Region293	SLC25A33 (-110504)
Region294	SLC25A33 (-44065)
Region295	SLC25A33 (-22539)
Region296	SLC25A33 (+54)
Region297	SLC25A33 (+9193)
Region298	SLC25A33 (+13991)
Region299	SLC25A33 (+19073)
Region300	TMEM201 (+161)
Region301	PIK3CD (-24435)
Region302	PIK3CD (-22024)
Region303	PIK3CD (-10146)
Region304	PIK3CD (-4787)
Region305	PIK3CD (+145)
Region306	PIK3CD (+696)
Region307	PIK3CD (+13569)
Region308	PIK3CD (+23567)
Region309	PIK3CD (+37694)
Region310	PIK3CD (+66083)
Region311	PIK3CD (+77088)
Region312	CLSTN1 (+530)
Region313	CTNNBIP1 (+42862)
Region314	CTNNBIP1 (+42519)
Region315	CTNNBIP1 (+27912)
Region316	CTNNBIP1 (-228)
Region317	LZIC (+12390)
Region318	LZIC (+6008)
Region319	LZIC (+346)
Region320	RBP7 (-24923)
Region321	RBP7 (-6575)
Region322	UBE4B (-7355)
Region323	UBE4B (-486)
Region324	UBE4B (+25446)
Region325	UBE4B (+30725)
Region326	KIF1B (-55150)
Region327	KIF1B (-21110)
Region328	KIF1B (-335)
Region329	PGD (-98)
Region330	CENPS (+150)
Region331	DFFA (+100)
Region332	PEX14 (+88)
Region333	PEX14 (+10487)
Region334	PEX14 (+20156)
Region335	PEX14 (+21196)
Region336	PEX14 (+36101)
Region337	PEX14 (+126332)
Region338	PEX14 (+146960)
Region339	CASZ1 (+102180)
Region340	CASZ1 (+423)
Region341	CASZ1 (-49679)
Region342	CASZ1 (-70445)
Region343	TARDBP (-59806)
Region344	TARDBP (-38278)
Region345	TARDBP (-7756)
Region346	TARDBP (+200)
Region347	MASP2 (+9330)
Region348	SRM (+6)
Region349	SRM (-9005)
Region350	EXOSC10 (+14553)
Region351	EXOSC10 (+101)
Region352	ANGPTL7 (-22939)
Region353	ANGPTL7 (-17103)
Region354	ANGPTL7 (+2740)
Region355	MTOR (+80)
Region356	UBIAD1 (-398)
Region357	UBIAD1 (+264)
Region358	UBIAD1 (+7843)
Region359	DISP3 (-92)
Region360	DISP3 (+691)
Region361	DISP3 (+43509)
Region362	FBXO2 (+74326)
Region363	FBXO2 (+57104)
Region364	FBXO2 (+28392)
Region365	FBXO2 (+12474)
Region366	FBXO2 (+4090)
Region367	FBXO6 (+246)
Region368	FBXO6 (+651)
Region369	MAD2L2 (+10514)
Region370	AGTRAP (-16559)
Region371	AGTRAP (-6034)
Region372	AGTRAP (-19)
Region373	AGTRAP (+2222)
Region374	AGTRAP (+33074)
Region375	MTHFR (+28613)
Region376	CLCN6 (-154)
Region377	KIAA2013 (+32380)
Region378	KIAA2013 (+17802)
Region379	KIAA2013 (+200)
Region380	PLOD1 (-180)
Region381	MFN2 (-39)
Region382	MIIP (-91)
Region383	TNFRSF8 (+25113)
Region384	TNFRSF1B (-48217)
Region385	TNFRSF1B (-24062)
Region386	TNFRSF1B (-16179)
Region387	TNFRSF1B (-10859)
Region388	TNFRSF1B (+188)
Region389	TNFRSF1B (+6778)
Region390	TNFRSF1B (+11092)
Region391	TNFRSF1B (+12373)
Region392	TNFRSF1B (+19021)
Region393	VPS13D (-21094)
Region394	VPS13D (-13510)
Region395	VPS13D (+105)
Region396	VPS13D (+761)
Region397	VPS13D (+28997)
Region398	DHRS3 (+183431)
Region399	DHRS3 (+179202)
Region400	DHRS3 (+168027)
Region401	DHRS3 (+136716)
Region402	DHRS3 (+109197)
Region403	DHRS3 (+106880)
Region404	DHRS3 (+98048)
Region405	DHRS3 (+57547)
Region406	DHRS3 (+49800)
Region407	DHRS3 (+22585)
Region408	DHRS3 (+659)
Region409	DHRS3 (-559)
Region410	AADACL4 (+31990)
Region411	AADACL4 (+33567)
Region412	AADACL3 (-33073)
Region413	AADACL3 (-23478)
Region414	PRAMEF12 (-3167)
Region415	PRAMEF12 (+2346)
Region416	PRAMEF11 (+6205)
Region417	HNRNPCL1 (+2090)
Region418	PRAMEF10 (-4407)
Region419	PRAMEF7 (-7058)
Region420	PRAMEF25 (+20892)
Region421	HNRNPCL4 (+17456)
Region422	PRAMEF13 (+3651)
Region423	PRAMEF18 (+1058)
Region424	PRAMEF18 (-1904)
Region425	PRAMEF5 (-8001)
Region426	PRAMEF5 (+12270)
Region427	PRAMEF8 (+13990)
Region428	PRAMEF8 (+3240)
Region429	PRAMEF8 (-2914)
Region430	PRAMEF33 (-4828)
Region431	PRAMEF15 (+7961)
Region432	PRAMEF15 (+13605)
Region433	PRAMEF19 (+3903)
Region434	PRAMEF20 (+20239)
Region435	LRRC38 (+49643)
Region436	LRRC38 (+30617)
Region437	PDPN (-22536)
Region438	PDPN (+17566)
Region439	PDPN (+57148)
Region440	PRDM2 (-47175)
Region441	PRDM2 (-38858)
Region442	PRDM2 (-13834)
Region443	PRDM2 (-4646)
Region444	PRDM2 (+26177)
Region445	PRDM2 (+44617)
Region446	PRDM2 (+85456)
Region447	PRDM2 (+86097)
Region448	PRDM2 (+91160)
Region449	PRDM2 (+117387)
Region450	PRDM2 (+124246)
Region451	PRDM2 (+187888)
Region452	PRDM2 (+218543)
Region453	PRDM2 (+255841)
Region454	KAZN (-207821)
Region455	KAZN (-586)
Region456	KAZN (+74368)
Region457	KAZN (+97265)
Region458	KAZN (+99646)
Region459	KAZN (+197923)
Region460	KAZN (+217180)
Region461	KAZN (+231596)
Region462	KAZN (+248980)
Region463	TMEM51 (-253863)
Region464	TMEM51 (-207861)
Region465	TMEM51 (-183557)
Region466	TMEM51 (-174810)
Region467	TMEM51 (-127555)
Region468	TMEM51 (-64426)
Region469	TMEM51 (-26769)
Region470	TMEM51 (-10612)
Region471	TMEM51 (+68671)
Region472	EFHD2 (-105166)
Region473	EFHD2 (-86165)
Region474	EFHD2 (-59350)
Region475	EFHD2 (-147)
Region476	CTRC (-6929)
Region477	CASP9 (-426)
Region478	DNAJC16 (-2)
Region479	DNAJC16 (+20765)
Region480	AGMAT (+6682)
Region481	AGMAT (+5945)
Region482	AGMAT (+342)
Region483	DDI2 (-13954)
Region484	DDI2 (+208)
Region485	PLEKHM2 (+169)
Region486	PLEKHM2 (+12670)
Region487	FBLIM1 (-494)
Region488	UQCRHL (+17160)
Region489	SPEN (-13071)
Region490	SPEN (-11891)
Region491	SPEN (-282)
Region492	SPEN (+11980)
Region493	SPEN (+48844)
Region494	SPEN (+62155)
Region495	ZBTB17 (+58918)
Region496	ZBTB17 (+18999)
Region497	ZBTB17 (-15)
Region498	HSPB7 (+5635)
Region499	CLCNKB (+1122)
Region500	CLCNKB (+12364)
Region501	CLCNKB (+14645)
Region502	FAM131C (+6331)
Region503	FAM131C (-5600)
Region504	FAM131C (-38807)
Region505	EPHA2 (-11774)
Region506	ARHGEF19 (+5759)
Region507	ARHGEF19 (-5018)
Region508	RSG1 (+244)
Region509	RSG1 (-7264)
Region510	RSG1 (-44844)
Region511	FBXO42 (+14367)
Region512	FBXO42 (+6800)
Region513	FBXO42 (-16)
Region514	FBXO42 (-14988)
Region515	FBXO42 (-15708)
Region516	FBXO42 (-30274)
Region517	SPATA21 (+35261)
Region518	NECAP2 (+85)
Region519	NECAP2 (+35770)
Region520	NECAP2 (+58345)
Region521	NECAP2 (+67761)
Region522	NECAP2 (+73354)
Region523	NBPF1 (+78767)
Region524	NBPF1 (+77761)
Region525	NBPF1 (+58038)
Region526	NBPF1 (+52035)
Region527	NBPF1 (+48040)
Region528	NBPF1 (+46761)
Region529	NBPF1 (+22177)
Region530	NBPF1 (+5683)
Region531	NBPF1 (+723)
Region532	NBPF1 (-170)
Region533	NBPF1 (-31287)
Region534	NBPF1 (-53349)
Region535	NBPF1 (-67131)
Region536	NBPF1 (-87739)
Region537	NBPF1 (-96439)
Region538	NBPF1 (-104305)
Region539	NBPF1 (-112157)
Region540	NBPF1 (-114505)
Region541	NBPF1 (-120425)
Region542	NBPF1 (-120802)
Region543	NBPF1 (-127124)
Region544	NBPF1 (-137230)
Region545	NBPF1 (-145739)
Region546	NBPF1 (-152536)
Region547	CROCC (-141893)
Region548	CROCC (-135290)
Region549	CROCC (-123595)
Region550	CROCC (-49142)
Region551	CROCC (-48490)
Region552	CROCC (-32737)
Region553	CROCC (-25753)
Region554	CROCC (-17011)
Region555	CROCC (-7796)
Region556	CROCC (+6053)
Region557	MFAP2 (+29109)
Region558	MFAP2 (+19922)
Region559	ATP13A2 (-99)
Region560	SDHB (+6248)
Region561	SDHB (-116)
Region562	SDHB (-24152)
Region563	PADI1 (+7779)
Region564	PADI3 (-18491)
Region565	PADI4 (+23089)
Region566	PADI4 (+24857)
Region567	PADI4 (+25306)
Region568	PADI6 (-15965)
Region569	RCC2 (+33458)
Region570	RCC2 (+19806)
Region571	RCC2 (+16135)
Region572	RCC2 (+1417)
Region573	RCC2 (+980)
Region574	RCC2 (-135)
Region575	RCC2 (-37950)
Region576	ARHGEF10L (-45392)
Region577	ARHGEF10L (-10228)
Region578	ARHGEF10L (+1387)
Region579	ARHGEF10L (+15943)
Region580	ARHGEF10L (+45076)
Region581	ARHGEF10L (+86249)
Region582	ARHGEF10L (+103278)
Region583	ACTL8 (-5269)
Region584	ACTL8 (+96880)
Region585	ACTL8 (+119143)
Region586	ACTL8 (+124304)
Region587	IGSF21 (-65581)
Region588	IGSF21 (-16993)
Region589	IGSF21 (+24650)
Region590	IGSF21 (+122707)
Region591	IGSF21 (+164284)
Region592	IGSF21 (+175070)
Region593	IGSF21 (+179268)
Region594	KLHDC7A (-177386)
Region595	KLHDC7A (-89154)
Region596	KLHDC7A (-81780)
Region597	KLHDC7A (-71641)
Region598	KLHDC7A (-16160)
Region599	KLHDC7A (+49011)
Region600	KLHDC7A (+50027)
Region601	PAX7 (-60423)
Region602	PAX7 (-55353)
Region603	PAX7 (-50156)
Region604	PAX7 (-33398)
Region605	PAX7 (+53470)
Region606	TAS1R2 (+94707)
Region607	TAS1R2 (+49503)
Region608	ALDH4A1 (+163)
Region609	ENSG00000255275 (-5628)
Region610	ENSG00000255275 (-15579)
Region611	IFFO2 (+8062)
Region612	IFFO2 (+246)
Region613	IFFO2 (-97224)
Region614	IFFO2 (-117912)
Region615	UBR4 (+30203)
Region616	UBR4 (+23)
Region617	MRTO4 (-10236)
Region618	EMC1 (-169)
Region619	AKR7A3 (+398)
Region620	AKR7A2 (+152)
Region621	CAPZB (+58027)
Region622	CAPZB (+32230)
Region623	CAPZB (+21124)
Region624	CAPZB (+15861)
Region625	CAPZB (+7426)
Region626	CAPZB (-635)
Region627	CAPZB (-1176)
Region628	CAPZB (-18789)
Region629	CAPZB (-32670)
Region630	MINOS1-NBL1 (-14601)
Region631	MINOS1 (+214)
Region632	MINOS1 (+15315)
Region633	MINOS1 (+16633)
Region634	NBL1 (+1148)
Region635	NBL1 (+8009)
Region636	NBL1 (+10574)
Region637	HTR6 (+23007)
Region638	HTR6 (+23451)
Region639	HTR6 (+39529)
Region640	TMCO4 (+20458)
Region641	TMCO4 (-122)
Region642	RNF186 (-19514)
Region643	OTUD3 (+50)
Region644	PLA2G2E (+9229)
Region645	PLA2G2F (+13026)
Region646	UBXN10 (+9147)
Region647	UBXN10 (+12973)
Region648	UBXN10 (+27000)
Region649	VWA5B1 (+9654)
Region650	VWA5B1 (+52245)
Region651	VWA5B1 (+86052)
Region652	CAMK2N1 (+55666)
Region653	CAMK2N1 (+41648)
Region654	CAMK2N1 (+23492)
Region655	CAMK2N1 (+19439)
Region656	CAMK2N1 (-7788)
Region657	MUL1 (+63)
Region658	CDA (-39217)
Region659	CDA (-11522)
Region660	CDA (-9754)
Region661	CDA (-260)
Region662	PINK1 (+398)
Region663	DDOST (+14)
Region664	KIF17 (+21340)
Region665	KIF17 (-197)
Region666	SH2D5 (+145)
Region667	SH2D5 (-592)
Region668	HP1BP3 (-247)
Region669	HP1BP3 (-46163)
Region670	HP1BP3 (-85455)
Region671	HP1BP3 (-121306)
Region672	EIF4G3 (-289)
Region673	EIF4G3 (-20993)
Region674	EIF4G3 (-21696)
Region675	ECE1 (+9348)
Region676	ECE1 (-4021)
Region677	ECE1 (-17189)
Region678	ECE1 (-34465)
Region679	ECE1 (-39258)
Region680	ECE1 (-43975)
Region681	ECE1 (-54925)
Region682	NBPF3 (-71559)
Region683	NBPF3 (-63768)
Region684	NBPF3 (-51986)
Region685	NBPF3 (-22314)
Region686	NBPF3 (-144)
Region687	ALPL (-265)
Region688	RAP1GAP (-6408)
Region689	RAP1GAP (-39270)
Region690	USP48 (+40545)
Region691	USP48 (+409)
Region692	LDLRAD2 (-7409)
Region693	LDLRAD2 (+2323)
Region694	HSPG2 (+42312)
Region695	HSPG2 (-69)
Region696	CELA3A (+5352)
Region697	CELA3A (+17612)
Region698	CELA3A (+23577)
Region699	CDC42 (-12581)
Region700	CDC42 (+328)
Region701	WNT4 (+11088)
Region702	WNT4 (-33794)
Region703	WNT4 (-48974)
Region704	WNT4 (-73977)
Region705	WNT4 (-102353)
Region706	WNT4 (-145686)
Region707	ZBTB40 (-101671)
Region708	ZBTB40 (-68368)
Region709	ZBTB40 (-60810)
Region710	ZBTB40 (+219)
Region711	EPHA8 (-37108)
Region712	EPHA8 (-36519)
Region713	EPHA8 (-19738)
Region714	EPHA8 (+13347)
Region715	EPHA8 (+14573)
Region716	EPHA8 (+30594)
Region717	C1QA (-9221)
Region718	EPHB2 (+77210)
Region719	EPHB2 (+121436)
Region720	KDM1A (-54958)
Region721	KDM1A (-32344)
Region722	KDM1A (+67)
Region723	KDM1A (+79155)
Region724	LUZP1 (+9769)
Region725	LUZP1 (+8816)
Region726	HTR1D (-9571)
Region727	HTR1D (-22784)
Region728	HNRNPR (+69022)
Region729	HNRNPR (0)
Region730	ZNF436 (+672)
Region731	ZNF436 (-23063)
Region732	TCEA3 (+20794)
Region733	TCEA3 (+1957)
Region734	TCEA3 (+620)
Region735	TCEA3 (+29)
Region736	TCEA3 (-429)
Region737	TCEA3 (-27306)
Region738	ASAP3 (-149)
Region739	ASAP3 (-13075)
Region740	E2F2 (-361)
Region741	E2F2 (-8750)
Region742	E2F2 (-13601)
Region743	ID3 (+4975)
Region744	ID3 (+398)
Region745	ID3 (-8182)
Region746	MDS2 (-25106)
Region747	MDS2 (-7643)
Region748	MDS2 (+10115)
Region749	RPL11 (+145)
Region750	RPL11 (+9862)
Region751	ELOA (+364)
Region752	PITHD1 (-17)
Region753	LYPLA2 (+321)
Region754	GALE (+60)
Region755	HMGCL (+62)
Region756	HMGCL (-13128)
Region757	FUCA1 (-68)
Region758	CNR2 (+12251)
Region759	CNR2 (-3617)
Region760	CNR2 (-22395)
Region761	PNRC2 (-249)
Region762	SRSF10 (-34)
Region763	SRSF10 (-13161)
Region764	SRSF10 (-23218)
Region765	SRSF10 (-64974)
Region766	MYOM3 (-304)
Region767	IL22RA1 (+8579)
Region768	IFNLR1 (+31)
Region769	IFNLR1 (-30941)
Region770	IFNLR1 (-46171)
Region771	IFNLR1 (-49723)
Region772	GRHL3 (-64438)
Region773	GRHL3 (-56216)
Region774	GRHL3 (-27591)
Region775	GRHL3 (+47799)
Region776	STPG1 (+22661)
Region777	STPG1 (+21189)
Region778	STPG1 (+1344)
Region779	NIPAL3 (-106)
Region780	NIPAL3 (+587)
Region781	NIPAL3 (+20314)
Region782	RCAN3 (-21293)
Region783	RCAN3 (-20845)
Region784	RCAN3 (-19534)
Region785	RCAN3 (-342)
Region786	RCAN3 (+9753)
Region787	NCMAP (-20734)
Region788	NCMAP (-19515)
Region789	NCMAP (+31184)
Region790	SRRM1 (-24457)
Region791	SRRM1 (-22903)
Region792	SRRM1 (-10903)
Region793	SRRM1 (-76)
Region794	CLIC4 (-21824)
Region795	CLIC4 (-45)
Region796	CLIC4 (+42661)
Region797	CLIC4 (+54917)
Region798	CLIC4 (+67988)
Region799	CLIC4 (+103003)
Region800	CLIC4 (+104395)
Region801	RUNX3 (+53591)
Region802	RUNX3 (+35712)
Region803	RUNX3 (+35207)
Region804	RUNX3 (+34491)
Region805	RUNX3 (+1217)
Region806	RUNX3 (-267)
Region807	RUNX3 (-57697)
Region808	RUNX3 (-67435)
Region809	RUNX3 (-82941)
Region810	RUNX3 (-94749)
Region811	SYF2 (+130662)
Region812	SYF2 (+103857)
Region813	SYF2 (-396)
Region814	SYF2 (-7261)
Region815	RSRP1 (+316)
Region816	RHD (-8089)
Region817	RHD (-5091)
Region818	TMEM50A (-412)
Region819	TMEM50A (+460)
Region820	TMEM50A (+20035)
Region821	TMEM50A (+36082)
Region822	RHCE (+8060)
Region823	TMEM57 (-167)
Region824	TMEM57 (+43809)
Region825	TMEM57 (+45473)
Region826	LDLRAP1 (-31809)
Region827	LDLRAP1 (+255)
Region828	LDLRAP1 (+6208)
Region829	LDLRAP1 (+18983)
Region830	MAN1C1 (-896)
Region831	MAN1C1 (+25257)
Region832	MAN1C1 (+58765)
Region833	SELENON (-24966)
Region834	SELENON (-3321)
Region835	MTFR1L (-9232)
Region836	MTFR1L (+32)
Region837	AUNIP (+7300)
Region838	AUNIP (+46)
Region839	PAQR7 (-4501)
Region840	STMN1 (+10845)
Region841	STMN1 (+436)
Region842	STMN1 (-16364)
Region843	STMN1 (-17152)
Region844	PAFAH2 (+30622)
Region845	PAFAH2 (+22807)
Region846	PAFAH2 (+7425)
Region847	PAFAH2 (-46)
Region848	EXTL1 (-4359)
Region849	SLC30A2 (+10264)
Region850	PDIK1L (-248)
Region851	PDIK1L (+14776)
Region852	ZNF593 (-24562)
Region853	ZNF593 (-20651)
Region854	ZNF593 (-5563)
Region855	ZNF593 (+193)
Region856	CATSPER4 (+11508)
Region857	CEP85 (+123)
Region858	CEP85 (+6446)
Region859	SH3BGRL3 (+743)
Region860	SH3BGRL3 (+5747)
Region861	CD52 (-11291)
Region862	CD52 (-2518)
Region863	UBXN11 (+61)
Region864	UBXN11 (-3023)
Region865	CRYBG2 (+17577)
Region866	ZNF683 (-5694)
Region867	LIN28A (+6479)
Region868	DHDDS (+3)
Region869	DHDDS (+9275)
Region870	DHDDS (+17876)
Region871	HMGN2 (-16376)
Region872	HMGN2 (+37)
Region873	HMGN2 (+13263)
Region874	HMGN2 (+28210)
Region875	RPS6KA1 (-29766)
Region876	RPS6KA1 (-15836)
Region877	RPS6KA1 (-3970)
Region878	RPS6KA1 (+50771)
Region879	RPS6KA1 (+67219)
Region880	RPS6KA1 (+74993)
Region881	ARID1A (-68588)
Region882	ARID1A (-62502)
Region883	ARID1A (-18407)
Region884	ARID1A (-3283)
Region885	ARID1A (-304)
