"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL","Significance","negLog10Pval","negLog10Pval_capped","Capped"
"241","chr14",89304074,89304474,401,"*",3.6362228537534,3.96688637791214,3.07560228702807,1.0923208542223,0.0133858698774986,0.999820495462944,13.1,17.92,10.82,19.73,16.62,9.41,5.25,12.25,6.81,"FOXN3","Significant",1.87335340103871,1.87335340103871,"Not Capped"
"266","chr10",43595672,43596072,401,"*",3.70887100180867,3.00528930284466,4.27684732554246,-1.04746058586564,0.0148627980878863,0.999820495462944,6.73,9.2,5.55,10.13,8.53,21.64,12.08,28.17,15.65,"ZNF485","Significant",1.82789942208724,1.82789942208724,"Not Capped"
"273","chr13",113584529,113584929,401,"*",4.94684798191296,4.52651282028668,5.34293757431519,-0.600628241189099,0.0152333686590489,0.999820495462944,19.31,26.41,15.94,29.08,24.49,45.3,25.29,58.98,32.76,"TFDP1","Significant",1.81720404753304,1.81720404753304,"Not Capped"
"300","chr6",28399579,28399979,401,"*",4.93368788426991,5.09335283192306,4.70551497483345,0.598618535950123,0.0169811902780362,0.999820495462944,28.6,39.13,23.62,43.07,36.28,29.12,16.26,37.92,21.06,"ZSCAN12","Significant",1.77003187162647,1.77003187162647,"Not Capped"
"316","chr5",178895802,178896202,401,"*",4.49646589124297,4.69428331032574,4.20363314285113,0.699936315943926,0.0176936235942204,0.999820495462944,21.69,29.67,17.91,32.67,27.51,20.57,11.48,26.78,14.87,"ZFP2","Significant",1.75218321594168,1.75218321594168,"Not Capped"
"320","chr14",23120767,23121167,401,"*",4.81488119807396,4.98167238480831,4.5749766448144,0.617204327097176,0.0178917611347406,0.999820495462944,26.47,36.21,21.86,39.87,33.58,26.61,14.85,34.64,19.24,"CEBPE","Significant",1.74734690854077,1.74734690854077,"Not Capped"
"339","chr11",61777108,61777508,401,"*",4.7461012311394,4.30376192160773,5.15760839045343,-0.637481509341702,0.0186706659825871,0.999820495462944,16.55,22.63,13.66,24.92,20.99,39.84,22.24,51.87,28.81,"MYRF","Significant",1.72884019049205,1.72884019049205,"Not Capped"
"346","chr7",63926186,63926586,401,"*",6.3659420052838,6.46667288714919,6.22925296518787,0.450000221378694,0.0190559841973503,0.999820495462944,74.1,101.36,61.18,111.59,93.99,83.74,46.75,109.03,60.56,"ZNF722P","Significant",1.71996861601067,1.71996861601067,"Not Capped"
"372","chr2",230326971,230327371,401,"*",4.77830788411288,4.34586479517542,5.18293054713061,-0.620920426776372,0.0203784812746825,0.999820495462944,17.04,23.3,14.07,25.66,21.61,40.55,22.64,52.79,29.32,"SP140L","Significant",1.69082818532478,1.69082818532478,"Not Capped"
"378","chr2",199458910,199459310,401,"*",4.90673307551617,4.49627602194666,5.29576982480351,-0.583676507375042,0.0206000267410956,0.999820495462944,18.91,25.87,15.61,28.48,23.98,43.85,24.48,57.09,31.71,"SATB2","Significant",1.68613221586858,1.68613221586858,"Not Capped"
"381","chr5",415372,415772,401,"*",3.24314162049343,2.37843988910875,3.8879670556549,-1.27754625525959,0.0207776467234687,0.999820495462944,4.36,5.96,3.6,6.56,5.53,16.53,9.23,21.52,11.95,"AHRR","Significant",1.68240364219205,1.68240364219205,"Not Capped"
"395","chr20",63751136,63751536,401,"*",4.70449586397438,4.27027923478826,5.11035822424449,-0.623709440705097,0.0213541408729886,0.999820495462944,16.17,22.11,13.35,24.35,20.51,38.56,21.53,50.2,27.89,"SLC2A4RG","Significant",1.67051789656803,1.67051789656803,"Not Capped"
"397","chr16",4288387,4288787,401,"*",4.61939177650337,4.79696119862195,4.36144787038256,0.645338620497769,0.0217188715063929,0.999820495462944,23.29,31.86,19.23,35.07,29.54,22.94,12.81,29.87,16.59,"TFAP4","Significant",1.66316274405919,1.66316274405919,"Not Capped"
"405","chr16",30526465,30526865,401,"*",4.78718336816379,4.36308082587004,5.18594112501414,-0.606651786944194,0.0221068340504843,0.999820495462944,17.24,23.58,14.23,25.96,21.87,40.63,22.69,52.9,29.39,"ZNF768","Significant",1.65547344886654,1.65547344886654,"Not Capped"
"410","chr5",16456104,16456504,401,"*",3.91696367792113,4.18070916183887,3.50050297017763,0.885650137055643,0.0225517872370953,0.999820495462944,15.19,20.78,12.54,22.88,19.27,12.63,7.05,16.45,9.14,"ZNF622","Significant",1.64681903443121,1.64681903443121,"Not Capped"
"422","chr7",17234404,17234804,401,"*",4.37732780909796,3.89281749711027,4.81729711228082,-0.706607218370238,0.0228653303734498,0.999820495462944,12.45,17.02,10.28,18.74,15.79,31.47,17.57,40.97,22.76,"AHR","Significant",1.64082251926341,1.64082251926341,"Not Capped"
"423","chr7",64562920,64563320,401,"*",5.57937494727001,5.69107441536289,5.4263690397044,0.476649641268913,0.0229508481579727,0.999820495462944,43.28,59.21,35.74,65.19,54.9,48,26.8,62.5,34.71,"ZNF680","Significant",1.6392012603001,1.6392012603001,"Not Capped"
"425","chr7",4763612,4764012,401,"*",3.53070589281054,2.81075692318344,4.10708421775289,-1.0705518002194,0.0229802341148336,0.999820495462944,5.88,8.04,4.85,8.85,7.46,19.24,10.74,25.04,13.91,"FOXK1","Significant",1.63864555118026,1.63864555118026,"Not Capped"
"435","chr19",36378878,36379278,401,"*",5.76738990414478,5.42778621448508,6.10330419037146,-0.461221951171913,0.0237082451704118,0.999820495462944,36.06,49.33,29.78,54.31,45.74,76.74,42.84,99.92,55.5,"ZFP14","Significant",1.62510059030739,1.62510059030739,"Not Capped"
"447","chr7",149415009,149415409,401,"*",3.77732331332749,4.06043557815107,3.32127187253042,0.942879096526207,0.024208642034059,0.999820495462944,13.98,19.12,11.54,21.05,17.73,11.16,6.23,14.53,8.07,"ZNF777","Significant",1.61602957130405,1.61602957130405,"Not Capped"
"473","chr10",113007218,113007618,401,"*",4.7789224544341,4.9380387306296,4.55164646894938,0.59703246630797,0.0249603567014149,0.999820495462944,25.68,35.13,21.2,38.68,32.58,26.18,14.62,34.08,18.93,"TCF7L2","Significant",1.60274921256536,1.60274921256536,"Not Capped"
"482","chr3",150384920,150385320,401,"*",4.59591327538773,4.77014217910718,4.34359895118777,0.636369965150872,0.0255270334791209,0.999820495462944,22.86,31.27,18.88,34.43,29,22.66,12.65,29.51,16.39,"TSC22D2","Significant",1.59299965203888,1.59299965203888,"Not Capped"
"497","chr1",247373783,247374183,401,"*",4.70992157305624,4.28477142559113,5.10941916168697,-0.60834238345007,0.0260560277408813,0.999820495462944,16.33,22.34,13.48,24.59,20.71,38.53,21.51,50.17,27.87,"ZNF496","Significant",1.58409179206579,1.58409179206579,"Not Capped"
"511","chr8",144713045,144713445,401,"*",3.10875227172566,2.21639774153058,3.76555274675273,-1.31440695465641,0.0266488488705066,0.999820495462944,3.89,5.33,3.21,5.86,4.94,15.18,8.48,19.77,10.98,"ZNF251","Significant",1.57432154611149,1.57432154611149,"Not Capped"
"517","chr19",19817293,19817693,401,"*",5.22359650582178,5.35125014863142,5.04629520914658,0.516485394419851,0.0269395140709153,0.999820495462944,34.2,46.78,28.24,51.51,43.38,36.88,20.59,48.02,26.67,"ZNF506","Significant",1.56961024225162,1.56961024225162,"Not Capped"
"553","chr8",75665351,75665751,401,"*",3.46657908901822,2.75234760088779,4.04003876772646,-1.06161605727531,0.0282918074365053,0.999820495462944,5.65,7.72,4.66,8.5,7.16,18.36,10.25,23.91,13.28,"HNF4G","Significant",1.54833930653289,1.54833930653289,"Not Capped"
"583","chr19",55592712,55593112,401,"*",4.11841235933272,3.59906213845598,4.58087570255347,-0.762822848642693,0.029560380311657,0.999820495462944,10.15,13.89,8.38,15.29,12.88,26.71,14.91,34.78,19.32,"FIZ1","Significant",1.52928998278765,1.52928998278765,"Not Capped"
"590","chr15",60840951,60841351,401,"*",4.36915871068197,3.90348171115164,4.79658897187231,-0.675673845760034,0.0298618612349625,0.999820495462944,12.54,17.15,10.35,18.88,15.9,31.02,17.32,40.39,22.44,"RORA","Significant",1.52488312699001,1.52488312699001,"Not Capped"
"599","chr7",26166545,26166945,401,"*",3.3577208843963,2.61558448504143,3.9452618544646,-1.10200777123786,0.030232378804439,0.999820495462944,5.13,7.02,4.24,7.73,6.51,17.2,9.6,22.39,12.44,"NFE2L3","Significant",1.51952767945149,1.51952767945149,"Not Capped"
"601","chr2",237700698,237701098,401,"*",4.35669629375033,3.89369614432632,4.7823220563993,-0.67103511758361,0.0303744125599947,0.999820495462944,12.45,17.03,10.28,18.75,15.79,30.72,17.15,39.99,22.21,"LRRFIP1","Significant",1.51749211255148,1.51749211255148,"Not Capped"
"606","chr17",61451886,61452286,401,"*",4.38499522278338,3.92195912310009,4.810645257117,-0.671102502694863,0.0304742840214572,0.999820495462944,12.7,17.37,10.48,19.12,16.11,31.33,17.49,40.79,22.65,"TBX4","Significant",1.51606648912822,1.51606648912822,"Not Capped"
"627","chr4",47914510,47914910,401,"*",6.36396612885602,6.44968575184358,6.24911689694498,0.41324390230727,0.0311238260677847,0.999820495462944,73.23,100.17,60.46,110.28,92.89,84.9,47.4,110.54,61.4,"NFXL1","Significant",1.5069070203588,1.5069070203588,"Not Capped"
"637","chr6",137497681,137498081,401,"*",4.54105461377309,4.10787894645949,4.94618965992462,-0.621663589828204,0.0314472072633312,0.999820495462944,14.45,19.76,11.93,21.76,18.32,34.41,19.21,44.8,24.89,"OLIG3","Significant",1.5024179169589,1.5024179169589,"Not Capped"
"662","chr10",102231674,102232074,401,"*",4.95556320248693,4.57769800220738,5.32073008080116,-0.52764497301813,0.0326870273263333,0.999820495462944,20.01,27.37,16.52,30.13,25.38,44.61,24.91,58.08,32.26,"PITX3","Significant",1.48562457389724,1.48562457389724,"Not Capped"
"696","chr6",15404190,15404590,401,"*",3.41851113297634,2.68541007265246,4.00153747787203,-1.08942209602279,0.0346488730858954,0.999820495462944,5.39,7.37,4.45,8.12,6.84,17.88,9.98,23.28,12.93,"JARID2","Significant",1.46031088574297,1.46031088574297,"Not Capped"
"703","chr2",46304170,46304570,401,"*",3.35816114241509,2.61187183549159,3.94776300028657,-1.10781784443054,0.0348893566159026,0.999820495462944,5.12,7.01,4.23,7.71,6.5,17.22,9.62,22.43,12.46,"EPAS1","Significant",1.45730703917154,1.45730703917154,"Not Capped"
"711","chr2",72917412,72917812,401,"*",4.62825440280218,4.21685117521213,5.0179703006502,-0.584705211470508,0.0350813712688862,0.999820495462944,15.58,21.31,12.86,23.46,19.76,36.17,20.19,47.09,26.16,"EMX1","Significant",1.45492343916942,1.45492343916942,"Not Capped"
"715","chr6",157221306,157221706,401,"*",4.73736100190407,4.88546867224173,4.52789317188822,0.568076804433072,0.035280999957583,0.999820495462944,24.76,33.87,20.45,37.29,31.41,25.75,14.38,33.53,18.62,"ARID1B","Significant",1.45245911430252,1.45245911430252,"Not Capped"
"724","chr14",68782069,68782469,401,"*",4.60049312446829,4.18614707353982,4.99231645259502,-0.58987320424544,0.0355832544997879,0.999820495462944,15.25,20.86,12.59,22.97,19.34,35.53,19.84,46.26,25.7,"ZFP36L1","Significant",1.44875433318686,1.44875433318686,"Not Capped"
"737","chr11",125166522,125166922,401,"*",4.32118026027589,3.85988075248206,4.745656682338,-0.668240553168342,0.0361407375810147,0.999820495462944,12.16,16.64,10.04,18.32,15.43,29.95,16.72,38.99,21.66,"PKNOX2","Significant",1.4420029883524,1.4420029883524,"Not Capped"
"739","chr19",43525405,43525805,401,"*",4.40550044501609,3.96240419502431,4.81753089819388,-0.637963165939265,0.0361725167116184,0.999820495462944,13.06,17.87,10.78,19.67,16.57,31.48,17.57,40.98,22.76,"ZNF575","Significant",1.44162127404333,1.44162127404333,"Not Capped"
"740","chr10",100656005,100656405,401,"*",3.98649164693637,3.45681462219551,4.45545312565595,-0.778877636477957,0.0362754671481769,0.999820495462944,9.2,12.58,7.6,13.85,11.67,24.49,13.67,31.88,17.71,"PAX2","Significant",1.44038698609714,1.44038698609714,"Not Capped"
"761","chr1",115807687,115808087,401,"*",3.20140144239056,2.42318439082624,3.80655562229248,-1.15367163046684,0.0372584177335287,0.999820495462944,4.49,6.15,3.71,6.77,5.7,15.62,8.72,20.33,11.3,"NHLH2","Significant",1.42877559238632,1.42877559238632,"Not Capped"
"773","chr19",4035634,4036034,401,"*",3.35276374330431,2.64249083044294,3.92419238947978,-1.0544458738585,0.0381854080960824,0.999820495462944,5.23,7.16,4.32,7.88,6.64,16.95,9.46,22.06,12.26,"PIAS4","Significant",1.41810256363334,1.41810256363334,"Not Capped"
"782","chr7",19043741,19044141,401,"*",2.65313089489816,3.12292066729261,1.70656325089581,1.59081698403445,0.0384499435148917,0.999820495462944,7.3,9.98,6.03,10.99,9.26,3.64,2.03,4.74,2.63,"TWIST1","Significant",1.41510429386486,1.41510429386486,"Not Capped"
"788","chr12",111056702,111057102,401,"*",4.34408049033418,3.89056044219518,4.7632702539686,-0.655449707303397,0.0386587082264821,0.999820495462944,12.43,17,10.26,18.71,15.76,30.31,16.92,39.47,21.92,"CUX2","Significant",1.41275266193405,1.41275266193405,"Not Capped"
"826","chr11",34564627,34565027,401,"*",3.27655982155175,2.51916415529703,3.87162988098136,-1.1233908990114,0.0400216496596579,0.999820495462944,4.8,6.57,3.97,7.23,6.09,16.34,9.12,21.27,11.82,"ELF5","Significant",1.39770501406761,1.39770501406761,"Not Capped"
"829","chr2",10043751,10044151,401,"*",5.90679364515689,5.60051557291732,6.21607832824757,-0.401405636204862,0.0401830076513754,0.999820495462944,40.65,55.61,33.56,61.22,51.56,82.98,46.33,108.04,60.01,"KLF11","Significant",1.39595755993445,1.39595755993445,"Not Capped"
"832","chr19",52923291,52923691,401,"*",5.15650756399469,5.27143307636536,4.99864339042328,0.484350638778104,0.0403179748309567,0.999820495462944,32.36,44.27,26.72,48.73,41.04,35.69,19.92,46.46,25.81,"ZNF888","Significant",1.39450129059599,1.39450129059599,"Not Capped"
"837","chr19",6199430,6199830,401,"*",6.59388972096277,6.670400752745,6.49216605571638,0.391037895500974,0.0405583168703439,0.999820495462944,85.34,116.73,70.46,128.52,108.24,100.48,56.1,130.83,72.67,"RFX2","Significant",1.39192007608816,1.39192007608816,"Not Capped"
"844","chr16",4538387,4538787,401,"*",6.23398258137129,5.93654913652616,6.53601104612071,-0.385540004795895,0.0408393197583482,0.999820495462944,51.31,70.19,42.37,77.28,65.08,103.58,57.83,134.86,74.91,"CDIP1","Significant",1.38892150036711,1.38892150036711,"Not Capped"
"850","chr4",184453421,184453821,401,"*",4.82081605820016,4.44105307644763,5.18739867341468,-0.530792452110247,0.0411117242169131,0.999820495462944,18.2,24.89,15.03,27.41,23.08,40.67,22.71,52.96,29.42,"IRF2","Significant",1.38603430862009,1.38603430862009,"Not Capped"
"851","chr20",51511101,51511501,401,"*",2.83549546059328,1.88259634034673,3.51740195840549,-1.39306811723078,0.0411406663783912,0.999820495462944,3.09,4.23,2.55,4.65,3.92,12.78,7.14,16.64,9.24,"NFATC2","Significant",1.38572867807362,1.38572867807362,"Not Capped"
"855","chr6",135163293,135163693,401,"*",4.38539992822862,3.94661887775589,4.79444092895725,-0.63063957683726,0.0412721726403626,0.999820495462944,12.92,17.67,10.67,19.45,16.39,30.98,17.29,40.33,22.4,"MYB","Significant",1.38434266848908,1.38434266848908,"Not Capped"
"889","chr6",28267044,28267444,401,"*",5.40007523907742,5.49649843167753,5.26971067299711,0.438799635130293,0.0424199872235432,0.999820495462944,37.82,51.74,31.23,56.96,47.97,43.06,24.04,56.07,31.14,"ZSCAN26","Significant",1.3724294666244,1.3724294666244,"Not Capped"
"901","chr7",50321786,50322186,401,"*",5.03684612558002,5.1544144667667,4.87498161350465,0.490878891806038,0.0429120980681379,0.999820495462944,29.84,40.82,24.64,44.94,37.85,32.75,18.29,42.65,23.69,"IKZF1","Significant",1.36742025132284,1.36742025132284,"Not Capped"
"912","chr16",11622046,11622446,401,"*",4.5327603063039,4.1200218308603,4.92343332325987,-0.586882432630508,0.0434247586104444,0.999820495462944,14.57,19.93,12.03,21.94,18.48,33.87,18.91,44.1,24.5,"LITAF","Significant",1.36226258703039,1.36226258703039,"Not Capped"
"938","chr6",130028242,130028642,401,"*",3.58037949905594,3.85175718767555,3.14850927323107,0.906339084974112,0.0444072649336416,0.999820495462944,12.1,16.55,9.99,18.22,15.34,9.9,5.53,12.89,7.16,"L3MBTL3","Significant",1.35254597442384,1.35254597442384,"Not Capped"
"943","chr14",55026945,55027345,401,"*",6.00794793981351,6.08332434943165,5.90782753163444,0.388073059322652,0.0448059477101666,0.999820495462944,56.81,77.71,46.9,85.55,72.05,67.02,37.42,87.25,48.47,"WDHD1","Significant",1.3486643322908,1.3486643322908,"Not Capped"
"987","chr18",58863637,58864037,401,"*",4.56251839617818,4.15840384759731,4.94698276631005,-0.572016812093496,0.0465919694953468,0.999820495462944,14.96,20.46,12.35,22.53,18.98,34.43,19.22,44.83,24.9,"ZNF532","Significant",1.33168893104388,1.33168893104388,"Not Capped"
"989","chr8",122798975,122799375,401,"*",5.83543579925274,5.91531233815175,5.72893860612502,0.398717095545292,0.0466457586054248,0.999820495462944,50.56,69.17,41.75,76.15,64.13,59.2,33.05,77.08,42.82,"ZHX2","Significant",1.33118783954882,1.33118783954882,"Not Capped"
"1002","chr4",112515618,112516018,401,"*",4.48167677691688,4.63795762433054,4.2590216430144,0.588965119239056,0.0470608240214144,0.999820495462944,20.86,28.53,17.22,31.41,26.46,21.37,11.93,27.83,15.46,"NEUROG2","Significant",1.32734047272268,1.32734047272268,"Not Capped"
"1006","chr6",109491322,109491722,401,"*",4.48543789901192,4.06947110556711,4.87841873704307,-0.592248123274464,0.0472188422171776,0.999820495462944,14.07,19.24,11.61,21.18,17.84,32.83,18.33,42.75,23.74,"ZBTB24","Significant",1.32588466581416,1.32588466581416,"Not Capped"
"1055","chr14",64338536,64338936,401,"*",5.52874877125397,5.61566623963928,5.41217716500309,0.415725045205293,0.0495547571485659,0.999820495462944,41.08,56.19,33.92,61.87,52.11,47.53,26.54,61.88,34.37,"ESR2","Significant",1.30491464785474,1.30491464785474,"Not Capped"
"1058","chr12",56007460,56007860,401,"*",4.84861511483112,4.48497786393072,5.20306351928955,-0.502609851192606,0.0498919035824098,0.999820495462944,18.76,25.66,15.49,28.25,23.8,41.12,22.96,53.53,29.74,"IKZF4","Significant",1.30196992561454,1.30196992561454,"Not Capped"
"1066","chr1",47444583,47444983,401,"*",3.73435578023168,3.16545861793524,4.22732167258218,-0.840110279185605,0.0504105627267224,0.999820495462944,7.52,10.28,6.21,11.32,9.53,20.91,11.67,27.22,15.12,"FOXD2","Not Significant",1.29747845456053,1.29747845456053,"Not Capped"
"1070","chr16",67191961,67192361,401,"*",5.28006485868663,4.95325853269694,5.6058836968085,-0.437869615685967,0.0506635561448188,0.999820495462944,25.96,35.5,21.43,39.09,32.92,54.36,30.35,70.78,39.31,"E2F4","Not Significant",1.29530432974744,1.29530432974744,"Not Capped"
"1071","chr10",113092409,113092809,401,"*",3.06812198671015,2.26852251573923,3.68341037843099,-1.18236458250647,0.0506768179295063,0.999820495462944,4.04,5.52,3.33,6.08,5.12,14.34,8.01,18.67,10.37,"TCF7L2","Not Significant",1.29519066290941,1.29519066290941,"Not Capped"
"1075","chr19",37217852,37218252,401,"*",5.08963479365584,5.19778311675687,4.94194541062575,0.467297825175314,0.0507452526432938,0.999820495462944,30.75,42.06,25.39,46.31,39,34.31,19.16,44.67,24.81,"ZNF383","Not Significant",1.29460458094695,1.29460458094695,"Not Capped"
"1099","chr19",57888793,57889193,401,"*",4.60140058079292,4.7428324232139,4.40256073789636,0.550611287452992,0.0517016760885861,0.999820495462944,22.43,30.69,18.52,33.78,28.45,23.61,13.18,30.74,17.07,"ZNF814","Not Significant",1.28649537752066,1.28649537752066,"Not Capped"
"1116","chr3",187745394,187745794,401,"*",5.89306163842899,5.96451994977648,5.79845432525933,0.378524099690589,0.0523272060787224,0.999820495462944,52.32,71.57,43.2,78.79,66.36,62.13,34.68,80.88,44.93,"BCL6","Not Significant",1.28127245304911,1.28127245304911,"Not Capped"
"1129","chr1",113759042,113759442,401,"*",4.74793553557511,4.3719480433812,5.11169844623941,-0.524015914467547,0.0531243125842912,0.999820495462944,17.35,23.73,14.32,26.12,22,38.6,21.55,50.25,27.91,"PHTF1","Not Significant",1.27470667657044,1.27470667657044,"Not Capped"
"1135","chr19",52897540,52897940,401,"*",5.51669867063818,5.60129220751273,5.40346545644433,0.409984224614792,0.0534332549697563,0.999820495462944,40.67,55.64,33.58,61.25,51.59,47.25,26.38,61.51,34.17,"ZNF320","Not Significant",1.27218836928805,1.27218836928805,"Not Capped"
"1164","chr10",101142203,101142603,401,"*",4.65680404166783,4.27666244387955,5.02366871406557,-0.53104611101925,0.0545903727326941,0.999820495462944,16.24,22.21,13.41,24.46,20.6,36.31,20.27,47.27,26.26,"TLX1","Not Significant",1.2628839404037,1.2628839404037,"Not Capped"
"1175","chr19",53425063,53425463,401,"*",4.18697058569776,3.73012942417518,4.60842312488146,-0.660284827036437,0.0549704249020641,0.999820495462944,11.12,15.21,9.18,16.74,14.1,27.23,15.2,35.45,19.69,"ZNF765","Not Significant",1.25987090607759,1.25987090607759,"Not Capped"
"1180","chr16",79484341,79484741,401,"*",3.19550238690253,2.46110579461409,3.77917866916615,-1.08868809452605,0.0552776197756221,0.999820495462944,4.61,6.31,3.81,6.95,5.85,15.33,8.56,19.95,11.08,"MAF","Not Significant",1.2574506657165,1.2574506657165,"Not Capped"
"1195","chr2",100876051,100876451,401,"*",3.53677971598037,2.92987825509305,4.05203118174309,-0.898561724839675,0.0560693152433042,0.999820495462944,6.38,8.73,5.27,9.61,8.1,18.52,10.34,24.11,13.39,"NPAS2","Not Significant",1.25127474776936,1.25127474776936,"Not Capped"
"1196","chr15",67065387,67065787,401,"*",4.95808708649926,5.07061822642944,4.80383132414114,0.478096152116988,0.05609658856091,0.999820495462944,28.16,38.51,23.25,42.4,35.71,31.18,17.41,40.59,22.55,"SMAD3","Not Significant",1.25106354897951,1.25106354897951,"Not Capped"
