"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD4_S145927","G09CD4_S145929","G48CD4_S145936","G58CD4_S145925","G70CD4_S145923","G44CD4_S145919","G50CD4_S145934","G52CD4_S145933","G81CD4_S145921","SYMBOL"
"38","chr19",11049074,11049474,401,"*",4.29148501109853,3.60918330992181,4.84831871191343,-1.01886619777006,0.00189636677231176,0.999820495462944,10.22,13.99,8.44,15.4,12.97,32.16,17.95,41.86,23.25,"SMARCA4"
"39","chr10",102230847,102231247,401,"*",4.98407938062535,4.4611024237039,5.44883348613563,-0.771287809967988,0.00196178919152874,0.999820495462944,18.45,25.24,15.24,27.79,23.41,48.76,27.22,63.48,35.26,"PITX3"
"40","chr7",101282907,101283307,401,"*",4.53321831663871,3.92168378635883,5.05112365737072,-0.910932567031487,0.00207572828910892,0.999820495462944,12.7,17.37,10.48,19.12,16.1,37.01,20.66,48.18,26.76,"LNCPRESS1"
"41","chr2",20224756,20225156,401,"*",4.07032569212426,3.32828759293866,4.65781777291044,-1.10757092972023,0.00238568767570005,0.999820495462944,8.42,11.51,6.95,12.67,10.67,28.18,15.73,36.69,20.38,"SDC1"
"42","chr5",150904809,150905209,401,"*",3.9917668260337,3.2308950190872,4.58853550380062,-1.13463786188124,0.00243458563722572,0.999820495462944,7.87,10.76,6.49,11.85,9.98,26.86,14.99,34.97,19.42,"ZNF300"
"43","chr1",144104224,144104624,401,"*",6.11302476188432,5.70229057881851,6.50226050952619,-0.585599019620726,0.00249826311299713,0.999820495462944,43.62,59.67,36.02,65.69,55.33,101.19,56.49,131.74,73.18,"SRGAP2D"
"44","chr16",66426680,66427080,401,"*",3.85085972433657,3.03877983870382,4.47196195292995,-1.20821258289137,0.00253881345374162,0.999820495462944,6.89,9.42,5.68,10.37,8.73,24.77,13.83,32.25,17.91,"BEAN1"
"45","chr5",18551789,18552189,401,"*",3.90117944623067,3.10588262262826,4.51444633637366,-1.18412895533928,0.00273727247200506,0.999820495462944,7.21,9.87,5.96,10.86,9.15,25.51,14.24,33.22,18.45,"LINC02223"
"46","chr1",9874924,9875324,401,"*",4.91407640130186,5.13456608028081,4.58053991006955,0.763905442251709,0.00278022864205818,0.999820495462944,29.43,40.26,24.3,44.32,37.33,26.71,14.91,34.77,19.31,"CTNNBIP1"
"47","chr9",78210889,78211289,401,"*",3.52594691993516,2.55524558658282,4.2149575660023,-1.42884267793716,0.00280211112094317,0.999820495462944,4.92,6.74,4.07,7.42,6.25,20.73,11.57,26.99,14.99,"CEP78"
"48","chr7",74850971,74851371,401,"*",3.35481610955448,3.86938965135623,2.24789948651402,1.80343583629614,0.00289330197407822,0.999820495462944,12.24,16.75,10.11,18.44,15.53,5.3,2.96,6.9,3.83,"GTF2IRD2"
"49","chr6",26223906,26224306,401,"*",5.26097534311116,5.44996344563407,4.98352033830355,0.677432973199213,0.0030647143536408,0.999820495462944,36.62,50.1,30.24,55.15,46.45,35.31,19.72,45.98,25.54,"H3C6"
"50","chr17",35448214,35448614,401,"*",4.3594030313498,3.73152598784558,4.88656349790392,-0.935550001056718,0.00311144365235719,0.999820495462944,11.13,15.22,9.19,16.76,14.12,33.02,18.43,42.99,23.88,"SLFN13"
"51","chr6",127514800,127515200,401,"*",4.56761669605724,4.82390336462783,4.16598072199792,0.866464583379755,0.00312835591274661,0.999820495462944,23.73,32.46,19.59,35.74,30.1,20.04,11.19,26.09,14.49,"SOGA3"
"52","chr1",31120215,31120615,401,"*",3.22414715026366,1.95421347923571,4.01629572369125,-1.81808329078733,0.00322340616449298,0.999820495462944,3.25,4.44,2.68,4.89,4.12,18.06,10.08,23.52,13.06,"PUM1"
"53","chr10",89251830,89252230,401,"*",6.75340470207131,6.90006419587783,6.54625323080355,0.566425989357379,0.00328260960467351,0.999820495462944,100.06,136.88,82.62,150.69,126.92,104.32,58.24,135.82,75.45,"LIPA"
"54","chr20",5169011,5169411,401,"*",3.66576764169252,2.78515078134541,4.3175252617806,-1.30408844611647,0.00361442038685819,0.999820495462944,5.78,7.9,4.77,8.7,7.33,22.26,12.43,28.98,16.1,"CDS2"
"55","chr17",77155986,77156386,401,"*",3.04254145015228,1.66967384893577,3.86412616348274,-1.94325520532825,0.00363936258596032,0.999820495462944,2.67,3.65,2.2,4.01,3.38,16.25,9.07,21.16,11.76,"SEC14L1"
"56","chr1",228557142,228557542,401,"*",2.73857151421488,3.37154603847054,1.05611275982275,2.45187620293301,0.00377996222102278,0.999820495462944,8.67,11.86,7.16,13.06,11,2.32,1.3,3.02,1.68,"BTNL10"
"57","chr14",69574506,69574906,401,"*",4.641534696599,4.09121691368507,5.12326026571338,-0.814561716550327,0.00380757840321681,0.999820495462944,14.28,19.53,11.79,21.51,18.11,38.91,21.72,50.65,28.14,"CCDC177"
"58","chr3",172039476,172039876,401,"*",5.5894277884409,5.75226907924376,5.35604472691614,0.607945491786013,0.00399174109309143,0.999820495462944,45.16,61.77,37.29,68.01,57.28,45.72,25.52,59.52,33.06,"FNDC3B"
"59","chr7",104910662,104911062,401,"*",2.85251736634976,1.40831303039049,3.69298585703116,-2.02368648686693,0.00399314788553888,0.999820495462944,2.22,3.04,1.84,3.35,2.82,14.44,8.06,18.8,10.44,"LHFPL3-AS2"
"60","chr2",171210948,171211348,401,"*",4.20536911753882,4.49966704156312,3.72569563892917,0.979684963625236,0.00400429170796947,0.999820495462944,18.95,25.93,15.65,28.54,24.04,14.77,8.24,19.23,10.68,"TLK1"
"61","chr11",1262519,1262919,401,"*",5.56251686646545,5.14275156207175,5.95820183228295,-0.600513518289201,0.00401701266162012,0.999820495462944,29.6,40.49,24.44,44.57,37.54,69.4,38.74,90.36,50.19,"MUC5B"
"62","chr3",97821747,97822147,401,"*",6.09752554744699,6.24070041120474,5.895923073882,0.557032550206849,0.0040737600424565,0.999820495462944,63.36,86.66,52.31,95.41,80.36,66.47,37.11,86.54,48.07,"CRYBG3"
"63","chr9",179028,179428,401,"*",3.8247789789573,3.02048195195876,4.44226432343194,-1.19676135578765,0.00419937393501131,0.999820495462944,6.8,9.3,5.61,10.24,8.62,24.27,13.55,31.59,17.55,"CBWD1"
"64","chr5",126595034,126595434,401,"*",4.30653011837888,3.68403773418178,4.83065924798887,-0.927108230802652,0.00420065163136526,0.999820495462944,10.77,14.73,8.89,16.22,13.66,31.76,17.73,41.36,22.97,"ALDH7A1"
"65","chr19",5578233,5578633,401,"*",4.52177646101849,3.95372416664792,5.01423623796848,-0.842451455585406,0.00423346473080439,0.999820495462944,12.98,17.76,10.72,19.55,16.47,36.07,20.14,46.97,26.09,"TINCR"
"66","chr5",173917991,173918391,401,"*",5.5624487692247,5.72563148834476,5.32850385700686,0.608746646536576,0.00425989132126022,0.999820495462944,44.33,60.64,36.6,66.77,56.23,44.85,25.04,58.4,32.44,"CPEB4"
"67","chr6",149366310,149366710,401,"*",4.02681445043659,4.34654310152016,3.49123236968282,1.05932951254969,0.00427324485602904,0.999820495462944,17.04,23.32,14.07,25.67,21.62,12.55,7.01,16.34,9.08,"TAB2"
"68","chr3",176142013,176142413,401,"*",2.94180592590846,3.50039977558719,1.65183319526348,2.01481881969817,0.00439016567727947,0.999820495462944,9.48,12.97,7.83,14.28,12.03,3.51,1.96,4.57,2.54,"NAALADL2-AS1"
"69","chr4",42627865,42628265,401,"*",5.22730788602183,5.41031278173453,4.96012853786911,0.661166191907833,0.00440215652790868,0.999820495462944,35.63,48.74,29.42,53.66,45.19,34.75,19.4,45.24,25.13,"ATP8A1"
"70","chrY",12904642,12905042,401,"*",3.9011856215502,4.32124198013832,3.10914148300598,1.40985318485792,0.00441757061911383,0.999820495462944,16.75,22.91,13.83,25.22,21.24,9.63,5.38,12.54,6.97,"DDX3Y"
"71","chr21",29076962,29077362,401,"*",5.23444204865286,5.41601628610918,4.96970265798956,0.657342290139201,0.00449838502478709,0.999820495462944,35.77,48.93,29.53,53.87,45.37,34.98,19.53,45.54,25.3,"MAP3K7CL"
"72","chr19",18410578,18410978,401,"*",4.53071209082504,3.96416527360668,5.02226884071143,-0.839945942373184,0.00452324663041201,0.999820495462944,13.08,17.89,10.8,19.69,16.59,36.28,20.25,47.23,26.23,"SSBP4"
"73","chr2",41154692,41155092,401,"*",2.72972512323668,1.16822439703926,3.59880838543644,-2.16328795624684,0.00458437212638976,0.999820495462944,1.88,2.58,1.55,2.84,2.39,13.52,7.55,17.61,9.78,"SLC8A1"
"74","chr17",80036341,80036741,401,"*",5.49930409342632,5.07588783499139,5.89757669083556,-0.606679371536533,0.0046271995783937,0.999820495462944,28.26,38.65,23.33,42.56,35.84,66.54,37.15,86.64,48.12,"CCDC40"
"75","chr12",7960668,7961068,401,"*",5.69255743714911,5.84514843865649,5.47588000216258,0.581103483289461,0.00463938405162554,0.999820495462944,48.16,65.88,39.77,72.53,61.09,49.68,27.73,64.68,35.93,"SLC2A3"
"76","chr6",85917892,85918292,401,"*",3.10564390625127,3.60761927925672,2.04618180316611,1.74130119682049,0.00476750874676268,0.999820495462944,10.21,13.97,8.43,15.38,12.95,4.61,2.57,6,3.33,"SNHG5"
"77","chr1",172764381,172764781,401,"*",4.66708452802864,4.89686765605998,4.31633517015192,0.78954662144831,0.00479233964347447,0.999820495462944,24.96,34.14,20.61,37.59,31.66,22.24,12.42,28.95,16.08,"FASLG"
"78","chr9",7695048,7695448,401,"*",3.20331714689503,3.68539480891644,2.21497837347489,1.6545975495926,0.0048190224303285,0.999820495462944,10.78,14.74,8.9,16.23,13.67,5.18,2.89,6.75,3.75,"DMAC1"
"79","chr6",136051080,136051480,401,"*",3.62535068608908,4.01769253978897,2.91068712733799,1.30454880383388,0.00486341630174747,0.999820495462944,13.57,18.56,11.2,20.44,17.21,8.39,4.69,10.93,6.07,"PDE7B"
"80","chr7",55475519,55475919,401,"*",4.65812313866663,4.12103047644734,5.13170445948079,-0.79328241034072,0.00490894633310846,0.999820495462944,14.58,19.94,12.04,21.95,18.49,39.13,21.85,50.95,28.3,"VOPP1"
"81","chr19",18845910,18846310,401,"*",3.86407953199177,3.10203898531414,4.46141794837151,-1.13534755989434,0.00496199237324369,0.999820495462944,7.19,9.84,5.94,10.83,9.12,24.59,13.73,32.02,17.78,"UPF1"
"82","chr10",65733349,65733749,401,"*",3.61155996327597,4.00668124801207,2.88938612532127,1.31490696989425,0.00504200038072981,0.999820495462944,13.47,18.42,11.12,20.28,17.08,8.27,4.62,10.77,5.98,"LINC01515"
"83","chr11",96105400,96105800,401,"*",5.01534648325153,5.20742988698777,4.73252982141384,0.685397401449905,0.00507196985837897,0.999820495462944,30.96,42.34,25.56,46.62,39.26,29.68,16.57,38.64,21.46,"MAML2"
"84","chr12",124567168,124567568,401,"*",5.4839340702222,5.05923547451512,5.88311287978735,-0.608707234448538,0.00519294975343892,0.999820495462944,27.93,38.21,23.06,42.07,35.43,65.88,36.78,85.77,47.64,"NCOR2"
"85","chr17",54968455,54968855,401,"*",5.92629834720406,6.06531158521775,5.73127766457748,0.546145622990005,0.00520796134460504,0.999820495462944,56.1,76.74,46.32,84.49,71.16,59.3,33.11,77.2,42.88,"COX11"
"86","chr3",89412450,89412850,401,"*",2.92591391573094,3.47126599241989,1.69409210579706,1.94451370799094,0.00521080233312351,0.999820495462944,9.29,12.71,7.67,13.99,11.79,3.61,2.02,4.7,2.61,"EPHA3"
"87","chr1",11280927,11281327,401,"*",4.23803014043341,3.60077634386893,4.77042736527409,-0.949841498489897,0.00531929318413177,0.999820495462944,10.16,13.9,8.39,15.31,12.89,30.47,17.01,39.66,22.03,"UBIAD1"
"88","chr19",50333492,50333892,401,"*",5.87801118571324,5.48752503923283,6.25253255105117,-0.550536502823335,0.00539007093410203,0.999820495462944,37.59,51.42,31.03,56.61,47.68,85.11,47.51,110.8,61.55,"KCNC3"
"89","chr4",117429690,117430090,401,"*",3.74152272156722,4.10283269246352,3.10723826531215,1.19643049020995,0.00539750510930404,0.999820495462944,14.4,19.69,11.89,21.68,18.26,9.62,5.37,12.52,6.96,"LINC01378"
"90","chr11",100847203,100847603,401,"*",3.07789011696779,1.83677599738915,3.86129875052692,-1.7772976502442,0.00547537062417382,0.999820495462944,2.99,4.09,2.47,4.51,3.8,16.22,9.06,21.12,11.73,"ARHGAP42"
"91","chr7",117873087,117873487,401,"*",4.18976555353938,3.55177492435727,4.72257204498793,-0.950621062722213,0.00549195424000905,0.999820495462944,9.83,13.44,8.11,14.8,12.46,29.47,16.45,38.37,21.31,"CTTNBP2"
"92","chr3",16338029,16338429,401,"*",4.41825645416804,3.83830794848817,4.91779922518112,-0.861008579822807,0.00553148937546554,0.999820495462944,11.98,16.39,9.89,18.05,15.2,33.74,18.84,43.93,24.4,"OXNAD1"
"93","chr22",36180323,36180723,401,"*",4.49210915079916,3.93015723472424,4.98090040337501,-0.832795636261712,0.0055408829620404,0.999820495462944,12.77,17.47,10.54,19.23,16.2,35.25,19.68,45.89,25.49,"APOL3"
"94","chr2",201266753,201267153,401,"*",3.34728886453206,2.34613987724715,4.04817025731546,-1.46832295657825,0.00556726011744948,0.999820495462944,4.26,5.83,3.52,6.42,5.4,18.47,10.31,24.04,13.35,"CASP8"
"95","chr1",26960232,26960632,401,"*",5.27596936248413,4.83704903821527,5.68510708493857,-0.632557410340646,0.00559031394601215,0.999820495462944,23.95,32.76,19.77,36.06,30.37,57.43,32.06,74.77,41.53,"KDF1"
"96","chr7",140239377,140239777,401,"*",3.4725388101686,2.54830960832792,4.14274240478939,-1.36294089674212,0.00559847805629334,0.999820495462944,4.9,6.7,4.05,7.38,6.22,19.72,11.01,25.67,14.26,"KDM7A-DT"
"97","chr10",11823243,11823643,401,"*",4.7206827543728,4.21117475169696,5.17688179911704,-0.74881782548371,0.00570642400875503,0.999820495462944,15.52,21.23,12.81,23.37,19.68,40.38,22.54,52.57,29.2,"PROSER2"
"98","chrX",48936983,48937383,401,"*",5.43948100935485,5.02105494056837,5.83421397531695,-0.598106519826314,0.00587693382161834,0.999820495462944,27.2,37.21,22.46,40.97,34.51,63.68,35.55,82.91,46.06,"OTUD5"
"99","chr3",30657826,30658226,401,"*",4.53604017204112,4.77280100450326,4.17215653166596,0.8092264390862,0.00593593997528445,0.999820495462944,22.9,31.33,18.91,34.49,29.05,20.12,11.23,26.2,14.55,"TGFBR2"
"100","chr9",120904023,120904423,401,"*",5.01346637776775,4.54422094709015,5.44329347021119,-0.683167505643233,0.00603246195398733,0.999820495462944,19.55,26.74,16.14,29.44,24.79,48.57,27.12,63.23,35.12,"PHF19"
"101","chr9",26947106,26947506,401,"*",6.16497627708562,6.29394725660944,5.98563835014063,0.520697305851001,0.00603250466051191,0.999820495462944,65.74,89.92,54.28,99,83.38,70.73,39.49,92.09,51.15,"IFT74"
"102","chr8",66438972,66439372,401,"*",4.72647897777913,4.94094616824363,4.40393010269364,0.746600410715517,0.00606595556146536,0.999820495462944,25.73,35.2,21.25,38.76,32.64,23.63,13.19,30.77,17.09,"ADHFE1"
"103","chr6",133569136,133569536,401,"*",2.93138168385485,3.45123717773159,1.80396767796028,1.82135610535551,0.00610034891038903,0.999820495462944,9.16,12.54,7.57,13.8,11.62,3.9,2.18,5.07,2.82,"TARID"
"104","chr9",104991237,104991637,401,"*",5.4904726187597,5.64691739141442,5.26755098822484,0.590939644880505,0.00621681883807933,0.999820495462944,41.98,57.42,34.66,63.22,53.25,43,24.01,55.98,31.1,"ABCA1"
"105","chr11",8019059,8019459,401,"*",4.99910811189617,4.53484025784489,5.42558914900139,-0.674661486900194,0.00631104368865115,0.999820495462944,19.42,26.57,16.03,29.25,24.63,47.98,26.78,62.46,34.7,"TUB"
"106","chr15",60397876,60398276,401,"*",5.248779803462,4.81832480275019,5.65200971813598,-0.618291322693845,0.00643452679561435,0.999820495462944,23.64,32.33,19.52,35.6,29.98,56.13,31.34,73.08,40.59,"ANXA2"
"107","chr17",38898686,38899086,401,"*",5.08249566647801,4.63500940953714,5.49755192043676,-0.646731534217171,0.00649317013216394,0.999820495462944,20.82,28.48,17.19,31.35,26.4,50.43,28.15,65.66,36.47,"LASP1"
"108","chr14",88166465,88166865,401,"*",3.16215795618391,2.01361931605503,3.9158887893378,-1.65980198267604,0.00659559833528261,0.999820495462944,3.38,4.63,2.79,5.09,4.29,16.85,9.41,21.94,12.18,"LINC01146"
"109","chr9",129437214,129437614,401,"*",4.62774639771216,4.1118938373648,5.08799158171472,-0.758691290328356,0.00669235031080616,0.999820495462944,14.49,19.82,11.96,21.82,18.37,37.97,21.2,49.43,27.46,"LINC00963"
"110","chr19",12765988,12766388,401,"*",4.76789433683197,4.26446149790232,5.22019159885242,-0.73888181723165,0.00675759765162318,0.999820495462944,16.1,22.03,13.29,24.25,20.42,41.61,23.23,54.17,30.09,"HOOK2"
"111","chr12",92363606,92364006,401,"*",4.47013545912744,4.71027927705618,4.09981754502969,0.818765124733148,0.00678810892354519,0.999820495462944,21.93,30,18.11,33.03,27.82,19.14,10.69,24.92,13.84,"LINC02397"
"112","chr7",150556730,150557130,401,"*",4.18011351708166,4.45529047503952,3.7404799485106,0.921348920130461,0.00680691875762258,0.999820495462944,18.38,25.14,15.17,27.68,23.31,14.92,8.33,19.42,10.79,"GIMAP4"
"113","chr17",82586175,82586575,401,"*",4.08194865462733,3.4283194633388,4.62336535042293,-0.973704722614996,0.0068744164713249,0.999820495462944,9.02,12.34,7.45,13.58,11.44,27.51,15.36,35.82,19.9,"FOXK2"
"114","chr15",70853933,70854333,401,"*",4.04938195262495,3.38196812592725,4.59826937007131,-0.994838522441666,0.00696461392175572,0.999820495462944,8.73,11.95,7.21,13.15,11.08,27.04,15.1,35.2,19.55,"LARP6"
"115","chr6",154509685,154510085,401,"*",4.17533769073465,3.54986104044711,4.70114902088229,-0.931173091655664,0.00698636775670457,0.999820495462944,9.81,13.42,8.1,14.78,12.45,29.04,16.21,37.8,21,"CNKSR3"
"116","chr21",13980106,13980506,401,"*",4.39850440792018,4.65534987166622,3.99576570894641,0.867083978300578,0.00704343572553414,0.999820495462944,21.11,28.88,17.43,31.8,26.78,17.81,9.94,23.18,12.88,"ANKRD20A11P"
"117","chr22",39388608,39389008,401,"*",5.21612891118308,4.77581621649847,5.6262327265913,-0.63494112442149,0.0070730001094054,0.999820495462944,22.95,31.4,18.95,34.56,29.11,55.13,30.78,71.78,39.87,"TAB1"
"118","chr19",28727017,28727417,401,"*",3.38469750284377,2.43340492647161,4.06595683373398,-1.39937413595841,0.00707492028713371,0.999820495462944,4.53,6.19,3.74,6.82,5.74,18.7,10.44,24.34,13.52,"LOC100420587"
"119","chr10",84194647,84195047,401,"*",4.28012408387854,3.68570938365164,4.78815575000663,-0.883079624728609,0.0071409750572779,0.999820495462944,10.78,14.75,8.9,16.24,13.67,30.84,17.22,40.15,22.3,"CDHR1"
"120","chr11",18412081,18412481,401,"*",3.94443936749167,4.25850278450401,3.42158739661637,1.04058755783381,0.00726003747510803,0.999820495462944,16.04,21.94,13.24,24.15,20.34,11.96,6.68,15.57,8.65,"LDHC"
