"","CD4_avgLogFC","CD8_avgLogFC"
"HOXB3",0.09264,0.08463
"HOXB2",0.09264,0.08463
"HOXA2",0.09264,0.08463
"HOXA1",0.09264,0.08463
"HESX1",0.09264,0.08463
"GSX1",0.09264,0.08463
"EVX2",0.09264,0.08463
"EVX1",0.09264,0.08463
"EN1",0.09264,0.08463
"EMX2",0.09264,0.08463
"EMX1",0.09264,0.08463
"E5",0.09264,0.08463
"ALX3",0.09264,0.08463
"CG9876",0.09264,0.08463
"ZAT6",0.09895,0.09005
"RVE7",0.09834,0.0833
"ZNF558",0.10005,0.08447
"CG32532",0.09104,0.09237
"CG34031",0.09242,0.095
"HAT5",0.09977,0.1007
"SATB1",0.09548,0.09661
"PHDP",0.10361,0.08288
"YOX1",0.10613,0.08212
"ZHD14",0.10711,0.08264
"MYB81",0.10107,0.0754
"LHY",0.10337,0.07571
"SOX2",0.10302,0.073625
"AT5G56840",0.10637,0.078
"POU1F1",0.10613,0.07471
"POU2F2",0.10902,0.07518
"FOXB1",0.10479,0.09124
"POU3F2",0.10888,0.09097
"POU3F4",0.10796,0.09314
"HDG11",0.10474,0.08738
"ZHD1",0.10626,0.08592
"ZHD9",0.10999,0.08748
"AT5G61620",0.10818,0.08867
"YHP1",0.10845,0.08861
"MSX2",0.10845,0.08861
"MSX1",0.10845,0.08861
"LHX2",0.10845,0.08861
"LBX2",0.10845,0.08861
"HOXA7",0.10845,0.08861
"GBX2",0.10845,0.08861
"DLX1",0.10845,0.08861
"BARX1",0.10845,0.08861
"BSX",0.10845,0.08861
"D1",0.11847,0.08384
"PROP1",0.11752,0.08081
"DLX6",0.10845,0.08463
"ZNF35",0.10984,0.08271
"HOXD8",0.11353,0.08263
"HOXB7",0.11353,0.08265
"HOXA6",0.11353,0.08265
"HOXB6",0.11353,0.08265
"POU2F1",0.111995,0.08066
"SPL5B",0.11222,0.08184
"HOXD12",0.06578,0.11546
"ONECUT2",0.06113,0.12043
"BACH2",0.07189,0.09258
"HOXB9",0.07433,0.09414
"HGTX",0.07924,0.10087
"EFM",0.07821,0.09746
"SPL8B",0.07835,0.09924
"HOXC9",0.08224,0.09414
"CG11294",0.07751,0.09474
"CG32105",0.07751,0.09237
"PHL4",0.07869,0.11052
"SPL8A",0.07666,0.10626
"HOXC10",0.08427,0.09935
"ARGFX",0.08791,0.10152
"HOXA4",0.08458,0.10328
"SOX8",0.08559,0.10417
"CUX1",0.07759,0.1382
"CUX2",0.08486,0.14356
"CDX4",0.09515,0.10981
"HOXD9",0.09751,0.10698
"ONECUT3",0.0889,0.10891
"C15",0.09104,0.11014
"CG15696",0.09104,0.11014
"CDX1",0.09114,0.10444
"PHL11",0.08679,0.10652
"SOX15",0.09503,0.12978
"ZNF211",0.09938,0.1273
"CDX2",0.08749,0.12888
"PAX3",0.08569,0.11838
"ZNF8",0.0914,0.11794
"ETV5",-0.005955,0.05587
"ABF3",-0.0641,0.05757
"MYB65",-0.07292,0.05954
"RGM1",-0.05307,-0.05242
"MSN2",-0.05307,-0.05242
"MSN4",-0.05307,-0.05242
"ASCL1",-0.05153,-0.05457
"INSM1",-0.05379,-0.05486
"GRF4",-0.05308,-0.05946
"ZNF213",-0.05856,-0.05878
"ZKSCAN5",-0.06454,-0.08145
"YPR022C",-0.07027,-0.07526
"YGR067C",-0.07027,-0.07526
"ADR1",-0.07027,-0.07526
"MIG1",-0.07027,-0.07526
"TB1",-0.07799,-0.06327
"ZNF320",-0.08069,-0.06193
"MAZ",-0.07476,-0.05647
"YER184C",-0.07247,-0.06007
"ECM22",-0.07247,-0.06007
"SIP4",-0.07247,-0.06007
"TFAP2A",-0.07383,-0.059265
"ZBTB7B",-0.07409,-0.05813
"KLF17",-0.06427,-0.05553
"EREB71",-0.06841,-0.06214
"ZBTB24",-0.06826,-0.0579
"TFAP2B",-0.064,-0.06144
"PRDM9",-0.06044,-0.06397
"SP5",-0.06226,-0.06354
"GLI3",-0.06626,-0.06576
"TFAP2C",-0.064385,-0.06534
"ARF3",-0.06556,-0.07005
"ZNF574",-0.0675,-0.06765
"PUT3",-0.11736,-0.06129
"CAT8",-0.11138,-0.05232
"NHP10",-0.11578,-0.05275
"PLAGL2",-0.11838,-0.05237
"OVOL2",-0.09971,-0.06713
"ZNF281",-0.10111,-0.07535
"ZMS1",-0.10357,-0.05774
"KLF4",-0.09864,-0.054
"ZNF454",-0.09725,-0.05766
"ZBED2",-0.08997,-0.06867
"RDS2",-0.09217,-0.05631
"TFAP2E",-0.08592,-0.05828
"ZIC5",-0.08814,-0.06228
"ZNF530",-0.07807,-0.09521
"GLIS2",-0.09062,-0.09359
"TDA9",-0.09382,-0.08882
"MYB88",-0.11701,-0.10008
"ZNF682",-0.11039,-0.09253
"RAX3",-0.10075,-0.11914
"ZNF740",-0.11779,-0.11455
"VEZF1",-0.15208,-0.11977
"PATZ1",-0.13448,-0.07197
"SUT1",-0.14001,-0.05929
"ZBED4",-0.14545,-0.05629
"ERF096",-0.14783,-0.07022
"RDS1",-0.15033,-0.0609
