output_prefix	name	motif_id	cluster	total_tfbs	CD4_Good_mean_score	CD4_Good_bound	CD4_Poor_mean_score	CD4_Poor_bound	CD4_Good_CD4_Poor_change	CD4_Good_CD4_Poor_pvalue	CD4_Good_CD4_Poor_highlighted
Sox6_MA0515.1	Sox6	MA0515.1	C_Sox6	21372	0.39852	720	0.32097	584	0.04279	2.91143E-85	False
ESR2_MA0258.2	ESR2	MA0258.2	C_ESR2	12125	0.49089	607	0.42639	497	-0.00713	5.44549E-11	False
SREBF1_MA0595.1	SREBF1	MA0595.1	C_SREBF1	9087	0.54	702	0.46577	613	0.00683	2.26984E-07	False
SREBF2_MA0596.1	SREBF2	MA0596.1	C_SREBF1	10908	0.46629	535	0.39594	468	0.00764	8.60280E-11	False
KLF5_MA0599.1	KLF5	MA0599.1	C_KLF5	53586	1.00921	14732	0.94851	13524	-0.08058	3.91620E-125	False
Atf1_MA0604.1	Atf1	MA0604.1	C_bZIP910	2664	1.15729	981	1.051	871	-0.02063	8.08881E-16	False
Creb3l2_MA0608.1	Creb3l2	MA0608.1	C_PK24205.1	4456	0.89571	1064	0.81083	935	-0.03392	5.56201E-41	False
FOXG1_MA0613.1	FOXG1	MA0613.1	C_FKH1	14208	0.39073	480	0.30341	377	0.07139	7.45115E-90	False
Foxj2_MA0614.1	Foxj2	MA0614.1	C_FKH1	11883	0.40706	481	0.31926	380	0.06974	1.64496E-90	False
BHLHE41_MA0636.1	BHLHE41	MA0636.1	C_cyc	2918	0.97407	818	0.88915	750	-0.03693	7.13197E-37	False
ELF4_MA0641.1	ELF4	MA0641.1	C_ELF2	10167	0.91604	2593	0.8259	2251	-0.01749	4.58798E-31	False
FOXI1_MA0042.2	FOXI1	MA0042.2	C_FKH1	10426	0.40266	419	0.31276	334	0.07396	5.82821E-92	False
FOXL1_MA0033.2	FOXL1	MA0033.2	C_FKH1	17643	0.3867	593	0.29815	466	0.07468	5.18080E-102	False
HNF1B_MA0153.2	HNF1B	MA0153.2	C_HNF1A	9842	0.31777	135	0.22362	97	0.11826	3.34099E-110	True
HSF1_MA0486.2	HSF1	MA0486.2	C_HSFA4A	8911	0.4122	343	0.34045	299	0.02684	3.18018E-47	False
IRF9_MA0653.1	IRF9	MA0653.1	C_IRF9	12641	0.48032	705	0.39095	549	0.05491	8.79252E-79	False
JDP2_MA0655.1	JDP2	MA0655.1	C_BACH1	6269	0.40033	222	0.31974	166	0.04734	2.84282E-60	False
MEF2B_MA0660.1	MEF2B	MA0660.1	C_MEF2D	18699	0.32427	330	0.24933	263	0.05371	1.16203E-89	False
MLX_MA0663.1	MLX	MA0663.1	C_ARNT2	3378	0.89644	821	0.80803	736	-0.01541	1.55773E-15	False
MSC_MA0665.1	MSC	MA0665.1	C_MSC	11627	0.46775	525	0.39635	422	0.01022	3.40121E-20	False
MYF6_MA0667.1	MYF6	MA0667.1	C_MYF6	7714	0.44017	301	0.36125	236	0.03288	6.17004E-49	False
NEUROG2_MA0669.1	NEUROG2	MA0669.1	C_NEUROG2	5906	0.37854	160	0.28281	111	0.09733	1.72169E-86	False
Nr2e1_MA0676.1	Nr2e1	MA0676.1	C_tll	15618	0.36697	363	0.28702	270	0.05451	7.58638E-86	False
OLIG2_MA0678.1	OLIG2	MA0678.1	C_OLIG1	4279	0.34079	78	0.25418	66	0.08285	1.26230E-76	False
PAX4_MA0068.2	PAX4	MA0068.2	C_Arx	4021	0.35601	108	0.26738	73	0.08947	8.95178E-75	False
Rxra_MA0512.2	Rxra	MA0512.2	C_PPARD	9994	0.49954	603	0.4278	524	0.01603	1.81839E-30	False
SRF_MA0083.3	SRF	MA0083.3	C_SRF	4300	0.42391	192	0.33829	180	0.05788	2.04265E-62	False
TBXT_MA0009.2	TBXT	MA0009.2	C_TBX19	4488	0.41291	150	0.33355	120	0.04041	2.79335E-45	False
TBX20_MA0689.1	TBX20	MA0689.1	C_TBX20	11866	0.4286	467	0.34881	365	0.03953	6.36661E-68	False
TFAP4_MA0691.1	TFAP4	MA0691.1	C_TFAP4	8791	0.46702	427	0.39393	353	0.01366	4.37221E-20	False
ZIC1_MA0696.1	ZIC1	MA0696.1	C_ZIC5	12280	0.76726	1764	0.71079	1532	-0.06964	3.96829E-88	False
PHOX2A_MA0713.1	PHOX2A	MA0713.1	C_PHOX2B	12500	0.29924	156	0.20612	119	0.11722	6.54631E-114	True
PROP1_MA0715.1	PROP1	MA0715.1	C_PHOX2B	15263	0.28933	154	0.19781	116	0.11752	3.10337E-116	True
VENTX_MA0724.1	VENTX	MA0724.1	C_VENTX	4776	0.37763	160	0.28845	127	0.08132	6.55194E-76	False
Nr2F6_MA0728.1	Nr2F6	MA0728.1	C_Rarb	14982	0.39317	452	0.32427	388	0.02029	1.36011E-43	False
RARA_MA0729.1	RARA	MA0729.1	C_RARA	12901	0.37797	348	0.30016	293	0.04883	1.39193E-79	False
RARA_MA0730.1	RARA	MA0730.1	C_Rarb	9185	0.4967	479	0.42623	402	0.0082	2.11605E-10	False
BCL6B_MA0731.1	BCL6B	MA0731.1	C_BCL6B	10267	0.42997	459	0.34726	363	0.0474	1.65668E-72	False
EGR2_MA0472.2	EGR2	MA0472.2	C_EGR3	10558	1.01966	2774	0.95803	2526	-0.08363	4.62188E-95	False
GLIS2_MA0736.1	GLIS2	MA0736.1	C_GLIS2	8237	0.74964	1119	0.70418	985	-0.09062	1.87102E-92	False
GLIS3_MA0737.1	GLIS3	MA0737.1	C_GLIS3	7027	0.6041	601	0.54605	524	-0.03274	2.10974E-51	False
KLF16_MA0741.1	KLF16	MA0741.1	C_KLF16	38114	1.00554	10537	0.94671	9684	-0.08581	3.62307E-126	True
ZNF143_MA0088.2	ZNF143	MA0088.2	C_ZNF76	10196	0.58328	1170	0.50977	1065	0.01099	1.73299E-18	False
E2F7_MA0758.1	E2F7	MA0758.1	C_E2FD	7266	0.51544	540	0.43793	460	0.01751	9.97436E-28	False
HSF2_MA0770.1	HSF2	MA0770.1	C_HSFA4A	9900	0.40503	352	0.32595	294	0.0481	3.90637E-69	False
HSF4_MA0771.1	HSF4	MA0771.1	C_HSFA4A	8538	0.43096	369	0.35921	332	0.02165	4.89576E-38	False
MEF2D_MA0773.1	MEF2D	MA0773.1	C_MEF2D	21337	0.31397	329	0.23454	249	0.06953	8.01231E-99	False
MEIS2_MA0774.1	MEIS2	MA0774.1	C_MEIS1	9069	0.52209	657	0.44481	573	0.02047	6.65191E-30	False
MYBL1_MA0776.1	MYBL1	MA0776.1	C_MYBL1	1573	0.58334	136	0.48859	111	0.04256	2.37683E-31	False
MYBL2_MA0777.1	MYBL2	MA0777.1	C_MYBL2	1761	0.53254	135	0.45192	119	0.02809	1.32662E-19	False
NFKB1_MA0105.4	NFKB1	MA0105.4	C_Rel	8297	0.53143	563	0.48252	504	-0.04899	1.47560E-62	False
PAX3_MA0780.1	PAX3	MA0780.1	C_Pax7	5768	0.30719	73	0.21753	58	0.11103	1.25533E-97	True
PKNOX2_MA0783.1	PKNOX2	MA0783.1	C_PKNOX2	10941	0.41083	380	0.33259	310	0.03956	1.63949E-64	False
POU3F2_MA0787.1	POU3F2	MA0787.1	C_POU3F3	18134	0.33339	388	0.24048	310	0.10888	9.24076E-115	True
POU3F3_MA0788.1	POU3F3	MA0788.1	C_POU3F3	21455	0.31536	361	0.22241	273	0.11492	1.22450E-123	True
POU3F4_MA0789.1	POU3F4	MA0789.1	C_POU3F3	13346	0.358	365	0.26353	295	0.10796	3.13755E-111	True
POU5F1B_MA0792.1	POU5F1B	MA0792.1	C_POU3F3	14220	0.35642	417	0.26027	337	0.11339	4.67451E-112	True
PROX1_MA0794.1	PROX1	MA0794.1	C_PROX1	4223	0.52584	293	0.44655	240	0.02077	1.13049E-23	False
SMAD3_MA0795.1	SMAD3	MA0795.1	C_SMAD5	3242	0.46999	162	0.37508	133	0.08085	4.49603E-70	False
TGIF1_MA0796.1	TGIF1	MA0796.1	C_PKNOX2	9952	0.41126	348	0.33173	271	0.044	5.40859E-64	False
TGIF2_MA0797.1	TGIF2	MA0797.1	C_PKNOX2	9510	0.41649	351	0.33439	276	0.04891	1.48093E-71	False
RUNX2_MA0511.2	RUNX2	MA0511.2	C_Bcl11B	8514	0.53634	599	0.4539	477	0.01763	1.07254E-30	False
MGA_MA0801.1	MGA	MA0801.1	C_TBX4	10385	0.44714	469	0.37441	390	0.01687	2.32931E-28	False
TBX15_MA0803.1	TBX15	MA0803.1	C_TBX4	9636	0.47009	490	0.39697	413	0.01435	1.00092E-24	False
TBX1_MA0805.1	TBX1	MA0805.1	C_TBX4	11230	0.45003	505	0.37433	430	0.02503	4.26301E-47	False
TBX4_MA0806.1	TBX4	MA0806.1	C_TBX4	8154	0.45142	371	0.37686	321	0.02215	3.39489E-39	False
TBX5_MA0807.1	TBX5	MA0807.1	C_TBX4	14088	0.46619	663	0.39727	582	0.0103	3.40794E-22	False
TEAD3_MA0808.1	TEAD3	MA0808.1	C_TEAD4	8173	0.41025	293	0.3348	252	0.03052	1.09818E-50	False
TFAP2B_MA0813.1	TFAP2B	MA0813.1	C_TFAP2C	11261	0.77387	1659	0.71823	1485	-0.06582	2.04526E-87	False
TFAP2C_MA0815.1	TFAP2C	MA0815.1	C_TFAP2C	10045	0.79254	1540	0.73923	1378	-0.07157	1.49955E-88	False
Ascl2_MA0816.1	Ascl2	MA0816.1	C_Ascl2	17534	0.52386	1132	0.46239	953	-0.02607	2.36337E-61	False
HES7_MA0822.1	HES7	MA0822.1	C_BHLH104	4551	0.66934	588	0.60337	532	-0.02782	1.44065E-40	False
HEY1_MA0823.1	HEY1	MA0823.1	C_HEY1	4171	0.81079	768	0.73352	686	-0.03686	5.46293E-46	False
OLIG1_MA0826.1	OLIG1	MA0826.1	C_OLIG1	4476	0.33593	66	0.24932	54	0.08273	1.14101E-72	False
OLIG3_MA0827.1	OLIG3	MA0827.1	C_OLIG1	4928	0.3454	100	0.25703	79	0.08678	1.44145E-80	False
CEBPG_MA0838.1	CEBPG	MA0838.1	C_atf-2	2852	0.54055	258	0.45561	217	0.03439	1.13158E-30	False
FOXB1_MA0845.1	FOXB1	MA0845.1	C_FOXC2	20812	0.32533	374	0.23346	279	0.10479	2.72101E-118	False
FOXC1_MA0032.2	FOXC1	MA0032.2	C_FOXC2	24363	0.3256	438	0.23725	331	0.0923	6.26484E-121	False
FOXO4_MA0848.1	FOXO4	MA0848.1	C_FKH1	13013	0.40186	479	0.31292	380	0.07223	3.50805E-92	False
FOXO6_MA0849.1	FOXO6	MA0849.1	C_FKH1	13013	0.40186	479	0.31292	380	0.07223	3.50805E-92	False
FOXP3_MA0850.1	FOXP3	MA0850.1	C_FKH1	17643	0.3867	593	0.29815	466	0.07468	5.18080E-102	False
RXRB_MA0855.1	RXRB	MA0855.1	C_PPARD	10297	0.49964	617	0.42492	532	0.02366	7.14497E-47	False
RXRG_MA0856.1	RXRG	MA0856.1	C_PPARD	9916	0.49284	576	0.41838	492	0.02292	1.39503E-37	False
Rarb_MA0857.1	Rarb	MA0857.1	C_Rarb	14638	0.38221	407	0.31041	350	0.032	6.81453E-63	False
Rarb_MA0858.1	Rarb	MA0858.1	C_Rarb	9065	0.45796	402	0.38581	334	0.01684	1.54772E-29	False
Rarg_MA0860.1	Rarg	MA0860.1	C_Rarg	12192	0.44183	485	0.37045	412	0.02359	6.78204E-51	False
TP63_MA0525.2	TP63	MA0525.2	C_TP63	4746	0.45946	302	0.37861	272	0.03971	1.18773E-47	False
TP53_MA0106.3	TP53	MA0106.3	C_TP53	5590	0.44728	261	0.36451	222	0.04754	8.19163E-61	False
GMEB2_MA0862.1	GMEB2	MA0862.1	C_GMEB2	929	0.82036	201	0.72423	174	0.01985	1.49423E-11	False
MTF1_MA0863.1	MTF1	MA0863.1	C_MTF1	6236	0.6263	620	0.54742	536	0.0116	1.48949E-14	False
E2F1_MA0024.3	E2F1	MA0024.3	C_E2F4	1810	0.87818	384	0.79292	323	-0.03246	3.88844E-23	False
SOX21_MA0866.1	SOX21	MA0866.1	C_Sox21b	11611	0.3595	272	0.26619	214	0.09949	8.32024E-106	False
Sox1_MA0870.1	Sox1	MA0870.1	C_Sox21b	9357	0.36421	231	0.2766	190	0.07407	1.13518E-88	False
TFAP2A_MA0872.1	TFAP2A	MA0872.1	C_TFAP2C	10551	0.77286	1531	0.7177	1374	-0.06402	5.45670E-89	False
ZNF24_MA1124.1	ZNF24	MA1124.1	C_ZNF24	14843	0.36554	364	0.27928	301	0.08056	1.53898E-105	False
ZSCAN4_MA1155.1	ZSCAN4	MA1155.1	C_ZSCAN4	14548	0.47833	780	0.40262	633	0.01946	1.04457E-40	False
FOSBJUN_MA1127.1	FOSB::JUN	MA1127.1	C_FOSL2::JUNB	4794	0.78554	1025	0.69304	923	0.02958	1.65606E-37	False
FOSL1JUN_MA1129.1	FOSL1::JUN	MA1129.1	C_FOSL2::JUNB	3188	0.87626	821	0.77608	740	0.03229	9.36007E-34	False
FOSBJUNB_MA1136.1	FOSB::JUNB	MA1136.1	C_FOSL2::JUNB	3712	0.87607	942	0.77904	855	0.02394	7.34227E-25	False
IRF5_MA1420.1	IRF5	MA1420.1	C_IRF5	7356	0.54058	540	0.44974	458	0.04882	3.36171E-71	False
TCF7L1_MA1421.1	TCF7L1	MA1421.1	C_TCF7L1	18145	0.40864	624	0.32679	492	0.05533	8.95963E-90	False
ATOH7_MA1468.1	ATOH7	MA1468.1	C_OLIG1	6543	0.38187	166	0.29502	127	0.07547	6.14491E-84	False
FERD3L_MA1485.1	FERD3L	MA1485.1	C_FERD3L	9849	0.63141	1036	0.56028	888	-0.00811	2.21803E-09	False
FOXN3_MA1489.1	FOXN3	MA1489.1	C_FOXN3	11315	0.36204	312	0.27287	229	0.08236	5.68936E-99	False
HES6_MA1493.1	HES6	MA1493.1	C_HES6	5350	0.62733	601	0.55806	543	-0.02133	1.57225E-28	False
IRF6_MA1509.1	IRF6	MA1509.1	C_IRF6	3417	0.62813	333	0.55325	272	-0.00638	2.39890E-02	False
NR2F1_MA1538.1	NR2F1	MA1538.1	C_NR2F1	6113	0.51237	334	0.4556	289	-0.03087	2.44929E-46	False
NR2F6_MA1539.1	NR2F6	MA1539.1	C_NR2F1	5830	0.5049	293	0.44815	264	-0.02524	8.00887E-37	False
RXRB_MA1555.1	RXRB	MA1555.1	C_RXRG	6549	0.53822	465	0.47097	403	-0.00141	7.95068E-01	False
RXRG_MA1556.1	RXRG	MA1556.1	C_RXRG	7411	0.57713	648	0.51287	588	-0.0146	1.92872E-23	False
SMAD5_MA1557.1	SMAD5	MA1557.1	C_SMAD5	2757	0.48838	145	0.39979	128	0.06502	2.38406E-62	False
TFAP4_MA1570.1	TFAP4	MA1570.1	C_TFAP4	4759	0.36802	137	0.29072	107	0.05144	2.16659E-63	False
TGIF2LX_MA1571.1	TGIF2LX	MA1571.1	C_PKNOX2	5946	0.46457	306	0.38048	251	0.04161	1.64379E-52	False
TGIF2LY_MA1572.1	TGIF2LY	MA1572.1	C_PKNOX2	5556	0.46599	285	0.38418	242	0.03862	7.44102E-47	False
ZBTB32_MA1580.1	ZBTB32	MA1580.1	C_ZBTB32	7564	0.3797	205	0.28988	161	0.08322	3.59406E-88	False
ZNF135_MA1587.1	ZNF135	MA1587.1	C_ZNF460	41161	0.43849	1844	0.39017	1639	-0.03547	3.17169E-86	False
ZNF136_MA1588.1	ZNF136	MA1588.1	C_ZNF136	14807	0.3367	292	0.27027	237	0.01924	3.83310E-41	False
ZNF382_MA1594.1	ZNF382	MA1594.1	C_ZNF382	10019	0.43695	439	0.35002	343	0.05924	6.16278E-77	False
ZNF460_MA1596.1	ZNF460	MA1596.1	C_ZNF460	59547	0.66321	7113	0.61133	6369	-0.05693	1.29715E-115	False
ZNF528_MA1597.1	ZNF528	MA1597.1	C_ZNF528	15727	0.50179	918	0.42836	765	0.01608	2.61190E-37	False
HOXA5_MA0158.2	HOXA5	MA0158.2	C_HOXB7	3599	0.3795	120	0.29522	81	0.06316	6.65730E-60	False
HOXD3_MA0912.2	HOXD3	MA0912.2	C_Ubx	5763	0.35728	150	0.27268	103	0.07088	2.83008E-73	False
NEUROG1_MA0623.2	NEUROG1	MA0623.2	C_OLIG1	3755	0.35254	65	0.26871	60	0.07534	2.53587E-72	False
ZNF707_MA1715.1	ZNF707	MA1715.1	C_ZNF707	16728	0.60167	1555	0.53877	1364	-0.02691	2.01587E-63	False
ZNF8_MA1718.1	ZNF8	MA1718.1	C_ZNF8	10878	0.3343	198	0.2464	162	0.0914	9.10201E-98	False
Foxn1_MA1684.1	Foxn1	MA1684.1	C_Foxn1	19602	0.92442	3755	0.86724	3368	-0.09007	3.31346E-111	False
ELK1HOXA1_MA1931.1	ELK1::HOXA1	MA1931.1	C_ELK1::HOXA1	6982	0.83737	1587	0.74098	1371	0.01208	4.95607E-17	False
HOXB2ELK1_MA1957.1	HOXB2::ELK1	MA1957.1	C_HOXB2::ELK1	6676	0.7522	1228	0.65173	1039	0.03728	1.52062E-55	False
POU2F1SOX2_MA1962.1	POU2F1::SOX2	MA1962.1	C_POU2F1::SOX2	19284	0.31602	290	0.22477	205	0.10302	6.80777E-115	False
ZFP14_MA1972.1	ZFP14	MA1972.1	C_ZFP14	29437	0.63641	2971	0.57499	2571	-0.03557	4.32213E-83	False
ZNF418_MA1980.1	ZNF418	MA1980.1	C_ZNF418	19933	0.42043	757	0.33708	559	0.0463	2.96718E-82	False
ZNF669_MA1985.1	ZNF669	MA1985.1	C_ZNF669	5682	0.77327	814	0.72082	723	-0.07635	3.48761E-74	False
SP1_MA0079.5	SP1	MA0079.5	C_KLF5	52129	1.05957	14979	1.0033	13687	-0.10353	2.08273E-139	True
RFX1_MA0509.3	RFX1	MA0509.3	C_RFX1	4476	0.73288	799	0.64434	717	0.01331	3.49031E-13	False
SP2_MA0516.3	SP2	MA0516.3	C_KLF5	49742	1.15107	16695	1.09241	15354	-0.10814	3.39210E-139	True
BHLHA15_MA0607.2	BHLHA15	MA0607.2	C_OLIG1	3595	0.37012	82	0.27634	61	0.09747	6.38713E-78	False
SP4_MA0685.2	SP4	MA0685.2	C_KLF5	52342	1.03148	14831	0.9706	13619	-0.08531	6.10280E-131	True
KLF14_MA0740.2	KLF14	MA0740.2	C_KLF5	51173	1.07944	15649	1.02135	14380	-0.10048	3.28941E-142	True
KLF12_MA0742.2	KLF12	MA0742.2	C_KLF5	44221	1.15176	14845	1.09217	13655	-0.10687	3.50316E-138	True
RFX3_MA0798.3	RFX3	MA0798.3	C_RFX1	4715	0.76752	905	0.68221	814	-0.00273	1.23503E-01	False
BHLHE22_MA0818.2	BHLHE22	MA0818.2	C_OLIG1	3087	0.35567	61	0.26924	54	0.08485	1.16337E-68	False
HES5_MA0821.2	HES5	MA0821.2	C_HEY1	2985	0.79635	521	0.72776	465	-0.04579	9.80462E-40	False
TFE3_MA0831.3	TFE3	MA0831.3	C_cyc	3900	0.89538	995	0.8086	904	-0.01379	2.29634E-12	False
CDX1_MA0878.3	CDX1	MA0878.3	C_HOXA10	13305	0.36	323	0.26954	254	0.09114	1.38111E-104	False
DUXA_MA0884.2	DUXA	MA0884.2	C_DUXA	6491	0.31719	81	0.23011	74	0.09369	5.94994E-94	False
KLF10_MA1511.2	KLF10	MA1511.2	C_KLF5	47460	1.10677	14985	1.04995	13746	-0.10746	5.44832E-137	True
NR1D2_MA1532.2	NR1D2	MA1532.2	C_NR1D1	10123	0.44799	430	0.37554	380	0.02275	5.45944E-46	False
PITX2_MA1547.2	PITX2	MA1547.2	C_Ptx1	7161	0.41501	279	0.33309	228	0.05329	3.01229E-69	False
SOX18_MA1563.2	SOX18	MA1563.2	C_SOX8	9336	0.3712	252	0.28219	202	0.08431	2.90421E-93	False
Thap11_MA1573.2	Thap11	MA1573.2	C_Thap11	13105	0.67116	1950	0.59577	1777	-0.00024	9.83837E-01	False
ZNF75D_MA1601.2	ZNF75D	MA1601.2	C_ZNF75D	13027	0.50815	765	0.43421	646	0.00958	1.30457E-19	False
BACH1_MA1633.2	BACH1	MA1633.2	C_BACH1	8022	0.46889	467	0.39041	388	0.02741	4.89106E-48	False
mix-a_MA0621.2	mix-a	MA0621.2	C_Ubx	6040	0.30292	69	0.21887	45	0.0893	2.79807E-83	False
ARNTHIF1A_MA0259.2	ARNT::HIF1A	MA0259.2	C_ARNT::HIF1A	30671	0.72612	4388	0.65228	3880	-0.02321	1.22475E-59	False
Pgr_MA2323.1	Pgr	MA2323.1	C_Pgr	12892	0.36387	317	0.28027	225	0.06271	5.38653E-85	False
Ddit3Cebpa_MA0019.2	Ddit3::Cebpa	MA0019.2	C_Ddit3::Cebpa	6897	0.39692	260	0.32514	199	0.01821	9.15203E-21	False
Foxq1_MA0040.2	Foxq1	MA0040.2	C_Foxq1	16582	0.35158	360	0.26517	268	0.08008	9.61374E-106	False
HOXB1_MA2093.1	HOXB1	MA2093.1	C_Ubx	4623	0.32952	85	0.24491	50	0.07799	2.27213E-73	False
PAX8_MA2094.1	PAX8	MA2094.1	C_sv	3206	0.72596	476	0.66244	419	-0.04083	2.21948E-48	False
ZNF524_MA2096.1	ZNF524	MA2096.1	C_ZNF524	8541	0.55848	579	0.49876	532	-0.01789	3.16356E-29	False
ZNF75A_MA2097.1	ZNF75A	MA2097.1	C_ZNF75A	14851	0.47181	724	0.39469	629	0.02882	1.75562E-54	False
ZNF766_MA2098.1	ZNF766	MA2098.1	C_ZNF766	17815	0.43334	726	0.34987	582	0.05092	4.98933E-85	False
ZNF770_MA2099.1	ZNF770	MA2099.1	C_ZNF770	32213	0.56392	2630	0.50304	2308	-0.0257	8.68806E-68	False
ZSCAN16_MA2100.1	ZSCAN16	MA2100.1	C_ZSCAN16	10183	0.48409	579	0.40355	459	0.03402	9.17876E-54	False
ZNF677_MA2101.1	ZNF677	MA2101.1	C_ZNF677	17732	0.39901	581	0.31499	449	0.05765	6.42079E-94	False
ZBTB17_MA2102.1	ZBTB17	MA2102.1	C_Pax7	2553	0.35361	60	0.27535	47	0.05096	1.43469E-47	False
FOXP4_MA2117.1	FOXP4	MA2117.1	C_FKH1	10426	0.40266	419	0.31276	334	0.07396	5.82821E-92	False
FOXS1_MA2118.1	FOXS1	MA2118.1	C_FKH1	13334	0.40197	507	0.31076	386	0.07791	2.17448E-95	False
HOXA3_MA2119.1	HOXA3	MA2119.1	C_Ubx	4623	0.32952	85	0.24491	50	0.07799	2.27213E-73	False
ZNF184_MA2120.1	ZNF184	MA2120.1	C_ZNF184	17071	0.46666	900	0.38502	771	0.04277	1.83817E-81	False
ZNF213_MA2121.1	ZNF213	MA2121.1	C_ZNF213	43714	0.62441	4340	0.57559	3912	-0.05856	1.93088E-111	False
BCL11A_MA2324.1	BCL11A	MA2324.1	C_BCL11A	18133	0.42527	676	0.36373	583	-0.00104	7.47655E-01	False
EPAS1_MA2325.1	EPAS1	MA2325.1	C_EPAS1	2602	0.88684	509	0.82779	479	-0.08578	2.62588E-67	False
IKZF2_MA2326.1	IKZF2	MA2326.1	C_IKZF2	60948	0.54883	4547	0.47488	3856	0.0043	3.84131E-17	False
PGR_MA2327.1	PGR	MA2327.1	C_PGR	6426	0.42574	232	0.32838	178	0.09566	2.01472E-88	False
ZBED4_MA2328.1	ZBED4	MA2328.1	C_ZBED4	38446	1.11632	11610	1.07412	10647	-0.14545	1.09378E-153	True
ZBTB11_MA2329.1	ZBTB11	MA2329.1	C_ELK4	12659	0.96582	3401	0.8806	2951	-0.03693	3.96887E-60	False
ZBTB24_MA2330.1	ZBTB24	MA2330.1	C_ZBTB24	24263	0.67933	2628	0.63177	2362	-0.06826	1.00597E-99	False
ZNF157_MA2331.1	ZNF157	MA2331.1	C_ZNF157	8649	0.39509	238	0.30241	208	0.08729	2.55577E-96	False
ZNF175_MA2332.1	ZNF175	MA2332.1	C_Erg	22591	0.57704	2021	0.49026	1640	0.0288	3.04082E-63	False
ZNF35_MA2333.1	ZNF35	MA2333.1	C_ZNF35	8178	0.3115	106	0.22033	69	0.10984	4.68542E-98	True
ZNF547_MA2334.1	ZNF547	MA2334.1	C_ZNF547	9468	0.42214	373	0.3336	282	0.06826	2.52488E-82	False
ZNF558_MA2335.1	ZNF558	MA2335.1	C_ZNF558	34688	0.31075	415	0.22102	302	0.10005	1.93058E-127	True
ZSCAN21_MA2336.1	ZSCAN21	MA2336.1	C_ZSCAN21	6155	0.44386	260	0.35539	221	0.05901	9.53866E-67	False
FEZF2_MA2341.1	FEZF2	MA2341.1	C_FEZF2	43297	0.45632	2074	0.39677	1791	-0.01413	5.51525E-55	False
ALX3_MA0634.2	ALX3	MA0634.2	C_Ubx	7150	0.31326	102	0.22723	64	0.09264	1.11569E-89	False
TBX21_MA0690.3	TBX21	MA0690.3	C_TBX4	10509	0.42643	420	0.35673	353	0.01474	1.33462E-30	False
ARGFX_MA1463.2	ARGFX	MA1463.2	C_Ubx	6939	0.31185	93	0.22664	61	0.08791	9.92432E-87	False
