"","seqnames","start","end","width","strand","Conc","Conc_good","Conc_poor","Fold","p.value","FDR","G08CD8_S145930","G09CD8_S145931","G48CD8_S145920","G58CD8_S145928","G70CD8_S145926","G27CD8_S145935","G44CD8_S145922","G50CD8_S145937","G52CD8_S145932","G81CD8_S145924","SYMBOL"
"11","chr12",49903797,49904197,401,"*",4.57480384953393,3.90061936158143,5.03246499166322,-1.02822065263578,0.000254099044684293,0.6557603345907,19.89,10,11.57,14.44,18.78,36.77,21.18,29.72,46.51,29.46,"LINC02395"
"12","chr14",106442942,106443342,401,"*",3.53441200187406,2.33968436658556,4.17885076939684,-1.71694498586448,0.000310530947544439,0.681782602316222,6.74,3.39,3.92,4.89,6.36,20.35,11.72,16.44,25.74,16.3,"LINC00221"
"13","chr7",75739020,75739420,401,"*",6.97186171443447,6.39961391206368,7.38049959490056,-0.882554847349946,0.000312215507612755,0.681782602316222,112.41,56.54,65.42,81.61,106.15,187.21,107.84,151.3,236.79,150.01,"HIP1"
"14","chr10",133111610,133112010,401,"*",2.96978691613605,1.27224157434044,3.72825194194917,-2.30543847265514,0.000426414373875348,0.851031088012207,3.22,1.62,1.87,2.33,3.04,14.89,8.58,12.03,18.83,11.93,"ADGRA1"
"15","chr19",56477310,56477710,401,"*",4.6821885226776,5.03484111651533,4.21444315713755,0.913096331158431,0.000449678255607408,0.851031088012207,43.65,21.95,25.4,31.69,41.22,20.86,12.01,16.86,26.38,16.71,"ZNF667-AS1"
"16","chr1",25267803,25268203,401,"*",3.43879853962525,2.22368112598492,4.08888475974114,-1.74164349096899,0.000493348108286666,0.875322881127617,6.22,3.13,3.62,4.52,5.87,19.12,11.01,15.45,24.18,15.32,"RSRP1"
"17","chr14",58331063,58331463,401,"*",4.80811945922203,5.14242879277183,4.37220746987585,0.863610801960554,0.000565091671668961,0.943636610314027,47.03,23.65,27.37,34.14,44.41,23.27,13.4,18.8,29.43,18.64,"ARID4A"
"18","chr14",22561740,22562140,401,"*",5.51625858946163,5.01594043513934,5.88703569078095,-0.771479590799933,0.000636611212883286,0.990468774317288,43.08,21.67,25.07,31.28,40.68,66.49,38.3,53.73,84.1,53.28,"LINC02332"
"19","chr17",36980241,36980641,401,"*",2.65692143615476,3.43532530973144,0.844779492675857,2.60415927016106,0.000683282700532607,0.990468774317288,14.4,7.24,8.38,10.46,13.6,2.02,1.16,1.63,2.55,1.62,"AATF"
"20","chr17",6831558,6831958,401,"*",4.2031900177061,4.61532599913356,3.62401310473653,1.08085480116868,0.000697808069830413,0.990468774317288,32.64,16.41,18.99,23.69,30.82,13.85,7.98,11.19,17.52,11.1,"TEKT1"
"21","chr22",33537410,33537810,401,"*",2.75601232240382,3.52910355721244,0.975462524924537,2.57029879030259,0.000774211378152119,0.999789157560756,15.37,7.73,8.95,11.16,14.51,2.21,1.27,1.79,2.79,1.77,"LARGE1"
"22","chr3",194134892,194135292,401,"*",4.61364669215693,4.02227981241983,5.03187575108428,-0.907160483373071,0.000805828808618267,0.999789157560756,21.64,10.88,12.59,15.71,20.43,36.76,21.17,29.7,46.49,29.45,"HES1"
"23","chr4",174522322,174522722,401,"*",5.09689011032936,4.58859890867308,5.47200776949083,-0.782997547018754,0.000920052295854658,0.999789157560756,32.04,16.11,18.64,23.26,30.25,49.87,28.73,40.3,63.07,39.96,"HPGD"
"24","chr22",42553633,42554033,401,"*",5.43763988275037,4.94987932703958,5.80150484863827,-0.751924924605996,0.000948759421619998,0.999789157560756,41.15,20.7,23.95,29.88,38.86,62.66,36.1,50.64,79.26,50.21,"SERHL2"
"25","chr19",57191340,57191740,401,"*",4.85055132812323,5.16104225708744,4.45437656221159,0.800499944704668,0.00108740957792436,0.999789157560756,47.64,23.96,27.72,34.59,44.98,24.63,14.19,19.91,31.15,19.74,"ZNF264"
"26","chr1",106916010,106916410,401,"*",2.92746581650669,3.62275630741241,1.53453167308379,2.13582934640664,0.00110089105639267,0.999789157560756,16.4,8.25,9.55,11.91,15.49,3.25,1.87,2.63,4.12,2.61,"LINC01661"
"27","chr17",75876093,75876493,401,"*",4.90346691732303,4.38603049211805,5.2835179413583,-0.796698684126056,0.00113211752609647,0.999789157560756,27.84,14,16.2,20.21,26.29,43.76,25.21,35.36,55.35,35.06,"TRIM47"
"28","chr5",52060662,52061062,401,"*",3.03524242716424,3.71262219253699,1.71607957543492,2.04906111973842,0.00113906324961317,0.999789157560756,17.46,8.78,10.16,12.67,16.48,3.69,2.13,2.98,4.67,2.96,"LINC02118"
"29","chr22",48636780,48637180,401,"*",3.98808768496232,3.2096987832763,4.49090962378699,-1.17305188724816,0.00117708487614974,0.999789157560756,12.32,6.2,7.17,8.94,11.63,25.26,14.55,20.42,31.95,20.24,"TAFA5"
"30","chr12",97396872,97397272,401,"*",2.94523558434451,3.61853660928448,1.64223478885414,2.02806465850782,0.00122300815780085,0.999789157560756,16.35,8.23,9.52,11.87,15.44,3.51,2.02,2.83,4.44,2.81,"RMST"
"31","chr20",54301483,54301883,401,"*",3.28308952201815,3.87365155191874,2.26615934079998,1.67873233853542,0.00125778962606209,0.999789157560756,19.52,9.82,11.36,14.17,18.43,5.4,3.11,4.37,6.84,4.33,"PFDN4"
"32","chr7",96321708,96322108,401,"*",4.81583498666364,4.28948996442183,5.20064573587469,-0.809879025177879,0.00128169329733419,0.999789157560756,26.04,13.1,15.15,18.9,24.59,41.32,23.8,33.39,52.26,33.11,"SLC25A13"
"33","chr19",54265862,54266474,613,"*",4.04937552901874,4.47146295752913,3.45020896904795,1.1092331579255,0.00130147531483272,0.999789157560756,29.54,14.86,17.19,21.44,27.89,12.28,7.07,9.92,15.53,9.84,"LILRB5"
"34","chr20",25853643,25854043,401,"*",3.69551745702549,2.78169790504841,4.25056987248673,-1.35614487107026,0.00130921307810749,0.999789157560756,9.16,4.61,5.33,6.65,8.65,21.39,12.32,17.28,27.05,17.14,"LOC101926935"
"35","chr5",57298243,57298643,401,"*",4.19603397831737,4.58466671953895,3.66247396332669,1.01201275757042,0.00169203994022837,0.999789157560756,31.95,16.07,18.59,23.2,30.17,14.23,8.2,11.5,17.99,11.4,"GPBP1"
"36","chr22",49936032,49936432,401,"*",5.08406782529901,4.60212020172583,5.44470138213071,-0.742525021479331,0.00170191875390486,0.999789157560756,32.34,16.26,18.82,23.48,30.54,48.93,28.19,39.55,61.89,39.21,"CRELD2"
"37","chr12",57701545,57701945,401,"*",2.95692195757432,3.61871490623048,1.6983327313005,1.97561252749102,0.00170910103938818,0.999789157560756,16.36,8.23,9.52,11.87,15.44,3.65,2.1,2.95,4.61,2.92,"OS9"
"38","chr5",147782601,147783001,401,"*",4.87696116087828,4.37235731393266,5.25007601401315,-0.776691343300009,0.00182700449241083,0.999789157560756,27.58,13.87,16.05,20.02,26.04,42.76,24.63,34.55,54.08,34.26,"JAKMIP2"
"39","chrX",152830701,152831101,401,"*",5.42252590982255,4.97172660301751,5.76549317377076,-0.694361026807592,0.00191861696699352,0.999789157560756,41.78,21.01,24.31,30.33,39.45,61.12,35.21,49.39,77.3,48.97,"CETN2"
"40","chr17",29369925,29370325,401,"*",4.62615250289352,4.94435546276442,4.21730226681779,0.820197270048217,0.00194008479333352,0.999789157560756,41,20.62,23.86,29.76,38.71,20.9,12.04,16.89,26.43,16.75,"TAOK1"
"41","chrX",119791652,119792052,401,"*",4.93084897763861,5.22090727634939,4.56741154370496,0.747701537027451,0.00201406235982096,0.999789157560756,49.66,24.98,28.9,36.05,46.89,26.64,15.35,21.53,33.69,21.34,"RPL39"
"42","chr6",27251304,27251704,401,"*",4.0019270547319,3.27875918798739,4.4813999337814,-1.09548369596929,0.00243575566019615,0.999789157560756,12.92,6.5,7.52,9.38,12.2,25.1,14.46,20.28,31.74,20.11,"PRSS16"
"43","chr18",59148140,59148540,401,"*",3.60190256373483,4.09205062939515,2.85386028788424,1.3193397469946,0.00245656239851695,0.999789157560756,22.71,11.42,13.21,16.49,21.44,8.12,4.68,6.56,10.27,6.51,"SEC11C"
"44","chr2",64989096,64989496,401,"*",4.75399478474439,4.24602752564135,5.12893680908186,-0.78165559260204,0.0024802313362379,0.999789157560756,25.27,12.71,14.7,18.34,23.86,39.31,22.65,31.77,49.73,31.5,"SLC1A4"
"45","chr2",180675093,180675493,401,"*",2.9967449720393,3.62405499683687,1.86169082764186,1.82324966986137,0.00249799338259263,0.999789157560756,16.42,8.26,9.55,11.92,15.5,4.08,2.35,3.3,5.16,3.27,"SCHLAP1"
"46","chr20",41157065,41157465,401,"*",5.10268693245301,4.64303644745932,5.45073528745663,-0.707540256508213,0.00251430781657258,0.999789157560756,33.27,16.73,19.36,24.15,31.41,49.14,28.31,39.71,62.15,39.37,"PLCG1"
"47","chr13",99087487,99087887,401,"*",5.74863086698874,5.3154222051115,6.08135280631545,-0.666957848680624,0.00256007575632714,0.999789157560756,53.02,26.67,30.86,38.49,50.07,76.08,43.82,61.48,96.22,60.96,"DOCK9-DT"
"48","chr6",167114060,167114460,401,"*",4.11539200504404,3.42882634405384,4.57866795248621,-1.04412327824789,0.00275252140090119,0.999789157560756,14.34,7.21,8.34,10.41,13.54,26.85,15.47,21.7,33.96,21.51,"CCR6"
"49","chr16",88619925,88620325,401,"*",4.73100335164908,4.22028459223022,5.10743524828594,-0.785892192683005,0.00279486222570701,0.999789157560756,24.82,12.48,14.44,18.02,23.44,38.73,22.31,31.3,48.99,31.03,"ZC3H18"
"50","chr21",15467733,15468133,401,"*",2.498826174986,3.23717405908009,0.906932288347021,2.34764322118706,0.00317893890789937,0.999789157560756,12.56,6.31,7.31,9.12,11.86,2.11,1.21,1.7,2.66,1.69,"USP25"
"51","chr22",41237657,41238057,401,"*",5.06503373969411,4.61541369715834,5.4073203227644,-0.691833779293452,0.00318730803287719,0.999789157560756,32.64,16.42,18.99,23.69,30.82,47.68,27.47,38.53,60.31,38.2,"CHADL"
"52","chr9",34193628,34194028,401,"*",3.7553125990516,2.95726679290676,4.26614524113744,-1.19834880326976,0.00324787749220723,0.999789157560756,10.34,5.2,6.02,7.51,9.76,21.62,12.45,17.47,27.34,17.32,"UBAP1"
"53","chr15",65300360,65300760,401,"*",3.89585067560611,4.30805518858678,3.31653751269841,1.07943300804587,0.00329666321904453,0.999789157560756,26.37,13.27,15.35,19.15,24.91,11.19,6.45,9.05,14.16,8.97,"PARP16"
"54","chr2",85637460,85637860,401,"*",3.97493531221121,4.37170188200092,3.42583481428978,1.03447397742152,0.00335512970550837,0.999789157560756,27.56,13.86,16.04,20.01,26.03,12.07,6.96,9.76,15.27,9.67,"USP39"
"55","chr11",35045196,35045596,401,"*",4.68212831175518,4.97569701957547,4.31315174878881,0.756133481439101,0.00369411058632715,0.999789157560756,41.9,21.07,24.38,30.42,39.56,22.33,12.87,18.05,28.25,17.9,"PDHX"
"56","chr8",8228000,8228400,401,"*",5.21189772762501,4.73799250492381,5.56802693197736,-0.730257052615275,0.00372779350969968,0.999789157560756,35.53,17.87,20.68,25.8,33.55,53.3,30.7,43.07,67.42,42.71,"FAM86B3P"
"57","chr10",132364248,132364648,401,"*",5.02166108833118,5.29659515224322,4.68169742456476,0.709442503841102,0.00378411057954843,0.999789157560756,52.33,26.32,30.46,37.99,49.42,28.83,16.61,23.3,36.47,23.1,"LRRC27"
"58","chr11",120684662,120685062,401,"*",2.9855003335437,3.59283173446688,1.91623419571015,1.74012488367941,0.00403031821936096,0.999789157560756,16.07,8.08,9.35,11.66,15.17,4.24,2.44,3.43,5.36,3.4,"GRIK4"
"59","chr19",17246119,17246519,401,"*",4.44692526257206,3.90904961440769,4.83783019770448,-0.826379810403125,0.00408973793386512,0.999789157560756,20,10.06,11.64,14.52,18.89,32.13,18.51,25.97,40.64,25.74,"NR2F6"
"60","chr15",43903605,43904005,401,"*",3.80236997335951,4.22739447159704,3.19722364693629,1.11645931269752,0.00412133214690843,0.999789157560756,24.94,12.54,14.51,18.11,23.55,10.3,5.94,8.33,13.03,8.26,"FRMD5"
"61","chr9",131350144,131350544,401,"*",4.46754688072553,4.7810406505573,4.06645793110034,0.807260018597411,0.0042015166014395,0.999789157560756,36.61,18.41,21.3,26.58,34.57,18.82,10.84,15.21,23.81,15.08,"PRRC2B"
"62","chr10",14648333,14648733,401,"*",5.03905882900369,4.60163731597954,5.37425250385536,-0.672567752423857,0.00423033811820946,0.999789157560756,32.33,16.26,18.81,23.47,30.53,46.6,26.84,37.66,58.94,37.34,"FAM107B"
"63","chr20",36930542,36930942,401,"*",4.70707770096718,4.99180171407981,4.35199125549808,0.733511189955209,0.00431556975096792,0.999789157560756,42.37,21.31,24.66,30.76,40.01,22.94,13.22,18.54,29.02,18.38,"SAMHD1"
"64","chr10",61458311,61458711,401,"*",2.66743794188073,3.33175411742996,1.39925754543335,1.98018009096015,0.00442923946695886,0.999789157560756,13.41,6.74,7.8,9.73,12.66,2.96,1.71,2.39,3.75,2.37,"TMEM26"
"65","chr3",77896817,77897217,401,"*",3.43640857206974,2.51480958004673,3.99426114133584,-1.36328494912055,0.00443514781255758,0.999789157560756,7.61,3.83,4.43,5.52,7.19,17.91,10.31,14.47,22.65,14.35,"LINC02077"
"66","chr4",136219854,136220254,401,"*",3.69687049235842,4.13559242758589,3.06333973385662,1.15754749029024,0.00445504595133166,0.999789157560756,23.4,11.77,13.62,16.99,22.1,9.39,5.41,7.59,11.88,7.53,"LINC00613"
"67","chr11",122838280,122838680,401,"*",4.60559181410305,4.89974126299056,4.23569553379495,0.757280530439707,0.00455779523212365,0.999789157560756,39.75,19.99,23.13,28.86,37.53,21.17,12.19,17.11,26.77,16.96,"CRTAM"
"68","chr10",99852778,99853178,401,"*",3.17694782566468,3.75152483928105,2.20766311269653,1.61387930803134,0.00463696452306594,0.999789157560756,17.93,9.02,10.44,13.02,16.93,5.19,2.99,4.19,6.56,4.16,"ABCC2"
"69","chr7",123748864,123749264,401,"*",5.53436234590288,5.12443550323143,5.85321533418292,-0.629658487396667,0.00468920008853616,0.999789157560756,46.45,23.36,27.03,33.72,43.86,64.95,37.41,52.49,82.15,52.04,"WASL"
"70","chr3",129001408,129001808,401,"*",4.3707472014442,3.81816073002935,4.76932008515858,-0.848238352141216,0.00473331250539673,0.999789157560756,18.78,9.45,10.93,13.63,17.73,30.64,17.65,24.76,38.75,24.55,"EFCC1"
"71","chr2",218189306,218189706,401,"*",3.07391562199116,3.65883871594683,2.0740338358297,1.65145293255353,0.00490255650574099,0.999789157560756,16.82,8.46,9.79,12.21,15.88,4.73,2.73,3.82,5.98,3.79,"CXCR1"
"72","chr1",100487788,100488188,401,"*",3.28026630006897,3.81128292816941,2.43096360608719,1.45688449376904,0.00494284431634888,0.999789157560756,18.69,9.4,10.88,13.57,17.65,6.06,3.49,4.9,7.66,4.85,"GPR88"
"73","chr17",2848923,2849323,401,"*",4.41384766379774,4.72980770179678,4.00870238875995,0.813580024659131,0.00494873203037905,0.999789157560756,35.33,17.77,20.56,25.65,33.36,18.09,10.42,14.62,22.87,14.49,"RAP1GAP2"
"74","chr18",75209161,75209561,401,"*",5.22032098831377,4.80368047665526,5.5432100363755,-0.639880212702322,0.00501225884135236,0.999789157560756,37.19,18.7,21.64,27,35.11,52.39,30.18,42.34,66.27,41.98,"ZADH2"
"75","chr10",133033444,133033844,401,"*",3.56600172761451,2.73232850834764,4.09096924378215,-1.24625815369402,0.00512330853341075,0.999789157560756,8.85,4.45,5.15,6.42,8.36,19.15,11.03,15.47,24.22,15.34,"ADGRA1"
"76","chr13",33249874,33250274,401,"*",2.68400629607851,3.3475976262195,1.41858940120589,1.97440301359992,0.00521069190220873,0.999789157560756,13.55,6.82,7.89,9.84,12.8,3,1.73,2.43,3.8,2.41,"STARD13-AS"
"77","chr19",41310057,41310457,401,"*",5.12022721219327,5.36907664701352,4.81931844615556,0.644865793109768,0.00533716447260809,0.999789157560756,55.03,27.68,32.02,39.95,51.96,31.72,18.27,25.63,40.12,25.42,"CCDC97"
"78","chr3",97971943,97972343,401,"*",5.02210403890526,4.59155159684358,5.35326163796532,-0.661701189470147,0.00536909828863269,0.999789157560756,32.1,16.15,18.68,23.31,30.31,45.93,26.46,37.12,58.09,36.8,"RIOX2"
"79","chr11",24895997,24896397,401,"*",3.73463413258717,2.97667272852728,4.22896646151496,-1.14249337879954,0.00541899516280101,0.999789157560756,10.48,5.27,6.1,7.61,9.9,21.07,12.14,17.03,26.65,16.88,"LUZP2"
"80","chr1",94927037,94927437,401,"*",5.22081392053662,4.80850526421207,5.54110222865208,-0.633103538517632,0.00548675865973015,0.999789157560756,37.31,18.77,21.71,27.09,35.23,52.31,30.14,42.28,66.17,41.92,"CNN3"
"81","chr2",202643125,202643525,401,"*",4.02935887931033,4.39659239066658,3.5354996980707,0.950837993835734,0.00561101647270753,0.999789157560756,28.04,14.11,16.32,20.36,26.48,13.03,7.5,10.53,16.48,10.44,"FAM117B"
"82","chr1",18575511,18575911,401,"*",3.83451794600766,4.23732160782452,3.2737162275693,1.05129143759784,0.00574184051358592,0.999789157560756,25.11,12.63,14.61,18.23,23.71,10.87,6.26,8.78,13.74,8.71,"PAX7"
"83","chr18",77403361,77403761,401,"*",3.81529538015367,3.09264686727744,4.29454255243777,-1.09338832884068,0.00582297279854344,0.999789157560756,11.36,5.71,6.61,8.25,10.73,22.05,12.7,17.82,27.89,17.67,"GALR1"
"84","chr4",119562420,119562820,401,"*",3.20927194029304,3.7565422347128,2.31677733851108,1.5127840642052,0.00591282942645988,0.999789157560756,18,9.05,10.47,13.06,16.99,5.6,3.22,4.52,7.08,4.49,"PDE5A"
"85","chr7",131599312,131599712,401,"*",3.20267204644798,3.7393500786044,2.3385261955598,1.47407928930834,0.00601149140659548,0.999789157560756,17.78,8.94,10.35,12.91,16.79,5.68,3.27,4.59,7.19,4.55,"PODXL"
"86","chr1",151815741,151816141,401,"*",4.24634755375317,3.67657927024746,4.65372751143103,-0.873591192464029,0.00602514290176214,0.999789157560756,17.03,8.56,9.91,12.36,16.08,28.28,16.29,22.86,35.77,22.66,"RORC"
"87","chr21",31354602,31355002,401,"*",4.28355306875022,3.72393914106342,4.68574728301591,-0.858450799760687,0.00614148727217713,0.999789157560756,17.59,8.85,10.24,12.77,16.61,28.92,16.66,23.37,36.57,23.17,"TIAM1"
"88","chr6",27824350,27824750,401,"*",4.66298767209831,4.94056036227832,4.31897370785055,0.715323654607636,0.00615198578279234,0.999789157560756,40.89,20.56,23.8,29.68,38.61,22.42,12.92,18.12,28.36,17.97,"H4C11"
"89","chr20",60114003,60114403,401,"*",2.9870674885923,3.58346787879728,1.95219945514404,1.69695152743959,0.00627554101673235,0.999789157560756,15.96,8.03,9.29,11.59,15.07,4.35,2.5,3.51,5.5,3.48,"MIR646HG"
"90","chr7",155002965,155003365,401,"*",5.31723952648957,4.91701158778425,5.6302083602261,-0.613788909142294,0.00629623560799892,0.999789157560756,40.23,20.23,23.41,29.2,37.98,55.65,32.06,44.97,70.38,44.59,"PAXIP1"
"91","chr14",41981899,41982299,401,"*",3.04613985681186,3.60555317761532,2.12017988339335,1.55493420719389,0.00631100693121087,0.999789157560756,16.21,8.15,9.43,11.77,15.3,4.88,2.81,3.95,6.18,3.91,"LRFN5"
"92","chr6",16238390,16238790,401,"*",4.66693490490625,4.19830678089017,5.020087152818,-0.720603386018582,0.00632885170413809,0.999789157560756,24.44,12.29,14.22,17.75,23.08,36.46,21,29.46,46.11,29.21,"GMPR"
"93","chr1",58941849,58942249,401,"*",4.19692656317036,3.61861177088524,4.60862868599046,-0.88621412905988,0.00633545178998273,0.999789157560756,16.35,8.23,9.52,11.87,15.44,27.41,15.79,22.15,34.67,21.96,"LINC01358"
"94","chr2",196068348,196068748,401,"*",5.66378524814555,5.27034874033743,5.97259578000331,-0.603362620359281,0.00640712359256318,0.999789157560756,51.39,25.85,29.91,37.31,48.53,70.55,40.64,57.02,89.24,56.53,"DNAH7"
"95","chr6",41334049,41334449,401,"*",5.25890848979075,4.85495243397206,5.57414663076914,-0.619748587118056,0.006480209865564,0.999789157560756,38.53,19.38,22.42,27.97,36.38,53.53,30.83,43.26,67.7,42.89,"NCR2"
"96","chr15",43185285,43185685,401,"*",5.06268625658091,4.64751611908058,5.38469392854822,-0.637308044603033,0.00653682542985103,0.999789157560756,33.37,16.78,19.42,24.23,31.51,46.94,27.04,37.93,59.37,37.61,"CCNDBP1"
"97","chr6",129710162,129710562,401,"*",4.05097735478869,4.40897248477994,3.57374905397982,0.925378475916739,0.00658055214396099,0.999789157560756,28.29,14.23,16.46,20.54,26.71,13.38,7.71,10.81,16.92,10.72,"ARHGAP18"
"98","chr3",61249986,61250386,401,"*",4.96212342491844,4.53733231732011,5.28987218919059,-0.652379030060315,0.00662683218956843,0.999789157560756,30.92,15.55,17.99,22.45,29.19,43.95,25.32,35.52,55.59,35.22,"FHIT"
"99","chr4",126243058,126243458,401,"*",3.38160010535414,3.87291391884551,2.63080406409241,1.32136131082535,0.00664555925073219,0.999789157560756,19.51,9.81,11.35,14.16,18.42,6.96,4.01,5.62,8.8,5.58,"MIR2054"
"100","chr2",38875655,38876055,401,"*",5.2443723341038,4.84331366767273,5.55784764960979,-0.615095698324615,0.00673027590584793,0.999789157560756,38.22,19.22,22.24,27.75,36.09,52.93,30.49,42.77,66.94,42.41,"ARHGEF33"
"101","chr12",31890796,31891196,401,"*",3.41081217271301,3.8888807954212,2.6908711665829,1.27795692132394,0.00687470025408923,0.999789157560756,19.72,9.92,11.48,14.32,18.63,7.25,4.18,5.86,9.18,5.81,"LINC02422"
"102","chr4",57214848,57215248,401,"*",2.93920232070303,3.52778571240966,1.92828479982446,1.66382106360575,0.0069232131705921,0.999789157560756,15.36,7.72,8.94,11.15,14.5,4.28,2.46,3.46,5.41,3.43,"IGFBP7-AS1"
"103","chr22",23070063,23070463,401,"*",5.26365580325297,4.86633409850256,5.57484905111517,-0.609140692693142,0.00697777058771099,0.999789157560756,38.84,19.53,22.6,28.2,36.67,53.55,30.85,43.28,67.73,42.91,"GNAZ"
"104","chr11",90222906,90223306,401,"*",5.09282951710445,4.68205567076378,5.41219335883186,-0.630328415148669,0.00705650843165396,0.999789157560756,34.18,17.19,19.89,24.81,32.28,47.84,27.56,38.66,60.51,38.33,"CHORDC1"
"105","chr6",110390754,110391154,401,"*",3.85197019324971,4.24406494741199,3.31182681110936,1.02016972279603,0.00706087704953361,0.999789157560756,25.23,12.69,14.68,18.32,23.82,11.16,6.43,9.02,14.11,8.94,"DDO"
"106","chr16",88700827,88701227,401,"*",5.74689145392956,5.35669459211046,6.05370723776303,-0.598156765978067,0.00711438435349051,0.999789157560756,54.56,27.44,31.75,39.61,51.52,74.63,42.99,60.31,94.4,59.8,"RNF166"
"107","chr1",191117130,191117530,401,"*",2.78364893115324,3.40167406150844,1.67965619111038,1.77897640012553,0.00723233813224802,0.999789157560756,14.07,7.08,8.19,10.22,13.29,3.6,2.07,2.91,4.55,2.88,"LINC01680"
"108","chr11",124739856,124740256,401,"*",4.8410303745969,4.40832020360425,5.17345908398942,-0.664729074582448,0.00728333951260907,0.999789157560756,28.27,14.22,16.45,20.53,26.7,40.55,23.36,32.77,51.28,32.49,"NRGN"
"109","chr7",138886448,138886848,401,"*",3.92125811429142,4.2957643524717,3.41409413916841,0.970555517383025,0.00741390325770219,0.999789157560756,26.15,13.15,15.22,18.99,24.69,11.98,6.9,9.68,15.15,9.6,"ATP6V0A4"
"110","chr4",15002902,15003302,401,"*",5.2696751430328,4.87483799453923,5.5793458542902,-0.605044204650651,0.00745537132491964,0.999789157560756,39.07,19.65,22.74,28.36,36.89,53.72,30.95,43.41,67.95,43.04,"CPEB2"
"111","chr19",52942360,52942760,401,"*",4.98180594825232,5.22488455802073,4.68930333819283,0.630410657512408,0.00748513566789959,0.999789157560756,49.79,25.04,28.98,36.15,47.02,28.99,16.7,23.43,36.66,23.23,"ZNF321P"
"112","chr5",154940828,154941228,401,"*",4.53773334126557,4.82110982648672,4.18474400675854,0.729718510728808,0.00750315552857924,0.999789157560756,37.64,18.93,21.9,27.33,35.54,20.43,11.77,16.51,25.84,16.37,"MRPL22"
"113","chr12",109845248,109845648,401,"*",4.60872152190676,4.88360724049796,4.26883189341412,0.708456952198022,0.00770378215717733,0.999789157560756,39.31,19.77,22.87,28.54,37.11,21.66,12.48,17.5,27.39,17.35,"TRPV4"
"114","chr1",231040102,231040502,401,"*",5.08567171941804,4.68121848045907,5.40121178401713,-0.620257733037013,0.00778606033424034,0.999789157560756,34.16,17.18,19.88,24.8,32.26,47.48,27.35,38.37,60.05,38.04,"FAM89A"
"115","chr8",687925,688325,401,"*",4.7012575618189,4.96776018446756,4.37411145853551,0.687839808748893,0.00780623661807793,0.999789157560756,41.67,20.96,24.25,30.25,39.34,23.3,13.42,18.83,29.47,18.67,"ERICH1"
"116","chr4",108650379,108650779,401,"*",4.95454161312089,5.19985126658822,4.65879890966318,0.635913711208955,0.0078543970702104,0.999789157560756,48.94,24.61,28.48,35.53,46.21,28.38,16.35,22.94,35.9,22.74,"OSTC"
