# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	NKX1-1 (-105492)
Region265	SCGB2A2 (+3364)
Region266	ZNF485 (-10535)
Region267	B3GAT1 (+27400)
Region268	EFEMP1 (-260009)
Region269	ADGRG6 (+267912)
Region270	FAM159A (+3894)
Region271	SLC2A12 (-71411)
Region272	GPSM1 (+89)
Region273	TFDP1 (-12)
Region274	CD81 (+745)
Region275	KLF12 (+292416)
Region276	DRC7 (+1712)
Region277	HPCAL4 (+7557)
Region278	FAM20B (-22897)
Region279	MRPS14 (-143)
Region280	ASS1 (+5800)
Region281	HTRA4 (-35583)
Region282	MORN3 (-17387)
Region283	PRKX (-48)
Region284	TLR2 (-17175)
Region285	FSCB (+793034)
Region286	STEAP1B (+355)
Region287	PFKFB3 (-27791)
Region288	TARDBP (-64852)
Region289	PLEKHG7 (-142462)
Region290	NMBR (+771295)
Region291	DTX3 (+291)
Region292	NUP62CL (-24)
Region293	AUH (+167982)
Region294	CERK (-776)
Region295	CNPY4 (-111)
Region296	GALNTL5 (+16439)
Region297	RCN3 (+300)
Region298	HEG1 (+3621)
Region299	NECTIN2 (-1685)
Region300	ZSCAN12 (-45)
Region301	TC2N (-13695)
Region302	PTTG1 (-83)
Region303	DNASE2 (0)
Region304	LDLRAP1 (+36)
Region305	CCDC50 (+649)
Region306	MGAT4C (-843156)
Region307	PRKRA (+54044)
Region308	ACOT11 (-58674)
Region309	RFFL (+37931)
Region310	TG (+12820)
Region311	HCN1 (-69730)
Region312	CNTNAP2 (-172916)
Region313	NTMT1 (-28576)
Region314	PCDH18 (+466843)
Region315	DOLPP1 (-11595)
Region316	ZFP2 (+108)
Region317	GRM7 (+23950)
Region318	STARD10 (+11799)
Region319	HDAC4 (+173746)
Region320	CEBPE (-1351)
Region321	HLA-DQA1 (+29343)
Region322	NOVA1 (-909134)
Region323	DNAJC3 (+8007)
Region324	UBE2U (+48200)
Region325	CHRM3 (-127170)
Region326	PIBF1 (-35)
Region327	IQSEC1 (-632)
Region328	RAPGEF1 (-52826)
Region329	GAP43 (+26635)
Region330	CCAR2 (-4892)
Region331	RNF144A (+114492)
Region332	NONE
Region333	GNA14 (-55263)
Region334	ROPN1B (+21434)
Region335	ZDHHC7 (+40734)
Region336	KCNK9 (+149690)
Region337	TMEM26 (+74696)
Region338	ASCL1 (+142762)
Region339	TMEM258 (+15302)
Region340	PIK3R6 (-31543)
Region341	TRPC6 (+154439)
Region342	CDK2AP1 (+416)
Region343	SCIN (-14354)
Region344	OPTN (-125)
Region345	RPLP1 (+306428)
Region346	ENSG00000241149 (-72488)
Region347	ROBO3 (+11100)
Region348	DDX52 (+12805)
Region349	ITPKB (+58930)
Region350	PTCD2 (-58)
Region351	STK17B (+39054)
Region352	LRRC4C (-242744)
Region353	TRPC3 (+1326)
Region354	MYLK4 (+32096)
Region355	PSD2 (-48531)
Region356	STARD5 (-6926)
Region357	PDIK1L (+14807)
Region358	HDAC4 (+111697)
Region359	DSCR3 (-64863)
Region360	NONE
Region361	B4GALNT4 (-14468)
Region362	STK17B (-58699)
Region363	EEFSEC (+142348)
Region364	FGF5 (+375854)
Region365	TMEM14C (+130)
Region366	WWP1 (-231)
Region367	TBPL1 (-1055)
Region368	GALM (+226)
Region369	FAM9C (-7154)
Region370	ICOS (+135897)
Region371	OLFM4 (+133908)
Region372	SP140L (-13)
Region373	RPS23 (+24289)
Region374	PNKP (+489)
Region375	FAM89B (+1750)
Region376	SLCO3A1 (+150422)
Region377	FAM237A (-50371)
Region378	SATB2 (-1014)
Region379	ENSG00000259060 (-43)
Region380	SERPINB9 (+11351)
Region381	EXOC3 (-27586)
Region382	KBTBD11 (-21189)
Region383	IGLL5 (+68321)
Region384	DHX58 (+14273)
Region385	MLLT10 (-161218)
Region386	HOMER2 (+51760)
Region387	PREX1 (-201)
Region388	TUBB (+1307)
Region389	CHID1 (-6124)
Region390	BRD3 (-265)
Region391	RPN1 (-3266)
Region392	IRGQ (+1253)
Region393	IQSEC2 (+33550)
Region394	TRIM27 (-17513)
Region395	SLC2A4RG (+11475)
Region396	NABP1 (+32189)
Region397	TFAP4 (-15512)
Region398	NONE
Region399	TGFBR2 (+52159)
Region400	C12orf50 (+184413)
Region401	USP13 (+383)
Region402	PCBP1 (+7868)
Region403	SLITRK1 (+999614)
Region404	RBM12 (-40)
Region405	ZNF768 (-76)
Region406	SMARCD1 (+1177)
Region407	SLC2A13 (+94416)
Region408	RPS6KA1 (-87)
Region409	TTLL12 (+119)
Region410	ZNF622 (+9488)
Region411	BDNF (-170873)
Region412	KLHL6 (+39195)
Region413	ERVMER34-1 (-11)
Region414	RHPN1 (+14824)
Region415	OPRM1 (-274777)
Region416	TGFBR2 (-252301)
Region417	ADCY8 (+776)
Region418	C1orf52 (-102)
Region419	SOCS1 (+22874)
Region420	FUT8 (+436676)
Region421	MYO18A (+41119)
Region422	AHR (-64018)
Region423	ZNF680 (-14)
Region424	STAM (-36)
Region425	AP5Z1 (-11810)
Region426	PARP1 (-37051)
Region427	TRPC7 (-21014)
Region428	SEPSECS (+33)
Region429	TMEM126A (-36)
Region430	PAK3 (-26801)
Region431	KCNN2 (-82541)
Region432	ENSA (+17888)
Region433	MAP2K3 (-8744)
Region434	ARL6IP5 (-77)
Region435	ZFP14 (+121)
Region436	ADAMTS3 (+252148)
Region437	GRK2 (+759)
Region438	RAPGEF4 (+26705)
Region439	ZWINT (-692426)
Region440	LTV1 (-68336)
Region441	TIMM21 (+43055)
Region442	KIAA1324L (+80724)
Region443	RET (-144055)
Region444	SYTL3 (+37065)
Region445	WDR63 (-54)
Region446	PSMD14 (+468)
Region447	ZNF777 (+45914)
Region448	VRK1 (+805637)
Region449	NDUFB6 (-14)
Region450	SOCS6 (+370291)
Region451	ARFGEF1 (-49819)
Region452	SREK1 (+170)
Region453	NIM1K (-490)
Region454	ZWILCH (+47)
Region455	MTRNR2L3 (-14379)
Region456	PRSS51 (+185063)
Region457	WNT11 (-28928)
Region458	CCNG1 (-282108)
Region459	RHBDD3 (+22216)
Region460	GNAS (+38464)
Region461	IL12RB1 (-11126)
Region462	LOXL1 (+32916)
Region463	CLSTN1 (+449)
Region464	CAAP1 (+296377)
Region465	EFNA5 (+512534)
Region466	MYO18A (+25239)
Region467	AES (+1604)
Region468	STK3 (+116619)
Region469	MATN4 (+11770)
Region470	UBE2N (-5610)
Region471	TPO (-14552)
Region472	TP53TG3B (-20423)
Region473	TCF7L2 (+57011)
Region474	MAFF (+12778)
Region475	TBC1D32 (+818100)
Region476	CDK5RAP2 (+203676)
Region477	ZFPM1 (+17490)
Region478	APP (-193)
Region479	EIF3L (+14791)
Region480	LGR4 (+1069)
Region481	DEFB112 (-239703)
Region482	TSC22D2 (-23215)
Region483	OPA3 (-6271)
Region484	ADAMTS6 (-107)
Region485	UCK2 (+328)
Region486	XXYLT1 (+42)
Region487	TSSK3 (-292)
Region488	LARP4 (+68)
Region489	SCARF2 (+19406)
Region490	CASS4 (+6631)
Region491	IRX5 (-228566)
Region492	WDSUB1 (+84833)
Region493	GPR65 (+1343)
Region494	FABP2 (-132340)
Region495	CERK (-11010)
Region496	SCFD2 (-10)
Region497	ZNF496 (-42240)
Region498	SPTBN2 (+1477)
Region499	LETM2 (-153)
Region500	TNFRSF10C (+27116)
Region501	SMTN (-1683)
Region502	GPR22 (-110174)
Region503	HEATR1 (-110)
Region504	TRIO (+35659)
Region505	CATSPER4 (+10864)
Region506	NLGN4Y (+932456)
Region507	HFE2 (-13803)
Region508	NONE
Region509	FKBP5 (+103977)
Region510	RPLP0 (-27445)
Region511	ZNF251 (+42360)
Region512	AK2 (-7)
Region513	ERMARD (+38706)
Region514	C17orf97 (-24192)
Region515	ALKAL2 (-8181)
Region516	GALNT17 (+312168)
Region517	ZNF506 (+4216)
Region518	POU3F1 (-217346)
Region519	PGGHG (-1206)
Region520	MFSD2A (-79)
Region521	SSH1 (+53858)
Region522	CLN8 (-3427)
Region523	ZWINT (+205980)
Region524	SV2B (+372109)
Region525	TNKS (-70457)
Region526	SLC6A19 (-33383)
Region527	MTURN (+22559)
Region528	ACP6 (+29492)
Region529	PPP1R37 (+10451)
Region530	GRM3 (-258174)
Region531	C2orf40 (+29070)
Region532	SOS1 (-3358)
Region533	HAPLN1 (-276907)
Region534	NONE
Region535	TSPAN15 (+35)
Region536	EID3 (-16809)
Region537	AGO1 (+18783)
Region538	ARL5A (-12176)
Region539	MEIS1 (+118867)
Region540	SLC25A33 (-112930)
Region541	CC2D1B (-88)
Region542	VWA5B1 (+92619)
Region543	AGL (-382)
Region544	MTHFD2 (+51876)
Region545	ZSWIM8 (-229)
Region546	ADGRE1 (+2879)
Region547	TRAPPC12 (-251688)
Region548	RAB8B (+2638)
Region549	CSNK1A1 (-587)
Region550	ABO (-9526)
Region551	MTRNR2L4 (+7689)
Region552	C12orf50 (+554789)
Region553	HNF4G (+125682)
Region554	NCALD (+1208)
Region555	EZR (+480)
Region556	CDH8 (-582257)
Region557	PRIM2 (+643885)
Region558	CYP27B1 (+1940)
Region559	GRB2 (+11606)
Region560	ARL6 (-143390)
Region561	AMY1C (+312925)
Region562	DRC3 (+21987)
Region563	ARHGAP21 (+100489)
Region564	ATP2A3 (+10927)
Region565	MGRN1 (-22732)
Region566	MCL1 (+11865)
Region567	TPTE (-753172)
Region568	TMEM158 (+15602)
Region569	RAB18 (-23364)
Region570	GPHN (-412915)
Region571	SFXN1 (+83163)
Region572	ACYP2 (+23832)
Region573	NCAPG2 (-25245)
Region574	MEX3A (-8890)
Region575	GLIPR1 (-2128)
Region576	DAAM2 (+31214)
Region577	GATA2 (-62289)
Region578	ADRA2A (+138505)
Region579	PTTG1 (+17308)
Region580	ELFN1 (+238844)
Region581	INMT-MINDY4 (+504)
Region582	IL11 (+1005)
Region583	FIZ1 (+6615)
Region584	G6PC2 (+11852)
Region585	GALNT17 (+332104)
Region586	EFCAB14 (-38530)
Region587	FBLN2 (+101496)
Region588	ZNF816 (-10823)
Region589	MSL3 (+164829)
Region590	RORA (-213688)
Region591	LRFN2 (+322193)
Region592	GPR88 (+1383)
Region593	FOXF1 (-192748)
Region594	RPRM (-191374)
Region595	ING1 (+97386)
Region596	IQSEC1 (+79072)
Region597	PCED1B (-96146)
Region598	SPTBN1 (-69)
Region599	NFE2L3 (+14505)
Region600	COL12A1 (+559888)
Region601	LRRFIP1 (+8559)
Region602	LYRM7 (+38837)
Region603	CCZ1B (-164575)
Region604	KDM2B (+43605)
Region605	NONE
Region606	TBX4 (-332)
Region607	GHR (-171542)
Region608	ECT2 (-69)
Region609	NUDT16 (-20157)
Region610	NONE
Region611	FAM53A (+104860)
Region612	CHST14 (+930)
Region613	CCDC3 (+85525)
Region614	KANSL1 (-32270)
Region615	MED13L (-28670)
Region616	SEMA4C (-43803)
Region617	IPMK (+946575)
Region618	DYNLRB2 (-14093)
Region619	ALKBH8 (+63)
Region620	ECI2 (-75156)
Region621	LRRC3B (+363616)
Region622	IGF2R (-95)
Region623	STX3 (+291)
Region624	TMEM185A (+39)
Region625	EVA1B (-18547)
Region626	CDH18 (-883564)
Region627	NFXL1 (-171)
Region628	CAPZB (+16116)
Region629	EMC4 (+45)
Region630	KCNT2 (+616980)
Region631	TMEM97 (-38156)
Region632	ELP6 (-8425)
Region633	PLCL1 (-182)
Region634	LCP1 (+26833)
Region635	NRG3 (+261319)
Region636	NONE
Region637	OLIG3 (-3631)
Region638	PRKX (-129795)
Region639	TOMM6 (-196)
Region640	CELF2 (+180)
Region641	PHOSPHO1 (-29667)
Region642	RRP15 (-126)
Region643	CR1 (-4777)
Region644	LRPPRC (-48476)
Region645	DTHD1 (+464189)
Region646	GOLGA1 (-45)
Region647	ARHGEF16 (+36953)
Region648	UCN (+1474)
Region649	FABP12 (-30744)
Region650	NRBF2 (+84093)
Region651	PIK3CG (-199)
Region652	MYH9 (+2840)
Region653	SLC38A1 (-35603)
Region654	PIGP (-456)
Region655	DHX35 (+87897)
Region656	MROH7 (-7960)
Region657	NPFF (-1117)
Region658	PLLP (+18007)
Region659	ANGPT1 (+787)
Region660	ANGPTL4 (+31)
Region661	GMFG (+251)
Region662	ELOVL3 (+5546)
Region663	ATXN10 (-66544)
Region664	EVA1A (+8778)
Region665	ABCD2 (-303)
Region666	FGF9 (+390473)
Region667	KLRG1 (+35682)
Region668	TMEM235 (+58662)
Region669	OTOL1 (+355910)
Region670	NONE
Region671	CDH4 (-150300)
Region672	TDP1 (+20698)
Region673	TMEM9 (-16468)
Region674	SPTAN1 (+35020)
Region675	NONE
Region676	CSNK1G3 (+310343)
Region677	CSHL1 (-370)
Region678	NDUFAF5 (+31279)
Region679	DMRTA1 (+616979)
Region680	ZNF385C (-2711)
Region681	NDUFV2 (-11295)
Region682	GRIPAP1 (-92)
Region683	KDM4C (-53361)
Region684	RAD51D (-6)
Region685	ZRANB2 (-17039)
Region686	SLC6A9 (-35092)
Region687	PFKFB3 (-1402)
Region688	LAX1 (-57)
Region689	CXXC4 (+150098)
Region690	ARHGEF7 (+208)
Region691	RLN2 (+415)
Region692	NONE
Region693	DPH6 (-501015)
Region694	TWISTNB (-2)
Region695	PDE6A (+72212)
Region696	JARID2 (+158094)
Region697	AP4M1 (-360)
Region698	PCDH10 (+435520)
Region699	DARS (-43)
Region700	GGCX (-26)
Region701	MAN1A1 (+36689)
Region702	ADGRL4 (-858679)
Region703	EPAS1 (+6968)
Region704	CD2BP2 (-8)
Region705	POLN (+90090)
Region706	ZNF22 (+506)
Region707	TRHDE (+448352)
Region708	NR2F2 (+21748)
Region709	RASSF8 (-12838)
Region710	ANO2 (+178082)
Region711	EMX1 (+137)
Region712	DEF6 (+5185)
Region713	ZNF487 (-16554)
Region714	CBLB (-13709)
Region715	TMEM242 (+102095)
Region716	MEIS3 (-17570)
Region717	RAB27B (+346)
Region718	SNTG1 (+638185)
Region719	MYLK2 (+3582)
Region720	ITGB5 (+50137)
Region721	SLC30A7 (+63801)
Region722	AKIRIN1 (-13399)
Region723	SLC25A4 (+22554)
Region724	ZFP36L1 (+10971)
Region725	NONE
Region726	KLHL1 (+659)
Region727	FAM19A1 (+3763)
Region728	POU5F1B (-244165)
Region729	COQ9 (-13314)
Region730	PGBD5 (-194)
Region731	KLHL29 (+147483)
Region732	OPLAH (+11483)
Region733	SEC14L1 (-105450)
Region734	TRAPPC12 (-280310)
Region735	CNGB3 (-431448)
Region736	SOBP (-579)
Region737	PKNOX2 (+2016)
Region738	ASGR1 (+5202)
Region739	ETHE1 (+1639)
Region740	PAX2 (-89506)
Region741	DLG3 (-10363)
Region742	PDZD2 (+186259)
Region743	MMEL1 (-20093)
Region744	RHOT1 (-27)
Region745	LRIG1 (+42796)
Region746	CDCP1 (+40448)
Region747	SLC25A15 (-4)
Region748	JCAD (+11609)
Region749	ADO (-172)
Region750	KCNH7 (+209502)
Region751	GNB2 (+2168)
Region752	TMEM117 (+445834)
Region753	GPC5 (+712197)
Region754	KLHL7 (-7693)
Region755	RAB6B (+43878)
Region756	NONE
Region757	RINL (+8213)
Region758	TBL1XR1 (+926736)
Region759	FAM174A (-605409)
Region760	WISP1 (+12079)
Region761	NHLH2 (+36030)
Region762	EPRS (+88)
Region763	MEIS2 (+508604)
Region764	BOLA3 (+24)
Region765	TFG (-51)
Region766	ABCB5 (-64827)
Region767	KIAA1109 (+100167)
Region768	SLC41A2 (+232899)
Region769	AFAP1 (+111384)
Region770	MYCN (-93484)
Region771	ZNF516 (+2196)
Region772	DSP (+244)
Region773	PIAS4 (+28188)
Region774	TNS3 (-99174)
Region775	RGMB (+4267)
Region776	GALNT10 (-81)
Region777	MED13 (-727)
Region778	MEAF6 (-19164)
Region779	PRTN3 (+3146)
Region780	FAM171B (+223)
Region781	MYC (+241852)
Region782	TWIST1 (+73731)
Region783	ANXA2R (+93584)
Region784	IRF2BPL (+50585)
Region785	WNT16 (-167619)
Region786	PLD6 (+26117)
Region787	RSAD2 (+91)
Region788	CUX2 (+22878)
Region789	CCDC125 (-76)
Region790	FER (-402072)
Region791	EIF2B3 (-13)
Region792	CEP85L (-9681)
Region793	CFAP126 (-14474)
Region794	SHQ1 (+91332)
Region795	SLC35C2 (+64)
Region796	N4BP2 (+68085)
Region797	USP47 (-69473)
Region798	RAPGEF1 (-46058)
Region799	LRRC4 (+49039)
Region800	DUSP10 (-346446)
Region801	FAM69B (-11257)
Region802	TMEM159 (-47)
Region803	DMD (-240344)
Region804	SELENOT (-10)
Region805	LRFN2 (+24220)
Region806	SCML4 (-135)
Region807	SAMSN1 (+41422)
Region808	AXIN1 (+27630)
Region809	PIK3C3 (+159310)
Region810	RTL8C (+624)
Region811	ADGRB3 (+491248)
Region812	DENND5A (+44)
Region813	HIPK1 (+17697)
Region814	ZCCHC2 (+73652)
Region815	KCNK18 (-199)
Region816	PIK3R1 (+209505)
Region817	IL13RA1 (-288)
Region818	BHLHE40 (-156957)
Region819	MCCC2 (+14088)
Region820	EYS (+148969)
Region821	EVA1B (-26753)
Region822	RAPGEF2 (-207493)
Region823	CBX4 (-101)
Region824	PLPP7 (-36895)
Region825	LPAR3 (+2690)
Region826	ELF5 (-53028)
Region827	COG1 (-175)
Region828	RTN4RL2 (+16058)
Region829	KLF11 (+396)
Region830	VHL (+802)
Region831	ATXN1 (+249499)
Region832	ZNF888 (-10)
Region833	ILF3 (-9325)
Region834	ZNF624 (-36354)
Region835	C1orf61 (+39)
Region836	NAALADL2 (+20780)
Region837	ACSBG2 (+63956)
Region838	ZNF710 (+33249)
Region839	ZNF705A (+7817)
Region840	GPR39 (-63821)
Region841	EPC1 (-31682)
Region842	CACNG7 (-8167)
Region843	HRH2 (+38794)
Region844	CDIP1 (-23478)
Region845	PIK3R5 (+23839)
Region846	ATXN7L3B (-172209)
Region847	LRSAM1 (+55383)
Region848	BAG3 (+35301)
Region849	RGL3 (+567)
Region850	IRF2 (+20959)
Region851	NFATC2 (+31418)
Region852	LPIN2 (+17163)
Region853	COL6A1 (+307)
Region854	KCNJ16 (-282684)
Region855	MYB (-17822)
Region856	ZNF888 (-19146)
Region857	VNN2 (-10239)
Region858	DSTYK (-91)
Region859	NDUFB5 (+24)
Region860	LZTS1 (-131598)
Region861	NBPF12 (+50913)
Region862	KCNN2 (+405418)
Region863	CCAR1 (-82)
Region864	ABHD17C (+190)
Region865	BTG1 (-63124)
Region866	CR1 (+3371)
Region867	PQLC2 (+78875)
Region868	CHD7 (+186718)
Region869	LRRTM3 (+6597)
Region870	OR2M5 (+7342)
Region871	TMEM234 (+3)
Region872	GBE1 (-888763)
Region873	TM9SF2 (-68342)
Region874	UPK1B (-27390)
Region875	NAALADL2 (+992526)
Region876	ZDBF2 (+14076)
Region877	SLC45A3 (-30840)
Region878	MYO1F (+6498)
Region879	LHFPL3 (+28409)
Region880	PTCHD3 (+53637)
Region881	TMEM92 (+26171)
Region882	DGAT2 (-119)
Region883	SYT13 (-53895)
Region884	SFMBT2 (+290146)
Region885	CD247 (+25993)
Region886	C4orf19 (-243406)
Region887	EPM2A (+151509)
Region888	ACOT12 (+23321)
Region889	ZSCAN26 (+91)
Region890	TYRP1 (-587244)
Region891	LIN7A (+870)
Region892	UBE2F (-44975)
Region893	OTUD6B (+29342)
Region894	LFNG (-11291)
Region895	IL32 (+9720)
Region896	HCCS (+27882)
Region897	TPP1 (-45)
Region898	CSGALNACT1 (+142270)
Region899	MICAL2 (+82386)
Region900	GRK4 (+45574)
Region901	IKZF1 (+17204)
Region902	C1QTNF9 (+938)
Region903	PRKCE (+294041)
Region904	KATNA1 (+83)
Region905	STXBP5 (-215613)
