# GREAT version 4.0.4	Species assembly: hg38	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
Region1	DDX11 (+46057)
Region71	CXCR1 (-22511)
Region72	GPR88 (-50149)
Region73	RAP1GAP2 (+52685)
Region74	ZADH2 (-13)
Region75	ADGRA1 (-54261)
Region76	STARD13 (+35681)
Region77	CCDC97 (+68)
Region78	RIOX2 (+314)
Region79	LUZP2 (+399019)
Region80	CNN3 (+41)
Region81	FAM117B (+8137)
Region82	PAX7 (-55295)
Region83	GALR1 (+153012)
Region84	PDE5A (+66371)
Region85	PODXL (-42905)
Region86	LINGO4 (-9787)
Region87	TIAM1 (+204175)
Region88	HIST1H4J (+442)
Region89	CDH26 (+155776)
Region90	PAXIP1 (-81)
Region91	LRFN5 (+374529)
Region92	GMPR (+10)
Region93	JUN (-157722)
Region94	DNAH7 (+264)
Region95	NCR2 (-1540)
Region96	CCNDBP1 (+228)
Region97	ARHGAP18 (-137)
Region98	FHIT (+1273)
Region99	FAT4 (+926859)
Region100	DHX57 (+53)
Region101	H3F3C (-98755)
Region102	IGFBP7 (-104663)
Region103	GNAZ (-98)
Region104	CHORDC1 (+258)
Region105	DDO (+24608)
Region106	RNF166 (+5394)
Region107	BRINP3 (-639448)
Region108	NRGN (+210)
Region109	ATP6V0A4 (-88452)
Region110	CPEB2 (+428)
Region111	ZNF888 (-19079)
Region112	MRPL22 (-42)
Region113	TRPV4 (-30557)
Region114	ARV1 (+61253)
Region115	TDRP (-142344)
Region116	OSTC (-68)
Region117	NFKB1 (+97268)
Region118	PON1 (-304)
Region119	PTRH2 (-79043)
Region120	PSIP1 (-41982)
Region121	CHMP6 (-201906)
Region122	MEGF10 (-61384)
Region123	EBF4 (-4641)
Region124	ELMSAN1 (+3)
Region125	PPIL1 (+63)
Region126	RIOK2 (-554868)
Region127	THSD7B (-194645)
Region128	C1orf61 (-27702)
Region129	MST1R (-299)
Region130	RPF1 (+244)
Region131	NFKB1 (+7)
Region132	PLCXD2 (-294)
Region133	CAMK1G (-7123)
Region134	CSTB (+25)
Region135	GALNT17 (-564096)
Region136	ODF1 (+49444)
Region137	SEMA3D (-435500)
Region138	MYC (+257148)
Region139	DNAL1 (-11288)
Region140	FAM155A (+421670)
Region141	SNX11 (+5724)
Region142	ZNF507 (+63)
Region143	DDX11 (-70)
Region144	LEP (+34904)
Region145	TRERF1 (+28830)
Region146	ZNF585B (-103)
Region147	F13A1 (+71810)
Region148	IL6R (+48354)
Region149	SLC52A1 (+3689)
Region150	MC4R (-367797)
Region151	ENSG00000248767 (+42589)
Region152	TRAF3 (+19759)
Region153	ZRANB2 (-492810)
Region154	POFUT2 (+21288)
Region155	CDKN1B (-9445)
Region156	HOXA13 (-20400)
Region157	RBMS1 (+85916)
Region158	TMX3 (+530557)
Region159	PTPRG (+37143)
Region160	SLC35E2 (-253)
Region161	ELOVL5 (+13563)
Region162	FURIN (-34587)
Region163	FRRS1 (-852)
Region164	OPRM1 (-453204)
Region165	MEOX1 (+7640)
Region166	OR10J3 (-4205)
Region167	ZFPM2 (+358)
Region168	CCNE1 (-71)
Region169	USB1 (+10032)
Region170	U2SURP (+46489)
Region171	SCML4 (+107433)
Region172	PDZRN4 (+32759)
Region173	ICA1 (+109568)
Region174	WDR75 (-14251)
Region175	SCN3B (-26680)
Region176	SVIP (-372561)
Region177	FAM156A (-37133)
Region178	IL17C (-4709)
Region179	C1QL1 (-832)
Region180	RAG2 (-627076)
Region181	CST5 (-10185)
Region182	MGAT5B (+84178)
Region183	GDPD1 (-3)
Region184	CHODL (-80912)
Region185	RPL34 (-133881)
Region186	TPP2 (-140)
Region187	RAP1GAP (-39390)
Region188	PPP1R2P9 (+140780)
Region189	TRHDE (-1159)
Region190	TM9SF3 (-978)
Region191	MICAL3 (+168)
Region192	SNRPC (+41)
Region193	JAML (+9609)
Region194	XIRP2 (+314028)
Region195	GPR161 (+1025)
Region196	HDAC4 (-201923)
Region197	HEBP2 (-13)
Region198	NOTCH4 (-47735)
Region199	DUSP5 (-83038)
Region200	BMPR1A (-14362)
Region201	TMEM64 (+338)
Region202	FZD10 (+13685)
Region203	METAP1D (-6400)
Region204	BLK (+95761)
Region205	ATM (+122179)
Region206	RPRD1A (-19203)
Region207	METTL4 (+578025)
Region208	NUP210 (-891)
Region209	TADA1 (-34252)
Region210	BAG5 (+15364)
Region211	PTP4A2 (+30124)
Region212	OTULIN (-195)
Region213	BCL2 (-121)
Region214	POLR1C (+18)
Region215	IRAK1BP1 (-238415)
Region216	FOXO4 (-113)
Region217	CXXC4 (+293072)
Region218	FAM72A (-336)
Region219	JAML (+260)
Region220	CROCC (-141850)
Region221	ZNF429 (+63770)
Region222	MMRN2 (+25811)
Region223	ID1 (-10)
Region224	CRLF2 (+222417)
Region225	HCN1 (-69529)
Region226	CORO6 (-99933)
Region227	SPATA4 (+78)
Region228	OR4C12 (-268559)
Region229	KTN1 (-153)
Region230	PTP4A2 (-44705)
Region231	SLC30A1 (-564)
Region232	DCDC2C (+914234)
Region233	LEF1 (+54826)
Region234	NUB1 (+40074)
Region235	IL1RAP (-263)
Region236	BPIFB4 (+4821)
Region237	PHACTR1 (-62007)
Region238	OR10P1 (+9479)
Region239	RNF2 (+24)
Region240	GAP43 (-121989)
Region241	TPST1 (+40)
Region242	ZDHHC15 (+64)
Region243	NONE
Region244	CAMK2B (+15726)
Region245	HGNC:18790 (+660)
Region246	HMGCLL1 (-123872)
Region247	USP33 (+16)
Region248	RAB29 (+69)
Region249	LIMK2 (-170)
Region250	ZFP36L1 (+244469)
Region251	PPIAL4A (+24426)
Region252	MAD2L1 (+17084)
Region253	PPP2R5C (+61998)
Region254	INPP4B (+478720)
Region255	CCT6B (+53)
Region256	CLIP2 (+691)
Region257	DHX35 (+85854)
Region258	NSMCE1 (-28)
Region259	QDPR (+175403)
Region260	RIMS3 (+36341)
Region261	ENSG00000268133 (-118)
Region262	PSPH (+34786)
Region263	C19orf60 (+428)
Region264	ACTRT2 (-181018)
Region265	TACR2 (+24238)
Region266	LY86 (-69063)
Region267	MTMR8 (+32)
Region268	FOXP1 (+533258)
Region269	NONE
Region270	FBXO27 (+964)
Region271	YKT6 (+7609)
Region272	ALG1L (+167992)
Region273	NAXD (+355)
Region274	PDSS2 (+59070)
Region275	FOS (-25)
Region276	CRTC3 (-19146)
Region277	PLCL2 (-62)
Region278	CLDN23 (-231)
Region279	MYO5B (+51303)
Region280	GRWD1 (+140)
Region281	WNT1 (-205)
Region282	IRAK1BP1 (+126)
Region283	ADCY6 (-5369)
Region284	COX6C (+8915)
Region285	APOBEC3B (-319)
Region286	GPR26 (-147982)
Region287	KLF9 (-79976)
Region288	ZFP36L2 (+52187)
Region289	ARHGAP26 (+238746)
Region290	CHRM3 (-127157)
Region291	SH3GLB1 (+101225)
Region292	RHOU (+369)
Region293	SULT4A1 (+21591)
Region294	CNEP1R1 (+690)
Region295	ZFP36L2 (+67516)
Region296	LMCD1 (+28)
Region297	CCDC88C (-9706)
Region298	SEC23A (+328)
Region299	TENM2 (-676369)
Region300	DUSP6 (+324978)
Region301	TAGLN2 (-62)
Region302	NONE
Region303	STK31 (-29878)
Region304	STEAP1B (+368)
Region305	POLI (+205)
Region306	TBC1D2 (-60161)
Region307	PKN2 (-648050)
Region308	SLC27A1 (+18507)
Region309	TBX3 (-671723)
Region310	IRF2BP2 (-162929)
Region311	DTHD1 (+431409)
Region312	RIPK2 (-9)
Region313	DCAF5 (+23641)
Region314	TMEM159 (-100)
Region315	IGLL5 (+53702)
Region316	RASSF9 (-8008)
Region317	KLHL3 (+75497)
Region318	GIPR (+9032)
Region319	PCOLCE (+2460)
Region320	DRC1 (-6842)
Region321	BPGM (+23206)
Region322	HDHD2 (+250)
Region323	MLYCD (-72)
Region324	LRRC37A3 (-67219)
Region325	RALYL (-454122)
Region326	ADCY6 (-11862)
Region327	LRFN4 (-1117)
Region328	CWC22 (-476036)
Region329	RGS9 (+36165)
Region330	NR6A1 (+35514)
Region331	NUP35 (+7049)
Region332	PDGFD (-367249)
Region333	INHBA (-91710)
Region334	TMEM130 (+58439)
Region335	MMP23B (-2409)
Region336	CRYBA4 (+81816)
Region337	SETBP1 (+302531)
Region338	RAB3C (+95032)
Region339	RNF144A (+810240)
Region340	GORASP2 (+600)
Region341	PPP2R1A (+34508)
Region342	DPPA4 (-39602)
Region343	ZNF143 (+45992)
Region344	RGPD3 (+101871)
Region345	HLA-G (+61358)
Region346	HHEX (-489)
Region347	C1orf61 (+7590)
Region348	CXCL13 (+46037)
Region349	MAP7D3 (+220)
Region350	PARP11 (-52292)
Region351	ZNF791 (+3045)
Region352	DNASE1 (+22899)
Region353	HHIPL2 (+83061)
Region354	SHE (-403)
Region355	ARIH2 (+53)
Region356	FAM120B (+11385)
Region357	CHP1 (-44)
Region358	SEC11C (-52046)
Region359	WDFY3 (-481)
Region360	DBH (+47296)
Region361	PLXNC1 (-140810)
Region362	COL15A1 (-19332)
Region363	JAKMIP2 (+56496)
Region364	GUCY1A2 (+349091)
Region365	PIEZO2 (-141146)
Region366	KIF21A (-333)
Region367	CHTF8 (-25831)
Region368	USP25 (+865563)
Region369	IRX1 (+63998)
Region370	WASHC3 (+58)
Region371	GPAT3 (+228)
Region372	LMX1B (+23065)
Region373	IL4I1 (-8308)
Region374	GPX4 (+28482)
Region375	SLC45A1 (+379)
Region376	DPM2 (+582)
Region377	MYOC (+7458)
Region378	SLC6A15 (+451641)
Region379	STK24 (+76445)
Region380	CHMP1B (+30)
Region381	CCDC112 (-97288)
Region382	NONE
Region383	CRYBG1 (+569)
Region384	SEC14L1 (-97)
Region385	BICRA (+549)
Region386	ZFP69B (+2)
Region387	ARL4A (-559)
Region388	EVI2B (+3613)
Region389	HNF4G (+520865)
Region390	SPACA4 (-17609)
Region391	MTRNR2L12 (+17281)
Region392	ATXN1 (-128637)
Region393	FSTL4 (-126)
Region394	ENSG00000282218 (+25627)
Region395	TSPAN2 (-36324)
Region396	TRAF4 (+19830)
Region397	CGB7 (+2471)
Region398	ATAT1 (+22)
Region399	SMPD1 (+14051)
Region400	THUMPD3 (+80)
Region401	ZFP36 (-2857)
Region402	SEC22C (-96)
Region403	EPHB1 (+511111)
Region404	H3F3A (+19664)
Region405	ELOVL5 (-12639)
Region406	HUS1B (+70371)
Region407	DEFB115 (-417750)
Region408	SUCLA2 (+382834)
Region409	SDHAF1 (-38)
Region410	ZNF692 (-4435)
Region411	GRM3 (-531709)
Region412	DUSP15 (+1430)
Region413	LEUTX (+16665)
Region414	NONE
Region415	TWIST2 (+187566)
Region416	TTC21B (-7)
Region417	ZNF879 (+73)
Region418	NEPRO (+14001)
Region419	RNLS (+256402)
Region420	SLC29A3 (+21)
Region421	SPP1 (-29354)
Region422	HPS3 (+69)
Region423	CPT1C (-1064)
Region424	PRDM9 (+141050)
Region425	RASSF8 (-138141)
Region426	LCORL (-133)
Region427	PXK (+15586)
Region428	ZNF410 (-115)
Region429	KLHL23 (+129)
Region430	PSIP1 (-207325)
Region431	ISM2 (-496)
Region432	CPOX (+80)
Region433	GALNT6 (+14422)
Region434	FAM161A (+75547)
Region435	SPC24 (-101)
Region436	POU5F1 (-10031)
Region437	CBWD1 (-3)
Region438	PRKX (-52)
Region439	ATP12A (-61679)
Region440	GCNT4 (-3685)
Region441	KLRG2 (-16408)
Region442	WWOX (+172933)
Region443	GRID1 (+444724)
Region444	DNAI1 (+12617)
Region445	PPP3R2 (+1864)
Region446	ALS2CL (-48)
Region447	TUBB6 (+26146)
Region448	SCCPDH (+337)
Region449	MAGEF1 (-64)
Region450	ARHGAP35 (+36915)
Region451	BMP4 (+3080)
Region452	MKI67 (-338201)
Region453	BSND (-2317)
Region454	SLC24A2 (-139198)
Region455	LONRF2 (+18365)
Region456	JMJD1C (+226)
Region457	CCR4 (-3990)
Region458	BLOC1S4 (+213)
Region459	NRN1 (-3824)
Region460	PHOX2B (+98347)
Region461	TMEM138 (+106)
Region462	MT1E (+223)
Region463	LDHD (+41377)
Region464	MINDY3 (+212)
Region465	IL17RA (-115042)
Region466	STAT5A (+35419)
Region467	T (-60531)
Region468	PAXBP1 (-90)
Region469	RRAGC (+255627)
Region470	BTLA (+57442)
Region471	GRK5 (+98877)
Region472	LRRK1 (+132637)
Region473	NOSTRIN (-155796)
Region474	FLT4 (-39841)
Region475	GALNT17 (+539378)
Region476	KRIT1 (+53)
Region477	PRSS33 (+1194)
Region478	B3GNTL1 (+65608)
Region479	UBASH3B (+790)
Region480	MAN1A1 (+27820)
Region481	LCP2 (-33515)
Region482	DGCR6L (-8)
Region483	CDR1 (+8628)
Region484	PTH1R (+15243)
Region485	ZFPM1 (+17400)
Region486	ZNF354C (+106716)
Region487	FAM198A (+44716)
Region488	MMAA (+6041)
Region489	AMN (-5315)
Region490	UGT2B10 (+51354)
Region491	TMEM121 (+980622)
Region492	TGFBI (+12323)
Region493	FRMD5 (+27657)
Region494	PLCL2 (-42398)
Region495	SMPD1 (+12404)
Region496	VRK2 (-906928)
Region497	SAE1 (+28475)
Region498	YPEL1 (-27558)
Region499	GABRG1 (-40507)
Region500	NONE
Region501	GRID1 (+161871)
Region502	ABCB4 (+58692)
Region503	GTF2F2 (-447)
Region504	NRP1 (+2080)
Region505	PRR5-ARHGAP8 (+8064)
Region506	TNFAIP3 (+60786)
Region507	CLIP4 (+81615)
Region508	ATP2B1 (-403275)
Region509	CCNO (+485)
Region510	ATP2B1 (-704)
Region511	OR4K5 (-19295)
Region512	CENPJ (-84)
Region513	ZBTB10 (+188167)
Region514	EZR (-34116)
Region515	PRNP (+295)
Region516	P2RY8 (+2327)
Region517	SNRPD1 (+37)
Region518	NIPA1 (-28804)
Region519	KLF2 (-40945)
Region520	PRPS1 (+45746)
Region521	STT3B (-318665)
Region522	NONE
Region523	RASL11A (+755)
Region524	SLC25A33 (-44146)
Region525	NDUFAF2 (+49)
Region526	MRPS24 (+30533)
Region527	SOX5 (-109953)
Region528	ZNF706 (+67840)
Region529	CRISPLD2 (-3)
Region530	PXK (+60)
Region531	STUM (+87190)
Region532	TLL1 (+614116)
Region533	APBB2 (+31646)
Region534	NEDD4L (+96271)
Region535	FOXN3 (-148786)
Region536	AP1AR (-34680)
Region537	HOPX (+25476)
Region538	CD47 (-131)
Region539	RBSN (-19689)
Region540	DAGLB (+15)
Region541	TUBGCP2 (+138)
Region542	SEPHS2 (-12637)
Region543	PWWP2B (+50644)
Region544	BTBD9 (+230447)
Region545	FGFR4 (+151)
Region546	MIS12 (+14811)
Region547	ZC2HC1A (-15)
Region548	MACF1 (+99797)
Region549	EPHA7 (-630524)
Region550	KLF10 (+25)
Region551	HIST1H2BC (+308)
Region552	EPHA3 (-108319)
Region553	CXCL1 (+15868)
Region554	RPL7A (-55)
Region555	VPS54 (-221)
Region556	WWOX (+709901)
Region557	OR1E1 (+11919)
Region558	ZNF703 (-181723)
Region559	ARMC9 (-16173)
Region560	GRAMD1B (-94898)
Region561	PDE1B (+140)
Region562	CHD6 (-30)
Region563	TAF4B (-10708)
Region564	SOX17 (+1850)
Region565	NFYB (+28913)
Region566	APBB1IP (+30758)
Region567	MYC (+339926)
Region568	PSMC6 (-48)
Region569	OR4C46 (+61528)
Region570	TIGD5 (+319)
Region571	NCR3LG1 (+110)
Region572	ICE2 (-12388)
Region573	RASAL2 (-20911)
Region574	GNG7 (-61)
Region575	TSTD1 (+55)
Region576	MYBL1 (-213)
Region577	COX7B2 (+167806)
Region578	PIK3AP1 (+61613)
Region579	GLIS3 (+3650)
Region580	GAS7 (+83247)
Region581	SERTAD2 (+37)
Region582	ZBTB16 (+158)
Region583	ZNF326 (+205258)
Region584	NFYB (+104)
Region585	HAS2 (-194051)
Region586	MUTYH (-19540)
Region587	TMEM167A (+230040)
Region588	ATP7A (-85)
Region589	RBMS2 (-14231)
Region590	TRIM4 (-84)
Region591	SLC34A2 (+72677)
Region592	TRAF3IP2 (-103736)
Region593	TFCP2L1 (-10278)
Region594	RCBTB2 (-39912)
Region595	CAPRIN2 (-480)
Region596	GSTO2 (+22350)
Region597	UBQLN1 (+253)
Region598	ZDHHC21 (-82)
Region599	SIDT2 (-12637)
Region600	NONE
Region601	MARCH3 (+131)
Region602	FSHR (-582514)
Region603	NONE
Region604	VPS13B (+78437)
Region605	VSIG10 (+322)
Region606	PDE8A (-35357)
Region607	MMRN1 (+933999)
Region608	BHLHE40 (-87)
Region609	SH3BGRL3 (+8325)
Region610	CRTC3 (-89)
Region611	MYSM1 (-26555)
Region612	ELMSAN1 (-26889)
Region613	SPINK2 (+63688)
Region614	CHRM2 (-73859)
Region615	SRSF2 (-35829)
Region616	CDK17 (-33816)
Region617	MMEL1 (-19538)
Region618	SPIRE2 (+84)
Region619	PYDC2 (+296898)
Region620	LRGUK (-128893)
Region621	DSCC1 (+171)
Region622	PLD4 (+8623)
Region623	DENND4C (-45982)
Region624	SCARB1 (+29849)
Region625	B3GALNT1 (+154841)
Region626	IFNG (-16162)
Region627	NRF1 (+107243)
Region628	GNB1L (-6181)
Region629	SPATA6 (-81185)
Region630	AUP1 (+99)
Region631	ATPAF2 (+12654)
Region632	NDUFB11 (-118)
Region633	LSS (-25040)
Region634	DUSP2 (-29214)
Region635	FBXO31 (+230816)
Region636	GLYATL1 (-4500)
Region637	ADHFE1 (+6587)
Region638	TTC7B (-86885)
Region639	OSCAR (+6691)
Region640	GJA8 (-38667)
Region641	HEATR9 (+26124)
Region642	FAM184A (-124435)
Region643	PIGA (-69)
Region644	ANGPT4 (-40435)
Region645	RCAN2 (+162)
Region646	PMS1 (+58)
Region647	GCSH (-41071)
Region648	KCNMB2 (-336929)
Region649	ADGRG6 (+53930)
Region650	DCDC2B (-3502)
Region651	BOD1L2 (-160045)
Region652	SLC7A1 (-126845)
Region653	NONE
Region654	KMT2E (-70582)
Region655	ORAI2 (-17695)
Region656	DISP3 (+43486)
Region657	NONE
Region658	PJA2 (-102)
Region659	CHST11 (+187663)
Region660	CHRNA9 (-51133)
Region661	TRIM3 (+563)
Region662	ZC3H4 (+7188)
Region663	RALY (-84334)
Region664	TNIP1 (-70)
Region665	UBXN10 (+16352)
Region666	CABLES2 (-77)
Region667	HYI (+71)
Region668	FAM98A (-164241)
Region669	UBE2E2 (+76907)
Region670	GFOD2 (+8)
Region671	CNTN1 (+145522)
Region672	TYW5 (+14)
Region673	ANKS1B (+39772)
Region674	GPC6 (-901595)
Region675	EDIL3 (-551914)
Region676	OR10A4 (-6203)
Region677	CCND3 (+5434)
Region678	ENSG00000283930 (+261994)
Region679	CDK17 (+303)
Region680	THAP5 (-788731)
Region681	FAM129A (+293)
Region682	TMEM60 (-44)
Region683	FMNL2 (+55855)
Region684	EFEMP1 (-19856)
Region685	GPC5 (+14)
Region686	GLRX3 (+672637)
Region687	GGTLC1 (-38658)
Region688	SPTSSA (-6)
Region689	MAN1A1 (-78)
Region690	CASP3 (+8702)
Region691	GGACT (+67149)
Region692	RAB3C (+456676)
Region693	PLXNA1 (-42562)
Region694	TTLL12 (-44352)
Region695	AGO2 (+44111)
Region696	PRDX6 (-15946)
Region697	ZNF579 (-6588)
Region698	DBH (+40974)
Region699	ZFR (+53)
Region700	N4BP2L2 (+83)
Region701	ACTG1 (+28370)
Region702	HCN2 (+21493)
Region703	ZNF786 (-113)
Region704	ARL5B (+105571)
Region705	AQP3 (+993)
Region706	BHLHA9 (-29780)
Region707	CD3E (+12260)
Region708	PIGC (+5)
Region709	TANC1 (+32)
Region710	SLC2A7 (+21413)
Region711	KCTD7 (-36424)
Region712	SP5 (-94825)
Region713	PFKM (+250)
Region714	SMIM21 (-437406)
Region715	MRPL50 (-102)
Region716	SHISA2 (+38504)
Region717	SEC24D (-14691)
Region718	ZNF671 (+8633)
Region719	PKN1 (-6765)
Region720	FBXL15 (+1411)
Region721	GOLGA6L4 (-155563)
Region722	C1orf52 (-78)
Region723	DEFB132 (+9396)
Region724	BATF3 (+34545)
Region725	SMIM1 (-190)
Region726	MYO1G (-92)
Region727	ATG5 (-34878)
Region728	PPP1R37 (-61)
Region729	KMT2E (-130410)
Region730	ELFN2 (-504)
Region731	USP32 (+19634)
Region732	CD109 (+498963)
Region733	WASF1 (+41622)
Region734	ZIC2 (+7812)
Region735	CITED2 (-938640)
Region736	IDNK (-71)
Region737	ARAP2 (+812994)
Region738	FOXE3 (+1081)
Region739	PRR3 (-15165)
Region740	MRPS10 (-43032)
Region741	AMPH (-29035)
Region742	CXADR (-594578)
Region743	MED15 (+59426)
Region744	SPX (+1641)
Region745	SLC35B3 (-323490)
Region746	PSAP (-45230)
Region747	LRRC46 (-9)
Region748	PHF24 (+43)
Region749	FAM53B (-266)
Region750	TTN (-164)
Region751	KANSL2 (+54494)
Region752	TTLL6 (-22)
Region753	COA5 (+20)
Region754	SLC6A18 (+28984)
Region755	CCDC88B (+35)
Region756	KTN1 (+226879)
Region757	TRAF3 (-2497)
Region758	IRF2BPL (-5363)
Region759	EFTUD2 (+56)
Region760	RAB6C (-736456)
Region761	NAA35 (-45990)
Region762	FAM9C (-48093)
Region763	NONE
Region764	PPP2R1B (+31)
Region765	ZNF347 (-4)
Region766	SLITRK5 (+607885)
Region767	ZBTB16 (+14408)
Region768	HSD3B2 (+36921)
Region769	TTLL7 (+138223)
Region770	SERPINI2 (-63750)
Region771	SYPL1 (+94)
Region772	CLCN5 (-64)
Region773	SNED1 (+20035)
Region774	DDX19A (+39)
Region775	CRIP2 (-24041)
Region776	BLOC1S1 (+243)
Region777	RAP1GDS1 (-126)
Region778	PPM1M (-416)
Region779	SMIM29 (-41659)
Region780	CTH (-156)
Region781	HOXA13 (-19870)
Region782	TOR1AIP2 (+62842)
Region783	STX16-NPEPL1 (+996)
Region784	AURKAIP1 (-290)
Region785	TMEM158 (-6639)
Region786	PRPF38A (-47)
Region787	ETNPPL (+33064)
Region788	ADAMTSL4 (+14252)
Region789	TNK2 (-450)
Region790	PRKAG2 (+107830)
Region791	PTGER3 (+6801)
Region792	JDP2 (-4346)
Region793	CDH8 (-439393)
Region794	KDM5D (+177658)
Region795	ADARB2 (-201702)
Region796	HSD3B7 (+12168)
Region797	PDE3B (+64)
Region798	CRYGA (-29346)
Region799	TSEN2 (-55585)
Region800	POLD3 (+46)
Region801	SH3GLB1 (+35457)
Region802	CROT (-120)
Region803	FBXL2 (+76278)
Region804	KPNA2 (+32393)
Region805	MTCL1 (-53758)
Region806	SEMA4D (-65353)
Region807	MIOS (-9317)
Region808	AMPH (-95233)
Region809	ID4 (-299141)
Region810	MBNL1 (+204404)
Region811	ZNF441 (-39)
Region812	ATP1A3 (+55)
Region813	RAB40AL (-36830)
Region814	ZNF616 (-103)
Region815	NONE
Region816	DUSP16 (-400)
Region817	BCAR3 (+11631)
Region818	AGMAT (+204)
Region819	TBRG1 (-51)
Region820	HIGD1B (+13434)
Region821	ZNRD1 (-96172)
Region822	ARG1 (-42024)
Region823	EHMT1 (+50479)
Region824	SLC7A6OS (-55)
Region825	INSR (+101544)
Region826	LRRC1 (+130)
Region827	ZNF488 (-238)
Region828	PDCD6IP (-11070)
Region829	AGRN (+13157)
Region830	FTCDNL1 (+31894)
Region831	SLF1 (-148525)
Region832	HSF2 (-317055)
Region833	ISM1 (-116)
Region834	KCNJ1 (+69457)
Region835	KLF2 (+44499)
Region836	IL17RD (+871)
Region837	FABP5 (+219)
Region838	SNTB1 (-55652)
Region839	NCOR2 (+28912)
Region840	PEX2 (-39385)
Region841	ZNF280B (+28020)
Region842	MPI (+16824)
Region843	SYF2 (-7419)
Region844	DAOA (-823393)
Region845	SRSF12 (+395)
Region846	ACOT9 (+7)
Region847	NOSIP (+10265)
Region848	TMED5 (+123)
Region849	UQCRFS1 (+877162)
Region850	ZNF790 (+135)
Region851	HES6 (+43)
Region852	TMEM131L (-33)
Region853	PCDH18 (+373904)
Region854	SLC25A48 (-39361)
Region855	SLC35G1 (+53497)
Region856	MAST4 (+232441)
Region857	COPS4 (+39026)
Region858	PKN2 (-275287)
Region859	PLCL1 (+119683)
Region860	CXorf40A (+217)
Region861	POLG (-52579)
Region862	ISM1 (+75780)
Region863	AJAP1 (+365756)
Region864	TSSK1B (+134666)
Region865	CELF2 (-304530)
Region866	MPND (-541)
Region867	CALCR (-149165)
Region868	ICA1 (+156287)
Region869	TEAD1 (-162)
Region870	PRDM9 (-66973)
Region871	ACAA2 (-72223)
Region872	CDH7 (-85953)
Region873	TRMT10A (-132)
Region874	F2R (+133)
Region875	GATA3 (+361856)
Region876	RPL26L1 (-39910)
Region877	SERP2 (-99076)
Region878	NRAS (+95)
Region879	ARHGEF12 (+7340)
Region880	HEG1 (-32)
Region881	SBF2 (+284566)
Region882	METTL6 (+21)
Region883	ELOVL3 (+3680)
Region884	COL5A2 (+89166)
Region885	IGSF9 (-119)
Region886	ENSG00000256206 (-34741)
Region887	HMGCR (-55)
Region888	XPC (-37778)
Region889	CD38 (-21734)
Region890	SPATA13 (+83351)
Region891	KLHL25 (+87735)
Region892	ZNF496 (+8495)
Region893	MAP1B (-181098)
Region894	RAG2 (-932415)
Region895	FBLN7 (+49811)
Region896	CC2D1B (+59100)
Region897	GNAS (+38297)
Region898	ARAP2 (+61)
Region899	ATXN1 (-430)
Region900	PRNT (-20143)
Region901	CAPZA1 (-989)
Region902	PON2 (-18274)
Region903	SAP30L (-40519)
Region904	KDELR1 (+1)
Region905	MPP7 (+17532)
Region906	VAMP1 (-229)
Region907	SERTAD2 (+9404)
Region908	RAB11FIP4 (+102842)
Region909	PSMD1 (-19002)
Region910	PLEKHF2 (-41994)
